family,workflows,source_cases,staged,initial_correct,initial_wrong_valid,unstaged_failures,mean_tool_turns
cancel,96,32,87,87,0,9,7.166666666666667
modify,96,32,58,34,24,38,10.322916666666666
return_exchange,96,32,88,61,27,8,8.03125
