bundle_id,replicate,policy,review_duration,operational_loss,task_completed,wrong_transactions,service_failure_loss,wrong_transaction_loss,completed_reviews,corrections,expired_useful_opportunities,review_busy_ticks,review_utilization,total_waiting_ticks,multi_eligible_dispatches,greedy_search_different_heads,status,planning_seconds,max_planning_seconds,ordered_subsets_evaluated
evaluation_00,0,no_review,2,24,1,2,8,16,0,0,2,0,0.0,0,3,1,completed,0.00019434001296758652,4.893500590696931e-05,0
evaluation_00,0,fcfs,2,16,2,1,4,12,2,1,1,4,0.8,2,1,1,completed,8.979300037026405e-05,5.4258969612419605e-05,0
evaluation_00,0,edf,2,16,2,1,4,12,2,1,1,4,0.8,2,1,1,completed,9.04929474927485e-05,5.2333984058350325e-05,0
evaluation_00,0,uncertainty,2,16,2,1,4,12,2,1,1,4,0.8,2,1,1,completed,7.710990030318499e-05,3.8784986827522516e-05,0
evaluation_00,0,greedy,2,16,2,1,4,12,2,1,1,4,0.8,2,1,1,completed,9.339494863525033e-05,4.628096939995885e-05,0
evaluation_00,0,search,2,16,2,1,4,12,2,1,1,4,0.8,2,1,1,completed,0.00010222295532003045,5.520298145711422e-05,7
evaluation_00,0,no_review,1,24,1,2,8,16,0,0,2,0,0.0,0,4,2,completed,0.00019768800120800734,6.828497862443328e-05,0
evaluation_00,0,fcfs,1,0,3,0,0,0,3,2,0,3,0.6,2,2,2,completed,0.00010348501382395625,3.692903555929661e-05,0
evaluation_00,0,edf,1,0,3,0,0,0,3,2,0,3,0.6,2,2,2,completed,0.00011283200001344085,4.0044018533080816e-05,0
evaluation_00,0,uncertainty,1,0,3,0,0,0,3,2,0,3,0.6,2,2,2,completed,0.00011740997433662415,4.252401413396001e-05,0
evaluation_00,0,greedy,1,0,3,0,0,0,3,2,0,3,0.6,2,2,2,completed,0.00012262893142178655,4.672800423577428e-05,0
evaluation_00,0,search,1,0,3,0,0,0,3,2,0,3,0.6,2,2,2,completed,0.0001306830090470612,4.507298581302166e-05,12
evaluation_00,1,no_review,2,24,1,2,8,16,0,0,2,0,0.0,0,3,1,completed,0.00017013098113238811,4.4109008740633726e-05,0
evaluation_00,1,fcfs,2,16,2,1,4,12,2,1,1,4,0.8,2,1,1,completed,8.150405483320355e-05,4.51219966635108e-05,0
evaluation_00,1,edf,2,16,2,1,4,12,2,1,1,4,0.8,2,1,1,completed,8.578505367040634e-05,4.6280038077384233e-05,0
evaluation_00,1,uncertainty,2,16,2,1,4,12,2,1,1,4,0.8,2,1,1,completed,0.00011378602357581258,7.483700755983591e-05,0
evaluation_00,1,greedy,2,16,2,1,4,12,2,1,1,4,0.8,2,1,1,completed,9.515398414805532e-05,5.673500709235668e-05,0
evaluation_00,1,search,2,16,2,1,4,12,2,1,1,4,0.8,2,1,1,completed,9.295891504734755e-05,4.363496555015445e-05,7
evaluation_00,1,no_review,1,24,1,2,8,16,0,0,2,0,0.0,0,4,2,completed,0.00018373201601207256,4.417099989950657e-05,0
evaluation_00,1,fcfs,1,0,3,0,0,0,3,2,0,3,0.6,2,2,2,completed,0.00010835187276825309,3.516796277835965e-05,0
evaluation_00,1,edf,1,0,3,0,0,0,3,2,0,3,0.6,2,2,2,completed,0.0001226040767505765,5.187798524275422e-05,0
evaluation_00,1,uncertainty,1,0,3,0,0,0,3,2,0,3,0.6,2,2,2,completed,0.00010871601989492774,3.502401523292065e-05,0
evaluation_00,1,greedy,1,0,3,0,0,0,3,2,0,3,0.6,2,2,2,completed,0.0001121199456974864,4.093197640031576e-05,0
evaluation_00,1,search,1,0,3,0,0,0,3,2,0,3,0.6,2,2,2,completed,0.00014878500951454043,5.6396995205432177e-05,12
evaluation_00,2,no_review,2,20,1,1,8,12,0,0,1,0,0.0,0,1,0,completed,0.00011456396896392107,3.2434007152915e-05,0
evaluation_00,2,fcfs,2,20,1,1,8,12,1,0,1,2,0.4,0,0,0,completed,8.248601807281375e-05,5.449401214718819e-05,0
evaluation_00,2,edf,2,20,1,1,8,12,1,0,1,2,0.4,0,0,0,completed,7.294892566278577e-05,3.596500027924776e-05,0
evaluation_00,2,uncertainty,2,20,1,1,8,12,1,0,1,2,0.4,0,0,0,completed,7.071398431435227e-05,4.012096906080842e-05,0
evaluation_00,2,greedy,2,20,1,1,8,12,1,0,1,2,0.4,0,0,0,completed,7.754599209874868e-05,4.9773952923715115e-05,0
evaluation_00,2,search,2,20,1,1,8,12,1,0,1,2,0.4,0,0,0,completed,6.75049377605319e-05,3.430404467508197e-05,2
evaluation_00,2,no_review,1,20,1,1,8,12,0,0,1,0,0.0,0,2,1,completed,0.00011221191380172968,3.2325973734259605e-05,0
evaluation_00,2,fcfs,1,4,2,0,4,0,2,1,0,2,0.4,0,0,0,completed,4.5294000301510096e-05,1.933198655024171e-05,0
evaluation_00,2,edf,1,4,2,0,4,0,2,1,0,2,0.4,0,0,0,completed,4.766101483255625e-05,2.0790030248463154e-05,0
evaluation_00,2,uncertainty,1,4,2,0,4,0,2,1,0,2,0.4,0,0,0,completed,5.3651921916753054e-05,2.4098961148411036e-05,0
evaluation_00,2,greedy,1,4,2,0,4,0,2,1,0,2,0.4,0,0,0,completed,5.143904127180576e-05,2.2886029910296202e-05,0
evaluation_00,2,search,1,4,2,0,4,0,2,1,0,2,0.4,0,0,0,completed,5.849916487932205e-05,2.736999886110425e-05,4
evaluation_01,0,fcfs,1,8,1,0,8,0,1,0,0,1,0.2,0,0,0,completed,2.7018017135560513e-05,2.070702612400055e-05,0
evaluation_01,0,edf,1,8,1,0,8,0,1,0,0,1,0.2,0,0,0,completed,3.0173046980053186e-05,2.2136024199426174e-05,0
evaluation_01,0,uncertainty,1,8,1,0,8,0,1,0,0,1,0.2,0,0,0,completed,2.8357026167213917e-05,2.1767045836895704e-05,0
evaluation_01,0,greedy,1,8,1,0,8,0,1,0,0,1,0.2,0,0,0,completed,2.741999924182892e-05,2.1748011931777e-05,0
evaluation_01,0,search,1,8,1,0,8,0,1,0,0,1,0.2,0,0,0,completed,3.220397047698498e-05,2.5661021936684847e-05,2
evaluation_01,0,no_review,1,8,1,0,8,0,0,0,0,0,0.0,0,0,0,completed,5.987501936033368e-05,2.0507024601101875e-05,0
evaluation_01,0,fcfs,2,8,1,0,8,0,1,0,0,2,0.4,0,0,0,completed,2.655887510627508e-05,2.0652951207011938e-05,0
evaluation_01,0,edf,2,8,1,0,8,0,1,0,0,2,0.4,0,0,0,completed,2.741703065112233e-05,2.18690256588161e-05,0
evaluation_01,0,uncertainty,2,8,1,0,8,0,1,0,0,2,0.4,0,0,0,completed,2.601597225293517e-05,2.0890962332487106e-05,0
evaluation_01,0,greedy,2,8,1,0,8,0,1,0,0,2,0.4,0,0,0,completed,2.8587994165718555e-05,2.3016007617115974e-05,0
