policy,seed,scenario_hash,evidence,status,error,planned_calls,total_loss,accrued_loss,loss_upper_bound,correct_jobs,jobs_closed,reviews_started,reviews_completed,corrections,late_returns,expired_requests,review_busy_ticks,simulated_ticks_completed,incomplete_service,episode_wall_seconds,scheduled_calls,attempts,prompt_tokens,completion_tokens,unknown_token_attempts,request_wall_seconds
fcfs,-3,711d26d35fef192cba117f5e66fd0f1686a21a6c2e930434860896dac46fb8c4,stipulated_mechanics_only,completed,,0,0,0,20,2,2,2,2,2,0,0,4,12,,0.002364,0,0,0,0,0,0.0
uncertainty,-3,711d26d35fef192cba117f5e66fd0f1686a21a6c2e930434860896dac46fb8c4,stipulated_mechanics_only,completed,,0,0,0,20,2,2,2,2,2,0,0,4,12,,0.002168,0,0,0,0,0,0.0
myopic,-3,711d26d35fef192cba117f5e66fd0f1686a21a6c2e930434860896dac46fb8c4,stipulated_mechanics_only,completed,,0,8,8,20,1,2,1,1,1,0,1,2,12,,0.002096,0,0,0,0,0,0.0
greedy,-3,711d26d35fef192cba117f5e66fd0f1686a21a6c2e930434860896dac46fb8c4,stipulated_mechanics_only,completed,,0,8,8,20,1,2,1,1,1,0,1,2,12,,0.002352,0,0,0,0,0,0.0
delay,-3,711d26d35fef192cba117f5e66fd0f1686a21a6c2e930434860896dac46fb8c4,stipulated_mechanics_only,completed,,0,0,0,20,2,2,2,2,2,0,0,4,12,,0.002204,0,0,0,0,0,0.0
