context,method,step,donor,kind,supported,reasons
806ac467-ab50-428b-8584-baef6d6c4cee,patch,2,292786c8-d057-44e9-b6f8-e22e2390c4a7,local,False,missing_donor_representation
806ac467-ab50-428b-8584-baef6d6c4cee,no_applicability,1,05236c86-d05a-40d9-b15f-8eb197e2e158,local,False,missing_donor_representation
806ac467-ab50-428b-8584-baef6d6c4cee,no_applicability,2,292786c8-d057-44e9-b6f8-e22e2390c4a7,local,False,missing_donor_representation
67111519-017b-4638-9a74-41eb792c2f0f,patch,1,d6a3a306-fb34-48dc-838e-3d109f60d685,local,False,missing_donor_representation
67111519-017b-4638-9a74-41eb792c2f0f,patch,2,60b4a92c-0acc-42b0-bbce-f66df867e4ca,local,False,missing_donor_representation
67111519-017b-4638-9a74-41eb792c2f0f,no_applicability,1,d6a3a306-fb34-48dc-838e-3d109f60d685,local,False,missing_donor_representation
67111519-017b-4638-9a74-41eb792c2f0f,no_applicability,2,60b4a92c-0acc-42b0-bbce-f66df867e4ca,local,False,missing_donor_representation
635228dd-44ae-4ad2-817d-2079a9ceb320,patch,1,77191f82-0a18-4050-8911-bff9f1a401d9,local,False,corrected_donor_contract;percentage_expression
635228dd-44ae-4ad2-817d-2079a9ceb320,patch,2,34c51b4d-4240-4767-b57c-363250b74a64,local,False,missing_donor_representation
635228dd-44ae-4ad2-817d-2079a9ceb320,no_applicability,1,77191f82-0a18-4050-8911-bff9f1a401d9,local,False,corrected_donor_contract;percentage_expression
635228dd-44ae-4ad2-817d-2079a9ceb320,no_applicability,2,34c51b4d-4240-4767-b57c-363250b74a64,local,False,missing_donor_representation
dd47151a-e645-492f-af54-08e3e5b4254d,patch,1,dc7bfc5a-cd41-4f16-be0d-7ca2d2b89eac,local,False,corrected_donor_contract;percentage_expression
dd47151a-e645-492f-af54-08e3e5b4254d,patch,2,37a02df3-f6f6-4981-8d60-71a587c6db9f,local,False,missing_donor_representation
dd47151a-e645-492f-af54-08e3e5b4254d,no_applicability,1,dc7bfc5a-cd41-4f16-be0d-7ca2d2b89eac,local,False,corrected_donor_contract;percentage_expression
dd47151a-e645-492f-af54-08e3e5b4254d,no_applicability,2,37a02df3-f6f6-4981-8d60-71a587c6db9f,local,False,missing_donor_representation
eaf92f5c-0a32-4cad-9919-067ae4c20978,patch,1,904679f4-77f5-4575-975a-2b7b18eedbcf,local,False,missing_donor_representation
eaf92f5c-0a32-4cad-9919-067ae4c20978,patch,2,3e1a88fd-b2f4-40dd-a7f1-baef93720d4a,local,False,missing_donor_representation
eaf92f5c-0a32-4cad-9919-067ae4c20978,no_applicability,1,904679f4-77f5-4575-975a-2b7b18eedbcf,local,False,missing_donor_representation
eaf92f5c-0a32-4cad-9919-067ae4c20978,no_applicability,2,3e1a88fd-b2f4-40dd-a7f1-baef93720d4a,local,False,missing_donor_representation
cd19d6bc-f08e-452d-b682-4af9082ec82c,patch,1,edfade0f-df94-4bdb-85b2-0b9862dae1ee,local,False,corrected_donor_contract;period_binding
cd19d6bc-f08e-452d-b682-4af9082ec82c,patch,2,c502823a-fa1d-49e3-b14e-6973d72afc2f,local,False,corrected_donor_contract;period_binding
cd19d6bc-f08e-452d-b682-4af9082ec82c,no_applicability,1,edfade0f-df94-4bdb-85b2-0b9862dae1ee,local,False,corrected_donor_contract;period_binding
cd19d6bc-f08e-452d-b682-4af9082ec82c,no_applicability,2,c502823a-fa1d-49e3-b14e-6973d72afc2f,local,False,corrected_donor_contract;period_binding
5f46a008-12b7-4c0d-b9e5-4b8e31cb0ba8,patch,1,a9d259dd-ecc0-4c47-aa63-eec04e443241,local,False,missing_donor_representation
5f46a008-12b7-4c0d-b9e5-4b8e31cb0ba8,patch,2,af742fab-b68a-43ac-bb2b-77ef9f2fdbdf,local,False,corrected_donor_contract;execution:nonnumeric cell
5f46a008-12b7-4c0d-b9e5-4b8e31cb0ba8,no_applicability,1,a9d259dd-ecc0-4c47-aa63-eec04e443241,local,False,missing_donor_representation
5f46a008-12b7-4c0d-b9e5-4b8e31cb0ba8,no_applicability,2,af742fab-b68a-43ac-bb2b-77ef9f2fdbdf,local,False,corrected_donor_contract;execution:nonnumeric cell
9ff39953-d7ca-40e1-9824-a14c05ee91e8,patch,1,935ce542-a630-4917-a5dd-fe4647b219a2,local,False,missing_donor_representation
9ff39953-d7ca-40e1-9824-a14c05ee91e8,patch,2,4512f332-f703-4af4-ac40-594f459f6d8d,local,False,missing_donor_representation
9ff39953-d7ca-40e1-9824-a14c05ee91e8,no_applicability,1,935ce542-a630-4917-a5dd-fe4647b219a2,local,False,missing_donor_representation
9ff39953-d7ca-40e1-9824-a14c05ee91e8,no_applicability,2,4512f332-f703-4af4-ac40-594f459f6d8d,local,False,missing_donor_representation
77d32d68-40b6-4c76-8151-58b6e99bae9a,patch,1,ae97568d-fcde-469c-a9a9-118d339cccb5,local,False,missing_donor_representation
77d32d68-40b6-4c76-8151-58b6e99bae9a,patch,2,35096122-545b-4be2-8ea2-ebafd94c687f,local,False,missing_donor_representation
77d32d68-40b6-4c76-8151-58b6e99bae9a,no_applicability,1,ae97568d-fcde-469c-a9a9-118d339cccb5,local,False,missing_donor_representation
77d32d68-40b6-4c76-8151-58b6e99bae9a,no_applicability,2,35096122-545b-4be2-8ea2-ebafd94c687f,local,False,missing_donor_representation
