context,method,step,donor,kind,supported,reasons
e78f8b29-6085-43de-b32f-be1a68641be3,patch,1,0384152d-1f9f-4b12-85a9-2ca5e1c97682,local,False,missing_donor_representation
e78f8b29-6085-43de-b32f-be1a68641be3,patch,2,9c569bea-e036-4c27-8e41-82c6efab1d31,local,False,missing_donor_representation
e78f8b29-6085-43de-b32f-be1a68641be3,no_applicability,1,0384152d-1f9f-4b12-85a9-2ca5e1c97682,local,False,missing_donor_representation
e78f8b29-6085-43de-b32f-be1a68641be3,no_applicability,2,9c569bea-e036-4c27-8e41-82c6efab1d31,local,False,missing_donor_representation
98c16699-d385-4631-91de-1bc3c87f9f99,patch,1,f46b8d2a-06aa-4e51-a05d-f3beb255f73c,local,False,missing_donor_representation
98c16699-d385-4631-91de-1bc3c87f9f99,patch,2,aa051557-3b4c-497f-b14e-2c8b8b2c99ef,local,False,missing_donor_representation
98c16699-d385-4631-91de-1bc3c87f9f99,no_applicability,1,f46b8d2a-06aa-4e51-a05d-f3beb255f73c,local,False,missing_donor_representation
98c16699-d385-4631-91de-1bc3c87f9f99,no_applicability,2,aa051557-3b4c-497f-b14e-2c8b8b2c99ef,local,False,missing_donor_representation
991d23d7-f32d-4954-8e1d-87ad22470fcf,patch,1,1c78b8ad-5dd7-471e-bafd-71e1515afaa3,local,False,missing_donor_representation
991d23d7-f32d-4954-8e1d-87ad22470fcf,patch,2,2965da5c-4d2a-402c-85c6-c1514f998285,local,False,missing_donor_representation
991d23d7-f32d-4954-8e1d-87ad22470fcf,no_applicability,1,1c78b8ad-5dd7-471e-bafd-71e1515afaa3,local,False,missing_donor_representation
991d23d7-f32d-4954-8e1d-87ad22470fcf,no_applicability,2,2965da5c-4d2a-402c-85c6-c1514f998285,local,False,missing_donor_representation
806ac467-ab50-428b-8584-baef6d6c4cee,patch,1,05236c86-d05a-40d9-b15f-8eb197e2e158,local,False,missing_donor_representation
