bundle,condition_id,policy,input_hash,study,load,setup,budget,reviewer,contexts,loss,correct,unresolved,reviews,corrections,harms,abstentions,proposal_failures,review_failures,missed_useful,active_time,setup_time,switch_time,decision_time,coordination_time,session_offers,context_changes,repeated_context_inspections,expired_unreviewed,waiting_time,planning_and_controller_seconds
0,core_low_0_6_model,guarded,9d132aa4a4a65274fd4b697b2dbbf301ca0a61ccf12172692d81c70fa9ff7c2a,core,low,0,6,model,related,72,0,9,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,9,0,0.00015095900744199753
0,core_low_0_6_model_risk,no_review,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,6,model_risk,related,72,0,9,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,9,0,0.00021371489856392145
0,core_low_0_6_model_risk,fifo,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,6,model_risk,related,60,1,8,6,1,0,2,0,0,0,6.0,0.0,0.0,6.0,0.0,6,5,3,3,6.0,0.000534213031642139
0,core_low_0_6_model_risk,edf,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,6,model_risk,related,60,1,8,6,1,0,2,0,0,0,6.0,0.0,0.0,6.0,0.0,6,5,3,3,6.0,0.0003895070403814316
0,core_low_0_6_model_risk,greedy,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,6,model_risk,related,60,1,8,6,1,0,2,0,0,0,6.0,0.0,0.0,6.0,0.0,6,4,2,3,6.0,0.0003799860132858157
0,core_low_0_6_model_risk,density,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,6,model_risk,related,60,1,8,6,1,0,2,0,0,0,6.0,0.0,0.0,6.0,0.0,6,4,2,3,6.0,0.0004031429998576641
0,core_low_0_6_model_risk,fixed_window,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,6,model_risk,related,60,1,8,6,1,0,2,0,0,0,6.0,0.0,0.0,6.0,0.0,6,5,3,3,12.0,0.0005151439690962434
0,core_low_0_6_model_risk,unguarded,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,6,model_risk,related,60,1,8,6,1,0,2,0,0,0,6.0,0.0,0.0,6.0,0.0,6,4,2,3,6.0,0.0006600900087505579
0,core_low_0_6_model_risk,sticky_edf,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,6,model_risk,related,60,1,8,6,1,0,2,0,0,0,6.0,0.0,0.0,6.0,0.0,6,4,2,3,6.0,0.0004814600106328726
0,core_low_0_6_model_risk,allocation,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,6,model_risk,related,60,1,8,6,1,0,2,0,0,0,6.0,0.0,0.0,6.0,0.0,6,5,3,3,6.0,0.00045985495671629906
