id,guarded_state_differs,comparable_fields,differing_fields
MUL0003.json,True,5,3
MUL0011.json,True,8,2
MUL0018.json,False,7,0
MUL0034.json,False,6,0
MUL0071.json,True,9,1
MUL0072.json,True,6,5
MUL0089.json,True,7,2
MUL0113.json,False,3,0
MUL0116.json,False,7,0
MUL0144.json,True,6,3
MUL0197.json,False,6,0
MUL1202.json,False,3,0
MUL1211.json,False,6,0
MUL1248.json,False,9,0
MUL1268.json,True,6,1
MUL1276.json,False,6,0
MUL1278.json,True,8,2
MUL1342.json,True,4,1
MUL1350.json,True,8,3
MUL1351.json,False,6,0
MUL1376.json,False,6,0
PMUL0012.json,False,5,0
PMUL0089.json,False,4,0
PMUL0117.json,False,4,0
