method,demand,budget,projects,project_correct,project_correct_lo,project_correct_hi,artifact_accuracy,artifact_accuracy_lo,artifact_accuracy_hi,correct_artifacts,correct_artifacts_lo,correct_artifacts_hi,incorrect_artifacts,incorrect_artifacts_lo,incorrect_artifacts_hi,unresolved_artifacts,unresolved_artifacts_lo,unresolved_artifacts_hi,questions,questions_lo,questions_hi,answered_questions,answered_questions_lo,answered_questions_hi,distinct_decisions_requested,distinct_decisions_requested_lo,distinct_decisions_requested_hi,repeated_decision_questions,repeated_decision_questions_lo,repeated_decision_questions_hi,incorrect_reuse,incorrect_reuse_lo,incorrect_reuse_hi,reused_answers,reused_answers_lo,reused_answers_hi,maximum_error_fanout,maximum_error_fanout_lo,maximum_error_fanout_hi,revalidation_reads,revalidation_reads_lo,revalidation_reads_hi,version_checks,version_checks_lo,version_checks_hi,candidate_sources,candidate_sources_lo,candidate_sources_hi,scope_confirmations,scope_confirmations_lo,scope_confirmations_hi,changed_instruction_recoveries,changed_instruction_recoveries_lo,changed_instruction_recoveries_hi,changed_instruction_failures,changed_instruction_failures_lo,changed_instruction_failures_hi,failed_generation_calls,failed_generation_calls_lo,failed_generation_calls_hi,final_wrong_fields,final_wrong_fields_lo,final_wrong_fields_hi
independent,2,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,8.0,7.458333333333333,8.542708333333326,0.0,0.0,0.0,5.208333333333333,4.958333333333333,5.458333333333333,2.7916666666666665,2.3333333333333335,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2916666666666665,2.8333333333333335,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.020833333333333332,0.0,0.0625,0.0,0.0,0.0
independent,2,2,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,8.0,7.458333333333333,8.542708333333326,2.0,2.0,2.0,5.208333333333333,4.958333333333333,5.458333333333333,2.7916666666666665,2.3333333333333335,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2916666666666665,2.8333333333333335,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.020833333333333332,0.0,0.0625,0.0,0.0,0.0
independent,2,6,24,0.20833333333333334,0.08333333333333333,0.375,0.5,0.375,0.625,1.0,0.75,1.25,0.0,0.0,0.0,1.0,0.75,1.25,8.0,7.458333333333333,8.542708333333326,6.0,6.0,6.0,5.208333333333333,4.958333333333333,5.458333333333333,2.7916666666666665,2.3333333333333335,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2916666666666665,2.8333333333333335,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.25,0.375,0.25,0.5,0.020833333333333332,0.0,0.0625,0.0,0.0,0.0
independent,2,unlimited,24,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.458333333333333,8.542708333333326,8.0,7.458333333333333,8.542708333333326,5.208333333333333,4.958333333333333,5.458333333333333,2.7916666666666665,2.3333333333333335,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2916666666666665,2.8333333333333335,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.020833333333333332,0.0,0.0625,0.0,0.0,0.0
independent,4,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9166666666666665,3.7916666666666665,4.0,13.083333333333334,12.291666666666666,13.875,0.0,0.0,0.0,5.208333333333333,4.958333333333333,5.458333333333333,7.875,7.166666666666667,8.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.375,4.708333333333333,6.042708333333328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.5,0.7083333333333334,0.020833333333333332,0.0,0.0625,0.0,0.0,0.0
independent,4,2,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9166666666666665,3.7916666666666665,4.0,13.083333333333334,12.291666666666666,13.875,2.0,2.0,2.0,5.208333333333333,4.958333333333333,5.458333333333333,7.875,7.166666666666667,8.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.375,4.708333333333333,6.042708333333328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.5,0.7083333333333334,0.020833333333333332,0.0,0.0625,0.0,0.0,0.0
independent,4,6,24,0.0,0.0,0.0,0.08680555555555554,0.041666666666666664,0.13888888888888887,0.3333333333333333,0.16666666666666666,0.5416666666666666,0.0,0.0,0.0,3.5833333333333335,3.3333333333333335,3.7916666666666665,13.083333333333334,12.291666666666666,13.875,6.0,6.0,6.0,5.208333333333333,4.958333333333333,5.458333333333333,7.875,7.166666666666667,8.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.375,4.708333333333333,6.042708333333328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.20833333333333334,0.5,0.375,0.625,0.020833333333333332,0.0,0.0625,0.0,0.0,0.0
independent,4,unlimited,24,1.0,1.0,1.0,1.0,1.0,1.0,3.9166666666666665,3.7916666666666665,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13.083333333333334,12.291666666666666,13.875,13.083333333333334,12.291666666666666,13.875,5.208333333333333,4.958333333333333,5.458333333333333,7.875,7.166666666666667,8.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.375,4.708333333333333,6.042708333333328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.5,0.7083333333333334,0.0,0.0,0.0,0.020833333333333332,0.0,0.0625,0.0,0.0,0.0
independent,6,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.875,5.708333333333333,6.0,23.708333333333332,22.166666666666668,25.416666666666668,0.0,0.0,0.0,5.208333333333333,4.958333333333333,5.458333333333333,18.5,17.083333333333332,20.166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.625,8.291666666666666,11.083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2083333333333333,1.0,1.4166666666666667,0.020833333333333332,0.0,0.0625,0.0,0.0,0.0
independent,6,2,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.875,5.708333333333333,6.0,23.708333333333332,22.166666666666668,25.416666666666668,2.0,2.0,2.0,5.208333333333333,4.958333333333333,5.458333333333333,18.5,17.083333333333332,20.166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.625,8.291666666666666,11.083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2083333333333333,1.0,1.4166666666666667,0.020833333333333332,0.0,0.0625,0.0,0.0,0.0
independent,6,6,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.875,5.708333333333333,6.0,23.708333333333332,22.166666666666668,25.416666666666668,6.0,6.0,6.0,5.208333333333333,4.958333333333333,5.458333333333333,18.5,17.083333333333332,20.166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.625,8.291666666666666,11.083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2083333333333333,1.0,1.4166666666666667,0.020833333333333332,0.0,0.0625,0.0,0.0,0.0
independent,6,unlimited,24,1.0,1.0,1.0,1.0,1.0,1.0,5.875,5.708333333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,23.708333333333332,22.166666666666668,25.416666666666668,23.708333333333332,22.166666666666668,25.416666666666668,5.208333333333333,4.958333333333333,5.458333333333333,18.5,17.083333333333332,20.166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.625,8.291666666666666,11.083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2083333333333333,1.0,1.4166666666666667,0.0,0.0,0.0,0.020833333333333332,0.0,0.0625,0.0,0.0,0.0
full_history,2,0,24,0.5416666666666666,0.375,0.7083333333333334,0.75,0.6458333333333334,0.8541666666666666,1.5,1.2916666666666667,1.7083333333333333,0.25,0.08333333333333333,0.4583333333333333,0.25,0.08333333333333333,0.4166666666666667,0.4166666666666667,0.20833333333333334,0.6463541666666639,0.0,0.0,0.0,0.3958333333333333,0.1875,0.6041666666666666,0.020833333333333332,0.0,0.0625,0.3958333333333333,0.16666666666666666,0.6875,7.583333333333333,7.0,8.1875,0.2708333333333333,0.125,0.4166666666666667,3.2916666666666665,2.8333333333333335,3.75,0.0,0.0,0.0,7.583333333333333,7.0,8.1875,0.0,0.0,0.0,0.375,0.25,0.5,0.125,0.0,0.25,0.020833333333333332,0.0,0.0625,0.2916666666666667,0.08333333333333333,0.5833333333333334
full_history,2,2,24,0.7916666666666666,0.6666666666666666,0.9166666666666666,0.875,0.7708333333333334,0.9583333333333334,1.75,1.5416666666666667,1.9166666666666667,0.25,0.08333333333333333,0.4583333333333333,0.0,0.0,0.0,0.4166666666666667,0.20833333333333334,0.6463541666666639,0.4166666666666667,0.20833333333333334,0.6463541666666639,0.3958333333333333,0.1875,0.6041666666666666,0.020833333333333332,0.0,0.0625,0.3958333333333333,0.16666666666666666,0.6875,7.583333333333333,7.0,8.1875,0.2708333333333333,0.125,0.4166666666666667,3.2916666666666665,2.8333333333333335,3.75,0.0,0.0,0.0,7.583333333333333,7.0,8.1875,0.0,0.0,0.0,0.4166666666666667,0.2916666666666667,0.5,0.08333333333333333,0.0,0.20833333333333334,0.020833333333333332,0.0,0.0625,0.2916666666666667,0.08333333333333333,0.5833333333333334
full_history,2,6,24,0.7916666666666666,0.6666666666666666,0.9166666666666666,0.875,0.7708333333333334,0.9583333333333334,1.75,1.5416666666666667,1.9166666666666667,0.25,0.08333333333333333,0.4583333333333333,0.0,0.0,0.0,0.4166666666666667,0.20833333333333334,0.6463541666666639,0.4166666666666667,0.20833333333333334,0.6463541666666639,0.3958333333333333,0.1875,0.6041666666666666,0.020833333333333332,0.0,0.0625,0.3958333333333333,0.16666666666666666,0.6875,7.583333333333333,7.0,8.1875,0.2708333333333333,0.125,0.4166666666666667,3.2916666666666665,2.8333333333333335,3.75,0.0,0.0,0.0,7.583333333333333,7.0,8.1875,0.0,0.0,0.0,0.4166666666666667,0.2916666666666667,0.5,0.08333333333333333,0.0,0.20833333333333334,0.020833333333333332,0.0,0.0625,0.2916666666666667,0.08333333333333333,0.5833333333333334
full_history,2,unlimited,24,0.7916666666666666,0.6666666666666666,0.9166666666666666,0.875,0.7708333333333334,0.9583333333333334,1.75,1.5416666666666667,1.9166666666666667,0.25,0.08333333333333333,0.4583333333333333,0.0,0.0,0.0,0.4166666666666667,0.20833333333333334,0.6463541666666639,0.4166666666666667,0.20833333333333334,0.6463541666666639,0.3958333333333333,0.1875,0.6041666666666666,0.020833333333333332,0.0,0.0625,0.3958333333333333,0.16666666666666666,0.6875,7.583333333333333,7.0,8.1875,0.2708333333333333,0.125,0.4166666666666667,3.2916666666666665,2.8333333333333335,3.75,0.0,0.0,0.0,7.583333333333333,7.0,8.1875,0.0,0.0,0.0,0.4166666666666667,0.2916666666666667,0.5,0.08333333333333333,0.0,0.20833333333333334,0.020833333333333332,0.0,0.0625,0.2916666666666667,0.08333333333333333,0.5833333333333334
