comparison,demand,budget,metric,mean,lo,hi,negative,ties,positive,projects
dependency_barrier minus semantic_memory,2,0,project_correct,-0.3541666666666667,-0.5208333333333334,-0.20833333333333334,12,12,0,24
dependency_barrier minus semantic_memory,2,0,artifact_accuracy,-0.3020833333333333,-0.4270833333333333,-0.1875,14,10,0,24
dependency_barrier minus semantic_memory,2,0,questions,1.4583333333333333,0.875,2.1666666666666665,0,6,18,24
dependency_barrier minus semantic_memory,2,0,answered_questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus semantic_memory,2,0,revalidation_reads,-1.4166666666666667,-1.8333333333333333,-1.0416666666666667,19,5,0,24
dependency_barrier minus semantic_memory,2,2,project_correct,-0.3125,-0.5,-0.14583333333333334,9,15,0,24
dependency_barrier minus semantic_memory,2,2,artifact_accuracy,-0.21875,-0.3541666666666667,-0.09375,10,13,1,24
dependency_barrier minus semantic_memory,2,2,questions,1.4583333333333333,0.875,2.1666666666666665,0,6,18,24
dependency_barrier minus semantic_memory,2,2,answered_questions,0.6875,0.4375,0.9375,0,10,14,24
dependency_barrier minus semantic_memory,2,2,revalidation_reads,-1.4166666666666667,-1.8333333333333333,-1.0416666666666667,19,5,0,24
dependency_barrier minus semantic_memory,2,6,project_correct,-0.041666666666666664,-0.125,0.0,1,23,0,24
dependency_barrier minus semantic_memory,2,6,artifact_accuracy,-0.010416666666666666,-0.0625,0.03125,1,22,1,24
dependency_barrier minus semantic_memory,2,6,questions,1.4583333333333333,0.875,2.1666666666666665,0,6,18,24
dependency_barrier minus semantic_memory,2,6,answered_questions,1.4166666666666667,0.875,2.042187499999997,0,6,18,24
dependency_barrier minus semantic_memory,2,6,revalidation_reads,-1.4166666666666667,-1.8333333333333333,-1.0416666666666667,19,5,0,24
dependency_barrier minus semantic_memory,2,unlimited,project_correct,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus semantic_memory,2,unlimited,artifact_accuracy,0.010416666666666666,0.0,0.03125,0,23,1,24
dependency_barrier minus semantic_memory,2,unlimited,questions,1.4583333333333333,0.875,2.1666666666666665,0,6,18,24
dependency_barrier minus semantic_memory,2,unlimited,answered_questions,1.4583333333333333,0.875,2.1666666666666665,0,6,18,24
dependency_barrier minus semantic_memory,2,unlimited,revalidation_reads,-1.4166666666666667,-1.8333333333333333,-1.0416666666666667,19,5,0,24
dependency_barrier minus semantic_memory,4,0,project_correct,-0.3541666666666667,-0.5208333333333334,-0.20833333333333334,12,12,0,24
dependency_barrier minus semantic_memory,4,0,artifact_accuracy,-0.23611111111111113,-0.3333333333333333,-0.1457899305555558,15,9,0,24
dependency_barrier minus semantic_memory,4,0,questions,2.1041666666666665,1.3125,3.0625,0,6,18,24
dependency_barrier minus semantic_memory,4,0,answered_questions,0.0,0.0,0.0,0,24,0,24
dependency_barrier minus semantic_memory,4,0,revalidation_reads,-2.4583333333333335,-3.1875,-1.7916666666666667,19,5,0,24
dependency_barrier minus semantic_memory,4,2,project_correct,-0.3125,-0.5,-0.14583333333333334,9,15,0,24
dependency_barrier minus semantic_memory,4,2,artifact_accuracy,-0.1545138888888889,-0.2483072916666667,-0.06770833333333333,10,13,1,24
dependency_barrier minus semantic_memory,4,2,questions,1.7083333333333333,1.0416666666666667,2.5416666666666665,0,6,18,24
dependency_barrier minus semantic_memory,4,2,answered_questions,0.6875,0.4375,0.9375,0,10,14,24
dependency_barrier minus semantic_memory,4,2,revalidation_reads,-2.4583333333333335,-3.1875,-1.7916666666666667,19,5,0,24
