application,method,episodes,mean_episode_ms,p95_episode_ms,summed_episode_seconds,max_nodes
evaluation,semantic_memory,1728,0.4675088570096435,0.8492778521031137,0.807855304912664,0.0
evaluation,full_history,1728,0.3508123838939894,0.6103703286498783,0.6062037993688136,0.0
evaluation,one_step,1728,0.6454414417897135,1.3702479714993385,1.115322811412625,11.0
evaluation,completion,1728,0.553468174446068,1.012866024393588,0.9563930054428056,0.0
evaluation,depth2,1728,1.3353483441783789,3.306993126170708,2.3074819387402385,51.0
evaluation,depth3,1728,1.8642728986446013,6.025231280364095,3.221463568857871,131.0
evaluation,generic2,1728,1.2814926400703068,3.2272473908960775,2.21441928204149,51.0
evaluation,no_scope,1728,1.3099203550626517,3.1690576695837063,2.263542373548262,51.0
evaluation,request_specific,1728,1.322488236635561,3.3309465274214745,2.2852596729062498,51.0
evaluation,ideal_depth2,1728,0.528503161182959,0.7988119556102901,0.9132534625241533,1.0
synthetic,no_review,2328,0.10057101425229928,0.18437803373672068,0.2341293211793527,0.0
synthetic,memory,2328,0.12368354577326322,0.22851914982311428,0.28793529456015676,0.0
synthetic,uncertainty,2328,0.364503164033972,0.551253271987662,0.8485633658710867,0.0
synthetic,depth1,2328,1.1354406029518047,2.184065751498565,2.6433057236718014,17.0
synthetic,completion,2328,0.3983851045044459,0.7645800651516768,0.9274405232863501,0.0
synthetic,depth2,2328,6.706496692743453,18.295355187729005,15.612724300706759,209.0
synthetic,depth3,2328,27.893040434031708,73.35055441362783,64.93499813042581,1125.0
synthetic,generic2,2328,6.458241370493783,16.768197121564306,15.034785910509527,161.0
synthetic,no_scope,2328,6.769739443342653,18.602784350514412,15.759953424101695,209.0
synthetic,request_specific,2328,12.777659379460294,31.05266358470552,29.746391035383567,257.0
