baseline,budget,error_weight,metric,difference,lo,hi,negative,ties,positive,dialogues
full_history,1.0,2.0,project_correct,-0.59375,-0.7291666666666666,-0.4583333333333333,32,15,1,48
full_history,1.0,2.0,correct,-0.8229166666666666,-1.0002604166666667,-0.6354166666666666,34,13,1,48
full_history,1.0,2.0,incorrect,-0.09375,-0.20833333333333334,0.020833333333333332,8,37,3,48
full_history,1.0,2.0,unfinished,0.9166666666666666,0.7395833333333334,1.09375,0,10,38,48
full_history,1.0,2.0,questions,0.7708333333333334,0.6666666666666666,0.875,0,8,40,48
depth3,1.0,2.0,loss,0.0,0.0,0.0,0,48,0,48
depth3,1.0,2.0,project_correct,0.0,0.0,0.0,0,48,0,48
depth3,1.0,2.0,correct,0.0,0.0,0.0,0,48,0,48
depth3,1.0,2.0,incorrect,0.0,0.0,0.0,0,48,0,48
depth3,1.0,2.0,unfinished,0.0,0.0,0.0,0,48,0,48
depth3,1.0,2.0,questions,0.0,0.0,0.0,0,48,0,48
generic2,1.0,2.0,loss,0.0,0.0,0.0,0,48,0,48
generic2,1.0,2.0,project_correct,0.0,0.0,0.0,0,48,0,48
generic2,1.0,2.0,correct,0.0,0.0,0.0,0,48,0,48
generic2,1.0,2.0,incorrect,0.0,0.0,0.0,0,48,0,48
generic2,1.0,2.0,unfinished,0.0,0.0,0.0,0,48,0,48
generic2,1.0,2.0,questions,0.0,0.0,0.0,0,48,0,48
no_scope,1.0,2.0,loss,0.0,0.0,0.0,0,48,0,48
no_scope,1.0,2.0,project_correct,0.0,0.0,0.0,0,48,0,48
no_scope,1.0,2.0,correct,0.0,0.0,0.0,0,48,0,48
no_scope,1.0,2.0,incorrect,0.0,0.0,0.0,0,48,0,48
no_scope,1.0,2.0,unfinished,0.0,0.0,0.0,0,48,0,48
no_scope,1.0,2.0,questions,0.0,0.0,0.0,0,48,0,48
request_specific,1.0,2.0,loss,0.0,0.0,0.0,0,48,0,48
request_specific,1.0,2.0,project_correct,0.0,0.0,0.0,0,48,0,48
request_specific,1.0,2.0,correct,0.0,0.0,0.0,0,48,0,48
request_specific,1.0,2.0,incorrect,0.0,0.0,0.0,0,48,0,48
request_specific,1.0,2.0,unfinished,0.0,0.0,0.0,0,48,0,48
request_specific,1.0,2.0,questions,0.0,0.0,0.0,0,48,0,48
ideal_depth2,1.0,2.0,loss,1.0208333333333333,0.8229166666666666,1.21875,0,10,38,48
ideal_depth2,1.0,2.0,project_correct,-0.7395833333333334,-0.8440104166666667,-0.6145833333333334,38,10,0,48
ideal_depth2,1.0,2.0,correct,-0.96875,-1.1458333333333333,-0.7916666666666666,38,10,0,48
ideal_depth2,1.0,2.0,incorrect,0.052083333333333336,0.0,0.11458333333333333,0,45,3,48
ideal_depth2,1.0,2.0,unfinished,0.9166666666666666,0.7395833333333334,1.09375,0,10,38,48
ideal_depth2,1.0,2.0,questions,0.8020833333333334,0.6979166666666666,0.8958333333333334,0,7,41,48
one_step,2.0,2.0,loss,-0.3229166666666667,-0.4479166666666667,-0.21875,19,29,0,48
one_step,2.0,2.0,project_correct,0.10416666666666667,0.041666666666666664,0.1875,0,41,7,48
one_step,2.0,2.0,correct,0.3229166666666667,0.21875,0.4479166666666667,0,29,19,48
one_step,2.0,2.0,incorrect,0.0,0.0,0.0,0,48,0,48
one_step,2.0,2.0,unfinished,-0.3229166666666667,-0.4479166666666667,-0.21875,19,29,0,48
one_step,2.0,2.0,questions,0.4270833333333333,0.23958333333333334,0.6354166666666666,0,34,14,48
semantic_memory,2.0,2.0,loss,-0.0625,-0.16666666666666666,0.020833333333333332,4,43,1,48
