id,method,replicate0_loss,replicate1_loss,difference
MUL0099.json,depth2,0.0,0.0,0.0
MUL0810.json,depth2,1.0,4.0,3.0
MUL0814.json,depth2,4.0,1.0,-3.0
MUL0821.json,depth2,1.0,0.0,-1.0
MUL0822.json,depth2,1.0,1.0,0.0
MUL0838.json,depth2,1.0,1.0,0.0
MUL0841.json,depth2,0.0,0.0,0.0
MUL0842.json,depth2,1.0,1.0,0.0
MUL0845.json,depth2,0.0,0.0,0.0
MUL0869.json,depth2,0.0,0.0,0.0
MUL0881.json,depth2,1.0,1.0,0.0
MUL0890.json,depth2,1.0,1.0,0.0
MUL0896.json,depth2,0.0,0.0,0.0
MUL0912.json,depth2,1.0,1.0,0.0
MUL0937.json,depth2,0.0,0.0,0.0
MUL0939.json,depth2,0.0,0.0,0.0
MUL0941.json,depth2,1.0,1.0,0.0
MUL0947.json,depth2,0.0,0.0,0.0
MUL0978.json,depth2,0.0,0.0,0.0
MUL0992.json,depth2,1.0,1.0,0.0
MUL1008.json,depth2,0.0,0.0,0.0
MUL1015.json,depth2,1.0,1.0,0.0
MUL1045.json,depth2,1.0,1.0,0.0
MUL1055.json,depth2,1.0,1.0,0.0
MUL1060.json,depth2,0.0,0.0,0.0
MUL1071.json,depth2,0.0,0.0,0.0
MUL1076.json,depth2,1.0,1.0,0.0
MUL1088.json,depth2,1.0,1.0,0.0
MUL1117.json,depth2,1.0,1.0,0.0
MUL1137.json,depth2,1.0,1.0,0.0
MUL1139.json,depth2,0.0,0.0,0.0
MUL1159.json,depth2,1.0,1.0,0.0
MUL1392.json,depth2,1.0,1.0,0.0
MUL2316.json,depth2,1.0,1.0,0.0
MUL2317.json,depth2,1.0,1.0,0.0
MUL2320.json,depth2,0.0,0.0,0.0
MUL2347.json,depth2,0.0,0.0,0.0
MUL2358.json,depth2,0.0,0.0,0.0
MUL2359.json,depth2,1.0,1.0,0.0
MUL2365.json,depth2,1.0,1.0,0.0
MUL2378.json,depth2,0.0,0.0,0.0
MUL2423.json,depth2,1.0,1.0,0.0
MUL2427.json,depth2,1.0,1.0,0.0
MUL2432.json,depth2,1.0,1.0,0.0
MUL2439.json,depth2,0.0,0.0,0.0
MUL2442.json,depth2,1.0,1.0,0.0
MUL2457.json,depth2,1.0,1.0,0.0
MUL2466.json,depth2,0.0,0.0,0.0
MUL0099.json,one_step,0.0,0.0,0.0
MUL0810.json,one_step,1.0,4.0,3.0
MUL0814.json,one_step,4.0,0.0,-4.0
MUL0821.json,one_step,1.0,0.0,-1.0
MUL0822.json,one_step,1.0,2.0,1.0
MUL0838.json,one_step,1.0,2.0,1.0
MUL0841.json,one_step,0.0,0.0,0.0
MUL0842.json,one_step,2.0,2.0,0.0
MUL0845.json,one_step,0.0,0.0,0.0
MUL0869.json,one_step,0.0,0.0,0.0
MUL0881.json,one_step,1.0,2.0,1.0
MUL0890.json,one_step,0.0,0.0,0.0
MUL0896.json,one_step,0.0,0.0,0.0
MUL0912.json,one_step,2.0,2.0,0.0
MUL0937.json,one_step,0.0,0.0,0.0
MUL0939.json,one_step,0.0,0.0,0.0
MUL0941.json,one_step,1.0,1.0,0.0
MUL0947.json,one_step,0.0,0.0,0.0
MUL0978.json,one_step,0.0,0.0,0.0
MUL0992.json,one_step,2.0,2.0,0.0
MUL1008.json,one_step,0.0,0.0,0.0
MUL1015.json,one_step,2.0,2.0,0.0
MUL1045.json,one_step,1.0,1.0,0.0
MUL1055.json,one_step,1.0,1.0,0.0
MUL1060.json,one_step,0.0,0.0,0.0
MUL1071.json,one_step,1.0,1.0,0.0
MUL1076.json,one_step,2.0,2.0,0.0
MUL1088.json,one_step,1.0,1.0,0.0
MUL1117.json,one_step,1.0,1.0,0.0
MUL1137.json,one_step,1.0,2.0,1.0
MUL1139.json,one_step,1.0,0.0,-1.0
MUL1159.json,one_step,1.0,1.0,0.0
MUL1392.json,one_step,1.0,1.0,0.0
MUL2316.json,one_step,1.0,1.0,0.0
MUL2317.json,one_step,1.0,1.0,0.0
MUL2320.json,one_step,0.0,0.0,0.0
MUL2347.json,one_step,1.0,0.0,-1.0
MUL2358.json,one_step,0.0,0.0,0.0
MUL2359.json,one_step,1.0,1.0,0.0
MUL2365.json,one_step,1.0,1.0,0.0
MUL2378.json,one_step,0.0,0.0,0.0
MUL2423.json,one_step,2.0,2.0,0.0
MUL2427.json,one_step,1.0,2.0,1.0
MUL2432.json,one_step,2.0,2.0,0.0
MUL2439.json,one_step,0.0,1.0,1.0
MUL2442.json,one_step,1.0,1.0,0.0
MUL2457.json,one_step,2.0,2.0,0.0
MUL2466.json,one_step,0.0,0.0,0.0
