seed,review_ticks,left,right,loss_difference,lower_bound,upper_bound
300,1,uncertainty,fcfs,0,0,0
301,1,uncertainty,fcfs,0,0,0
302,1,uncertainty,fcfs,0,0,0
303,1,uncertainty,fcfs,0,0,0
304,1,uncertainty,fcfs,0,0,0
305,1,uncertainty,fcfs,0,0,0
306,1,uncertainty,fcfs,0,0,0
307,1,uncertainty,fcfs,0,0,0
308,1,uncertainty,fcfs,0,0,0
309,1,uncertainty,fcfs,0,0,0
310,1,uncertainty,fcfs,0,0,0
311,1,uncertainty,fcfs,0,0,0
312,1,uncertainty,fcfs,0,0,0
313,1,uncertainty,fcfs,0,0,0
314,1,uncertainty,fcfs,0,0,0
315,1,uncertainty,fcfs,0,0,0
300,1,myopic,fcfs,0,0,0
301,1,myopic,fcfs,0,0,0
302,1,myopic,fcfs,0,0,0
303,1,myopic,fcfs,0,0,0
304,1,myopic,fcfs,0,0,0
305,1,myopic,fcfs,0,0,0
306,1,myopic,fcfs,0,0,0
307,1,myopic,fcfs,0,0,0
308,1,myopic,fcfs,-8,-8,-8
309,1,myopic,fcfs,0,0,0
310,1,myopic,fcfs,0,0,0
311,1,myopic,fcfs,-12,-12,-12
312,1,myopic,fcfs,0,0,0
313,1,myopic,fcfs,0,0,0
314,1,myopic,fcfs,4,4,4
315,1,myopic,fcfs,0,0,0
300,1,greedy,fcfs,0,0,0
301,1,greedy,fcfs,0,0,0
302,1,greedy,fcfs,0,0,0
303,1,greedy,fcfs,0,0,0
304,1,greedy,fcfs,0,0,0
305,1,greedy,fcfs,0,0,0
306,1,greedy,fcfs,0,0,0
307,1,greedy,fcfs,0,0,0
308,1,greedy,fcfs,-8,-8,-8
309,1,greedy,fcfs,0,0,0
310,1,greedy,fcfs,0,0,0
311,1,greedy,fcfs,-12,-12,-12
312,1,greedy,fcfs,0,0,0
313,1,greedy,fcfs,0,0,0
314,1,greedy,fcfs,4,4,4
315,1,greedy,fcfs,0,0,0
300,1,edf,fcfs,0,0,0
301,1,edf,fcfs,0,0,0
302,1,edf,fcfs,-4,-4,-4
303,1,edf,fcfs,0,0,0
304,1,edf,fcfs,0,0,0
305,1,edf,fcfs,-4,-4,-4
306,1,edf,fcfs,0,0,0
307,1,edf,fcfs,0,0,0
308,1,edf,fcfs,-8,-8,-8
309,1,edf,fcfs,0,0,0
310,1,edf,fcfs,0,0,0
311,1,edf,fcfs,-12,-12,-12
312,1,edf,fcfs,0,0,0
313,1,edf,fcfs,0,0,0
314,1,edf,fcfs,0,0,0
315,1,edf,fcfs,0,0,0
300,1,delay,fcfs,0,0,0
301,1,delay,fcfs,0,0,0
302,1,delay,fcfs,-4,-4,-4
303,1,delay,fcfs,0,0,0
304,1,delay,fcfs,0,0,0
305,1,delay,fcfs,-4,-4,-4
306,1,delay,fcfs,0,0,0
307,1,delay,fcfs,0,0,0
308,1,delay,fcfs,-8,-8,-8
309,1,delay,fcfs,0,0,0
310,1,delay,fcfs,0,0,0
311,1,delay,fcfs,-12,-12,-12
312,1,delay,fcfs,0,0,0
313,1,delay,fcfs,0,0,0
314,1,delay,fcfs,0,0,0
315,1,delay,fcfs,0,0,0
300,1,myopic,uncertainty,0,0,0
301,1,myopic,uncertainty,0,0,0
302,1,myopic,uncertainty,0,0,0
303,1,myopic,uncertainty,0,0,0
304,1,myopic,uncertainty,0,0,0
305,1,myopic,uncertainty,0,0,0
306,1,myopic,uncertainty,0,0,0
307,1,myopic,uncertainty,0,0,0
308,1,myopic,uncertainty,-8,-8,-8
309,1,myopic,uncertainty,0,0,0
310,1,myopic,uncertainty,0,0,0
311,1,myopic,uncertainty,-12,-12,-12
312,1,myopic,uncertainty,0,0,0
313,1,myopic,uncertainty,0,0,0
314,1,myopic,uncertainty,4,4,4
315,1,myopic,uncertainty,0,0,0
300,1,greedy,uncertainty,0,0,0
301,1,greedy,uncertainty,0,0,0
302,1,greedy,uncertainty,0,0,0
303,1,greedy,uncertainty,0,0,0
304,1,greedy,uncertainty,0,0,0
305,1,greedy,uncertainty,0,0,0
306,1,greedy,uncertainty,0,0,0
307,1,greedy,uncertainty,0,0,0
308,1,greedy,uncertainty,-8,-8,-8
309,1,greedy,uncertainty,0,0,0
310,1,greedy,uncertainty,0,0,0
311,1,greedy,uncertainty,-12,-12,-12
312,1,greedy,uncertainty,0,0,0
313,1,greedy,uncertainty,0,0,0
314,1,greedy,uncertainty,4,4,4
315,1,greedy,uncertainty,0,0,0
300,1,edf,uncertainty,0,0,0
301,1,edf,uncertainty,0,0,0
302,1,edf,uncertainty,-4,-4,-4
303,1,edf,uncertainty,0,0,0
304,1,edf,uncertainty,0,0,0
305,1,edf,uncertainty,-4,-4,-4
306,1,edf,uncertainty,0,0,0
307,1,edf,uncertainty,0,0,0
308,1,edf,uncertainty,-8,-8,-8
309,1,edf,uncertainty,0,0,0
310,1,edf,uncertainty,0,0,0
311,1,edf,uncertainty,-12,-12,-12
312,1,edf,uncertainty,0,0,0
313,1,edf,uncertainty,0,0,0
314,1,edf,uncertainty,0,0,0
315,1,edf,uncertainty,0,0,0
300,1,delay,uncertainty,0,0,0
301,1,delay,uncertainty,0,0,0
302,1,delay,uncertainty,-4,-4,-4
303,1,delay,uncertainty,0,0,0
304,1,delay,uncertainty,0,0,0
305,1,delay,uncertainty,-4,-4,-4
306,1,delay,uncertainty,0,0,0
307,1,delay,uncertainty,0,0,0
308,1,delay,uncertainty,-8,-8,-8
309,1,delay,uncertainty,0,0,0
310,1,delay,uncertainty,0,0,0
