policy,seed,scenario_hash,evidence,status,error,planned_calls,total_loss,accrued_loss,loss_upper_bound,correct_jobs,jobs_closed,reviews_started,reviews_completed,corrections,late_returns,expired_requests,review_busy_ticks,simulated_ticks_completed,incomplete_service,episode_wall_seconds,scheduled_calls,attempts,prompt_tokens,completion_tokens,unknown_token_attempts,request_wall_seconds,execution_index,folder,review_ticks,estimator_hash
fcfs,300,9c8dec59301d1742753949eb3b29cda6c01efef5b9aa19eb3849c0eadaf4c6fd,live_gpu,completed,,12,0,0,48,6,6,6,6,1,0,0,6,12,,2.237251,12,12,2624,84,0,1.6700757946819067,0,300/s1/fcfs,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,300,9c8dec59301d1742753949eb3b29cda6c01efef5b9aa19eb3849c0eadaf4c6fd,live_gpu,completed,,12,0,0,48,6,6,6,6,1,0,0,6,12,,3.239958,12,12,2624,84,0,1.6533219944685698,1,300/s1/uncertainty,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,300,9c8dec59301d1742753949eb3b29cda6c01efef5b9aa19eb3849c0eadaf4c6fd,live_gpu,completed,,12,0,0,48,6,6,6,6,1,0,0,6,12,,2.790649,12,12,2624,84,0,1.6583497114479542,2,300/s1/myopic,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,300,9c8dec59301d1742753949eb3b29cda6c01efef5b9aa19eb3849c0eadaf4c6fd,live_gpu,completed,,12,0,0,48,6,6,6,6,1,0,0,6,12,,2.205502,12,12,2624,84,0,1.6619105711579323,3,300/s1/greedy,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
edf,300,9c8dec59301d1742753949eb3b29cda6c01efef5b9aa19eb3849c0eadaf4c6fd,live_gpu,completed,,12,0,0,48,6,6,6,6,1,0,0,6,12,,2.237108,12,12,2624,84,0,1.6631418243050575,4,300/s1/edf,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,300,9c8dec59301d1742753949eb3b29cda6c01efef5b9aa19eb3849c0eadaf4c6fd,live_gpu,completed,,12,0,0,48,6,6,6,6,1,0,0,6,12,,2.25058,12,12,2624,84,0,1.6516339015215635,5,300/s1/delay,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,300,9c8dec59301d1742753949eb3b29cda6c01efef5b9aa19eb3849c0eadaf4c6fd,live_gpu,completed,,12,0,0,48,6,6,4,4,1,0,2,8,12,,2.201466,12,12,2570,84,0,1.6701228842139244,6,300/s2/uncertainty,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,300,9c8dec59301d1742753949eb3b29cda6c01efef5b9aa19eb3849c0eadaf4c6fd,live_gpu,completed,,12,0,0,48,6,6,4,4,1,0,2,8,12,,2.205272,12,12,2570,84,0,1.6893128957599401,7,300/s2/myopic,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,300,9c8dec59301d1742753949eb3b29cda6c01efef5b9aa19eb3849c0eadaf4c6fd,live_gpu,completed,,12,0,0,48,6,6,4,4,1,0,2,8,12,,2.225842,12,12,2570,84,0,1.6700839083641768,8,300/s2/greedy,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
edf,300,9c8dec59301d1742753949eb3b29cda6c01efef5b9aa19eb3849c0eadaf4c6fd,live_gpu,completed,,12,0,0,48,6,6,4,4,1,0,2,8,12,,2.20917,12,12,2570,84,0,1.6666865460574627,9,300/s2/edf,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,300,9c8dec59301d1742753949eb3b29cda6c01efef5b9aa19eb3849c0eadaf4c6fd,live_gpu,completed,,12,0,0,48,6,6,4,4,1,0,2,8,12,,2.324102,12,12,2570,84,0,1.6709735039621592,10,300/s2/delay,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,300,9c8dec59301d1742753949eb3b29cda6c01efef5b9aa19eb3849c0eadaf4c6fd,live_gpu,completed,,12,0,0,48,6,6,4,4,1,0,2,8,12,,2.227308,12,12,2570,84,0,1.6772918999195099,11,300/s2/fcfs,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,301,919db2443a551c1a0bedaf742f84cdc57ee0783a26de2d5355989dab342cdbe6,live_gpu,completed,,12,0,0,48,6,6,4,4,0,0,2,8,12,,2.19457,12,12,2570,84,0,1.6783459912985563,12,301/s2/myopic,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,301,919db2443a551c1a0bedaf742f84cdc57ee0783a26de2d5355989dab342cdbe6,live_gpu,completed,,12,0,0,48,6,6,4,4,0,0,2,8,12,,2.226699,12,12,2570,84,0,1.668416140601039,13,301/s2/greedy,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
edf,301,919db2443a551c1a0bedaf742f84cdc57ee0783a26de2d5355989dab342cdbe6,live_gpu,completed,,12,0,0,48,6,6,4,4,0,0,2,8,12,,2.203442,12,12,2570,84,0,1.669546164572239,14,301/s2/edf,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,301,919db2443a551c1a0bedaf742f84cdc57ee0783a26de2d5355989dab342cdbe6,live_gpu,completed,,12,0,0,48,6,6,4,4,0,0,2,8,12,,2.224784,12,12,2570,84,0,1.6741756182163954,15,301/s2/delay,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,301,919db2443a551c1a0bedaf742f84cdc57ee0783a26de2d5355989dab342cdbe6,live_gpu,completed,,12,0,0,48,6,6,4,4,0,0,2,8,12,,2.240366,12,12,2570,84,0,1.6738585717976093,16,301/s2/fcfs,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,301,919db2443a551c1a0bedaf742f84cdc57ee0783a26de2d5355989dab342cdbe6,live_gpu,completed,,12,0,0,48,6,6,4,4,0,0,2,8,12,,2.261873,12,12,2570,84,0,1.6703085601329803,17,301/s2/uncertainty,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,301,919db2443a551c1a0bedaf742f84cdc57ee0783a26de2d5355989dab342cdbe6,live_gpu,completed,,12,0,0,48,6,6,6,6,0,0,0,6,12,,2.261753,12,12,2624,84,0,1.683189071714878,18,301/s1/greedy,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
edf,301,919db2443a551c1a0bedaf742f84cdc57ee0783a26de2d5355989dab342cdbe6,live_gpu,completed,,12,0,0,48,6,6,6,6,0,0,0,6,12,,2.249763,12,12,2624,84,0,1.6803692393004894,19,301/s1/edf,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,301,919db2443a551c1a0bedaf742f84cdc57ee0783a26de2d5355989dab342cdbe6,live_gpu,completed,,12,0,0,48,6,6,6,6,0,0,0,6,12,,2.261562,12,12,2624,84,0,1.6723695062100887,20,301/s1/delay,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,301,919db2443a551c1a0bedaf742f84cdc57ee0783a26de2d5355989dab342cdbe6,live_gpu,completed,,12,0,0,48,6,6,5,5,0,0,1,5,12,,2.20832,12,12,2570,84,0,1.659965630620718,21,301/s1/fcfs,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,301,919db2443a551c1a0bedaf742f84cdc57ee0783a26de2d5355989dab342cdbe6,live_gpu,completed,,12,0,0,48,6,6,5,5,0,0,1,5,12,,2.207821,12,12,2570,84,0,1.6558300666511059,22,301/s1/uncertainty,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,301,919db2443a551c1a0bedaf742f84cdc57ee0783a26de2d5355989dab342cdbe6,live_gpu,completed,,12,0,0,48,6,6,6,6,0,0,0,6,12,,2.610998,12,12,2624,84,0,1.662078944966197,23,301/s1/myopic,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
edf,302,8ca9bd486018da55cabe3c0a9eff4beca930767197f6079e00fab451e5fd6d50,live_gpu,completed,,12,0,0,48,6,6,6,6,1,0,0,6,12,,2.289255,12,12,2624,84,0,1.6753050591796637,24,302/s1/edf,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,302,8ca9bd486018da55cabe3c0a9eff4beca930767197f6079e00fab451e5fd6d50,live_gpu,completed,,12,0,0,48,6,6,6,6,1,0,0,6,12,,2.22553,12,12,2624,84,0,1.6906555760651827,25,302/s1/delay,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
