seed,review_ticks,left,right,different_order
300,1,uncertainty,fcfs,False
301,1,uncertainty,fcfs,False
302,1,uncertainty,fcfs,False
303,1,uncertainty,fcfs,False
304,1,uncertainty,fcfs,False
305,1,uncertainty,fcfs,False
306,1,uncertainty,fcfs,True
307,1,uncertainty,fcfs,False
308,1,uncertainty,fcfs,False
309,1,uncertainty,fcfs,True
310,1,uncertainty,fcfs,False
311,1,uncertainty,fcfs,False
312,1,uncertainty,fcfs,False
313,1,uncertainty,fcfs,False
314,1,uncertainty,fcfs,False
315,1,uncertainty,fcfs,True
300,1,myopic,fcfs,True
301,1,myopic,fcfs,True
302,1,myopic,fcfs,True
303,1,myopic,fcfs,True
304,1,myopic,fcfs,True
305,1,myopic,fcfs,True
306,1,myopic,fcfs,True
307,1,myopic,fcfs,True
308,1,myopic,fcfs,True
309,1,myopic,fcfs,True
310,1,myopic,fcfs,True
311,1,myopic,fcfs,True
312,1,myopic,fcfs,True
313,1,myopic,fcfs,True
314,1,myopic,fcfs,True
315,1,myopic,fcfs,True
300,1,greedy,fcfs,True
301,1,greedy,fcfs,True
302,1,greedy,fcfs,True
303,1,greedy,fcfs,True
304,1,greedy,fcfs,True
305,1,greedy,fcfs,True
306,1,greedy,fcfs,True
307,1,greedy,fcfs,True
308,1,greedy,fcfs,True
309,1,greedy,fcfs,True
310,1,greedy,fcfs,True
311,1,greedy,fcfs,True
312,1,greedy,fcfs,True
313,1,greedy,fcfs,True
314,1,greedy,fcfs,True
315,1,greedy,fcfs,True
300,1,edf,fcfs,True
301,1,edf,fcfs,True
302,1,edf,fcfs,True
303,1,edf,fcfs,True
304,1,edf,fcfs,True
305,1,edf,fcfs,True
306,1,edf,fcfs,True
307,1,edf,fcfs,True
308,1,edf,fcfs,True
309,1,edf,fcfs,True
310,1,edf,fcfs,True
311,1,edf,fcfs,True
312,1,edf,fcfs,True
313,1,edf,fcfs,True
314,1,edf,fcfs,True
315,1,edf,fcfs,True
300,1,delay,fcfs,False
301,1,delay,fcfs,True
302,1,delay,fcfs,True
303,1,delay,fcfs,True
304,1,delay,fcfs,False
305,1,delay,fcfs,True
306,1,delay,fcfs,False
307,1,delay,fcfs,True
308,1,delay,fcfs,True
309,1,delay,fcfs,True
310,1,delay,fcfs,True
311,1,delay,fcfs,True
312,1,delay,fcfs,True
313,1,delay,fcfs,False
314,1,delay,fcfs,True
315,1,delay,fcfs,False
300,1,myopic,uncertainty,True
301,1,myopic,uncertainty,True
302,1,myopic,uncertainty,True
303,1,myopic,uncertainty,True
304,1,myopic,uncertainty,True
305,1,myopic,uncertainty,True
306,1,myopic,uncertainty,True
307,1,myopic,uncertainty,True
308,1,myopic,uncertainty,True
309,1,myopic,uncertainty,True
310,1,myopic,uncertainty,True
311,1,myopic,uncertainty,True
312,1,myopic,uncertainty,True
313,1,myopic,uncertainty,True
314,1,myopic,uncertainty,True
315,1,myopic,uncertainty,True
300,1,greedy,uncertainty,True
301,1,greedy,uncertainty,True
302,1,greedy,uncertainty,True
303,1,greedy,uncertainty,True
304,1,greedy,uncertainty,True
305,1,greedy,uncertainty,True
306,1,greedy,uncertainty,True
307,1,greedy,uncertainty,True
308,1,greedy,uncertainty,True
309,1,greedy,uncertainty,True
310,1,greedy,uncertainty,True
311,1,greedy,uncertainty,True
312,1,greedy,uncertainty,True
313,1,greedy,uncertainty,True
314,1,greedy,uncertainty,True
315,1,greedy,uncertainty,True
300,1,edf,uncertainty,True
301,1,edf,uncertainty,True
302,1,edf,uncertainty,True
303,1,edf,uncertainty,True
304,1,edf,uncertainty,True
305,1,edf,uncertainty,True
306,1,edf,uncertainty,True
307,1,edf,uncertainty,True
308,1,edf,uncertainty,True
309,1,edf,uncertainty,True
310,1,edf,uncertainty,True
311,1,edf,uncertainty,True
312,1,edf,uncertainty,True
313,1,edf,uncertainty,True
314,1,edf,uncertainty,True
315,1,edf,uncertainty,True
300,1,delay,uncertainty,False
301,1,delay,uncertainty,True
302,1,delay,uncertainty,True
303,1,delay,uncertainty,True
304,1,delay,uncertainty,False
305,1,delay,uncertainty,True
306,1,delay,uncertainty,True
307,1,delay,uncertainty,True
308,1,delay,uncertainty,True
309,1,delay,uncertainty,True
310,1,delay,uncertainty,True
311,1,delay,uncertainty,True
312,1,delay,uncertainty,True
313,1,delay,uncertainty,False
314,1,delay,uncertainty,True
315,1,delay,uncertainty,True
300,1,greedy,myopic,False
301,1,greedy,myopic,False
302,1,greedy,myopic,False
303,1,greedy,myopic,False
304,1,greedy,myopic,False
305,1,greedy,myopic,False
306,1,greedy,myopic,False
307,1,greedy,myopic,False
308,1,greedy,myopic,False
309,1,greedy,myopic,False
310,1,greedy,myopic,False
311,1,greedy,myopic,False
312,1,greedy,myopic,False
313,1,greedy,myopic,False
314,1,greedy,myopic,False
315,1,greedy,myopic,False
300,1,edf,myopic,False
301,1,edf,myopic,True
302,1,edf,myopic,True
303,1,edf,myopic,True
304,1,edf,myopic,True
305,1,edf,myopic,True
306,1,edf,myopic,True
307,1,edf,myopic,True
308,1,edf,myopic,True
309,1,edf,myopic,True
310,1,edf,myopic,True
311,1,edf,myopic,True
312,1,edf,myopic,True
313,1,edf,myopic,True
314,1,edf,myopic,True
315,1,edf,myopic,True
300,1,delay,myopic,True
301,1,delay,myopic,True
302,1,delay,myopic,True
303,1,delay,myopic,True
304,1,delay,myopic,True
305,1,delay,myopic,True
306,1,delay,myopic,True
307,1,delay,myopic,True
308,1,delay,myopic,False
309,1,delay,myopic,True
310,1,delay,myopic,True
311,1,delay,myopic,True
312,1,delay,myopic,True
313,1,delay,myopic,True
314,1,delay,myopic,True
315,1,delay,myopic,True
300,1,edf,greedy,False
301,1,edf,greedy,True
302,1,edf,greedy,True
303,1,edf,greedy,True
304,1,edf,greedy,True
305,1,edf,greedy,True
306,1,edf,greedy,True
307,1,edf,greedy,True
308,1,edf,greedy,True
309,1,edf,greedy,True
310,1,edf,greedy,True
311,1,edf,greedy,True
312,1,edf,greedy,True
313,1,edf,greedy,True
314,1,edf,greedy,True
315,1,edf,greedy,True
300,1,delay,greedy,True
301,1,delay,greedy,True
302,1,delay,greedy,True
303,1,delay,greedy,True
304,1,delay,greedy,True
305,1,delay,greedy,True
306,1,delay,greedy,True
307,1,delay,greedy,True
308,1,delay,greedy,False
309,1,delay,greedy,True
310,1,delay,greedy,True
311,1,delay,greedy,True
312,1,delay,greedy,True
313,1,delay,greedy,True
314,1,delay,greedy,True
315,1,delay,greedy,True
300,1,delay,edf,True
301,1,delay,edf,True
302,1,delay,edf,True
303,1,delay,edf,True
304,1,delay,edf,True
305,1,delay,edf,True
306,1,delay,edf,True
307,1,delay,edf,True
308,1,delay,edf,True
309,1,delay,edf,True
310,1,delay,edf,True
311,1,delay,edf,True
312,1,delay,edf,True
313,1,delay,edf,True
314,1,delay,edf,True
315,1,delay,edf,True
300,2,uncertainty,fcfs,False
301,2,uncertainty,fcfs,False
302,2,uncertainty,fcfs,False
303,2,uncertainty,fcfs,False
304,2,uncertainty,fcfs,False
305,2,uncertainty,fcfs,False
306,2,uncertainty,fcfs,True
307,2,uncertainty,fcfs,False
