seed,review_ticks,policy,status,review_order,timed_order
300,1,fcfs,completed,"['a0j0', 'a1j0', 'a2j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a0j0'), (1, 'a1j0'), (2, 'a2j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
300,1,uncertainty,completed,"['a0j0', 'a1j0', 'a2j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a0j0'), (1, 'a1j0'), (2, 'a2j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
300,1,myopic,completed,"['a1j0', 'a0j0', 'a2j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a1j0'), (1, 'a0j0'), (2, 'a2j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
300,1,greedy,completed,"['a1j0', 'a0j0', 'a2j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a1j0'), (1, 'a0j0'), (2, 'a2j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
300,1,edf,completed,"['a1j0', 'a0j0', 'a2j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a1j0'), (1, 'a0j0'), (2, 'a2j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
300,1,delay,completed,"['a0j0', 'a1j0', 'a2j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a0j0'), (1, 'a1j0'), (2, 'a2j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
300,2,uncertainty,completed,"['a0j0', 'a2j0', 'a0j1', 'a1j1']","[(0, 'a0j0'), (2, 'a2j0'), (6, 'a0j1'), (8, 'a1j1')]"
300,2,myopic,completed,"['a1j0', 'a0j0', 'a0j1', 'a1j1']","[(0, 'a1j0'), (2, 'a0j0'), (6, 'a0j1'), (8, 'a1j1')]"
300,2,greedy,completed,"['a1j0', 'a0j0', 'a0j1', 'a1j1']","[(0, 'a1j0'), (2, 'a0j0'), (6, 'a0j1'), (8, 'a1j1')]"
300,2,edf,completed,"['a1j0', 'a0j0', 'a0j1', 'a1j1']","[(0, 'a1j0'), (2, 'a0j0'), (6, 'a0j1'), (8, 'a1j1')]"
300,2,delay,completed,"['a1j0', 'a0j0', 'a0j1', 'a1j1']","[(0, 'a1j0'), (2, 'a0j0'), (6, 'a0j1'), (8, 'a1j1')]"
