seed,review_ticks,policy,tick,eligible_count,selected,search_greedy_disagreement,search_edf_disagreement,choice_fcfs,choice_uncertainty,choice_myopic,choice_greedy,choice_edf,choice_delay
300,2,uncertainty,0,3,a0j0,False,False,a0j0,a0j0,a1j0,a1j0,a1j0,a1j0
300,2,uncertainty,2,1,a2j0,False,False,a2j0,a2j0,a2j0,a2j0,a2j0,a2j0
300,2,uncertainty,4,0,,False,False,,,,,,
300,2,uncertainty,5,0,,False,False,,,,,,
300,2,uncertainty,6,3,a0j1,False,False,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
300,2,uncertainty,8,2,a1j1,False,False,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
300,2,uncertainty,10,0,,False,False,,,,,,
300,2,uncertainty,11,0,,False,False,,,,,,
300,2,myopic,0,3,a1j0,False,False,a0j0,a0j0,a1j0,a1j0,a1j0,a1j0
300,2,myopic,2,2,a0j0,False,False,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
300,2,myopic,4,0,,False,False,,,,,,
300,2,myopic,5,0,,False,False,,,,,,
300,2,myopic,6,3,a0j1,False,False,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
300,2,myopic,8,2,a1j1,False,False,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
300,2,myopic,10,0,,False,False,,,,,,
300,2,myopic,11,0,,False,False,,,,,,
300,2,greedy,0,3,a1j0,False,False,a0j0,a0j0,a1j0,a1j0,a1j0,a1j0
300,2,greedy,2,2,a0j0,False,False,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
300,2,greedy,4,0,,False,False,,,,,,
300,2,greedy,5,0,,False,False,,,,,,
300,2,greedy,6,3,a0j1,False,False,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
300,2,greedy,8,2,a1j1,False,False,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
300,2,greedy,10,0,,False,False,,,,,,
300,2,greedy,11,0,,False,False,,,,,,
300,2,edf,0,3,a1j0,False,False,a0j0,a0j0,a1j0,a1j0,a1j0,a1j0
300,2,edf,2,2,a0j0,False,False,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
300,2,edf,4,0,,False,False,,,,,,
300,2,edf,5,0,,False,False,,,,,,
300,2,edf,6,3,a0j1,False,False,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
300,2,edf,8,2,a1j1,False,False,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
300,2,edf,10,0,,False,False,,,,,,
300,2,edf,11,0,,False,False,,,,,,
300,2,delay,0,3,a1j0,False,False,a0j0,a0j0,a1j0,a1j0,a1j0,a1j0
300,2,delay,2,2,a0j0,False,False,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
300,2,delay,4,0,,False,False,,,,,,
300,2,delay,5,0,,False,False,,,,,,
300,2,delay,6,3,a0j1,False,False,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
300,2,delay,8,2,a1j1,False,False,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
300,2,delay,10,0,,False,False,,,,,,
300,2,delay,11,0,,False,False,,,,,,
300,2,fcfs,0,3,a0j0,False,False,a0j0,a0j0,a1j0,a1j0,a1j0,a1j0
300,2,fcfs,2,1,a2j0,False,False,a2j0,a2j0,a2j0,a2j0,a2j0,a2j0
300,2,fcfs,4,0,,False,False,,,,,,
300,2,fcfs,5,0,,False,False,,,,,,
300,2,fcfs,6,3,a0j1,False,False,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
300,2,fcfs,8,2,a1j1,False,False,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
300,2,fcfs,10,0,,False,False,,,,,,
300,2,fcfs,11,0,,False,False,,,,,,
301,2,myopic,0,3,a0j0,True,False,a0j0,a0j0,a0j0,a0j0,a2j0,a2j0
301,2,myopic,2,1,a1j0,False,False,a1j0,a1j0,a1j0,a1j0,a1j0,a1j0
301,2,myopic,4,0,,False,False,,,,,,
301,2,myopic,5,0,,False,False,,,,,,
301,2,myopic,6,3,a2j1,True,False,a0j1,a0j1,a2j1,a2j1,a1j1,a1j1
301,2,myopic,8,1,a0j1,False,False,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
301,2,myopic,10,0,,False,False,,,,,,
301,2,myopic,11,0,,False,False,,,,,,
301,2,greedy,0,3,a0j0,True,False,a0j0,a0j0,a0j0,a0j0,a2j0,a2j0
301,2,greedy,2,1,a1j0,False,False,a1j0,a1j0,a1j0,a1j0,a1j0,a1j0
301,2,greedy,4,0,,False,False,,,,,,
301,2,greedy,5,0,,False,False,,,,,,
301,2,greedy,6,3,a2j1,True,False,a0j1,a0j1,a2j1,a2j1,a1j1,a1j1
301,2,greedy,8,1,a0j1,False,False,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
301,2,greedy,10,0,,False,False,,,,,,
301,2,greedy,11,0,,False,False,,,,,,
301,2,edf,0,3,a2j0,True,False,a0j0,a0j0,a0j0,a0j0,a2j0,a2j0
301,2,edf,2,2,a1j0,False,True,a0j0,a0j0,a0j0,a0j0,a1j0,a0j0
301,2,edf,4,0,,False,False,,,,,,
301,2,edf,5,0,,False,False,,,,,,
301,2,edf,6,3,a1j1,True,False,a0j1,a0j1,a2j1,a2j1,a1j1,a1j1
301,2,edf,8,2,a2j1,False,False,a0j1,a0j1,a2j1,a2j1,a2j1,a2j1
301,2,edf,10,0,,False,False,,,,,,
301,2,edf,11,0,,False,False,,,,,,
301,2,delay,0,3,a2j0,True,False,a0j0,a0j0,a0j0,a0j0,a2j0,a2j0
301,2,delay,2,2,a0j0,False,True,a0j0,a0j0,a0j0,a0j0,a1j0,a0j0
301,2,delay,4,0,,False,False,,,,,,
301,2,delay,5,0,,False,False,,,,,,
301,2,delay,6,3,a1j1,True,False,a0j1,a0j1,a2j1,a2j1,a1j1,a1j1
301,2,delay,8,2,a2j1,False,False,a0j1,a0j1,a2j1,a2j1,a2j1,a2j1
301,2,delay,10,0,,False,False,,,,,,
301,2,delay,11,0,,False,False,,,,,,
301,2,fcfs,0,3,a0j0,True,False,a0j0,a0j0,a0j0,a0j0,a2j0,a2j0
301,2,fcfs,2,1,a1j0,False,False,a1j0,a1j0,a1j0,a1j0,a1j0,a1j0
301,2,fcfs,4,0,,False,False,,,,,,
301,2,fcfs,5,0,,False,False,,,,,,
301,2,fcfs,6,3,a0j1,True,False,a0j1,a0j1,a2j1,a2j1,a1j1,a1j1
301,2,fcfs,8,1,a2j1,False,False,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1
301,2,fcfs,10,0,,False,False,,,,,,
301,2,fcfs,11,0,,False,False,,,,,,
301,2,uncertainty,0,3,a0j0,True,False,a0j0,a0j0,a0j0,a0j0,a2j0,a2j0
301,2,uncertainty,2,1,a1j0,False,False,a1j0,a1j0,a1j0,a1j0,a1j0,a1j0
301,2,uncertainty,4,0,,False,False,,,,,,
301,2,uncertainty,5,0,,False,False,,,,,,
301,2,uncertainty,6,3,a0j1,True,False,a0j1,a0j1,a2j1,a2j1,a1j1,a1j1
