review_ticks,policy,planned_episodes,completed_episodes,incomplete_episodes,total_loss,correct_jobs,reviews_completed,corrections,expired_requests,expired_opportunities,wrong_expired_opportunities,late_returns,mean_loss,dispatch_opportunities,competing_dispatches,same_state_search_greedy_differences,same_state_search_edf_differences
1,fcfs,16,16,0,28,92,85,22,11,11,4,0,1.75,85,64,35,23
1,uncertainty,16,16,0,28,92,86,22,10,10,4,0,1.75,86,64,35,24
1,myopic,16,16,0,12,93,89,23,7,7,3,0,0.75,89,64,31,21
1,greedy,16,16,0,12,93,89,24,7,7,3,0,0.75,89,64,31,21
1,edf,16,16,0,0,96,96,27,0,0,0,0,0.0,96,64,35,34
1,delay,16,16,0,0,96,96,26,0,0,0,0,0.0,96,64,35,25
2,fcfs,16,16,0,52,88,64,18,32,32,8,0,3.25,64,42,22,9
2,uncertainty,16,16,0,56,88,64,18,32,32,8,0,3.5,64,43,22,9
2,myopic,16,16,0,52,88,64,18,32,32,8,0,3.25,64,39,22,9
2,greedy,16,16,0,52,88,64,18,32,32,8,0,3.25,64,39,22,9
2,edf,16,16,0,84,85,64,15,32,32,11,0,5.25,64,64,22,19
2,delay,16,16,0,44,85,64,15,32,32,11,0,2.75,64,57,22,16
