reviewer,weights,capacity,duration,comparison,mean_difference,ci_low,ci_high,wins,ties,losses,different_sequences
model_risk,uniform,2,2,search-edf,0.0,0.0,0.0,0,18,0,15
model_risk,uniform,2,2,search-no_review,2.2222222222222223,0.0,4.444444444444445,1,12,5,18
model_risk,uniform,2,3,search-greedy,0.0,0.0,0.0,0,18,0,0
model_risk,uniform,2,3,search-edf,0.0,0.0,0.0,0,18,0,11
model_risk,uniform,2,3,search-no_review,1.7777777777777777,-0.4444444444444444,4.0,1,13,4,18
ideal,heterogeneous,1,1,search-greedy,-0.4444444444444444,-1.1111111111111112,0.0,2,16,0,16
ideal,heterogeneous,1,1,search-edf,0.0,0.0,0.0,0,18,0,15
ideal,heterogeneous,1,1,search-no_review,-15.333333333333334,-20.0,-10.0,12,6,0,18
ideal,heterogeneous,1,2,search-greedy,-3.3333333333333335,-4.888888888888889,-1.7777777777777777,10,8,0,15
ideal,heterogeneous,1,2,search-edf,0.0,0.0,0.0,0,18,0,0
ideal,heterogeneous,1,2,search-no_review,-15.333333333333334,-20.0,-10.0,12,6,0,18
ideal,heterogeneous,1,3,search-greedy,-1.3333333333333333,-2.4444444444444446,-0.4444444444444444,5,13,0,5
ideal,heterogeneous,1,3,search-edf,0.0,0.0,0.0,0,18,0,0
ideal,heterogeneous,1,3,search-no_review,-10.0,-13.333333333333334,-6.444444444444445,12,6,0,18
ideal,heterogeneous,2,1,search-greedy,0.0,0.0,0.0,0,18,0,15
ideal,heterogeneous,2,1,search-edf,0.0,0.0,0.0,0,18,0,15
ideal,heterogeneous,2,1,search-no_review,-15.333333333333334,-20.0,-10.0,12,6,0,18
ideal,heterogeneous,2,2,search-greedy,-0.4444444444444444,-1.1111111111111112,0.0,2,16,0,16
ideal,heterogeneous,2,2,search-edf,0.0,0.0,0.0,0,18,0,15
ideal,heterogeneous,2,2,search-no_review,-15.333333333333334,-20.0,-10.0,12,6,0,18
ideal,heterogeneous,2,3,search-greedy,0.0,0.0,0.0,0,18,0,10
