batch,path,tick,policy,eligible,floating_choice,exact_canonical_choice,exact_regret,canonical_tie_difference
evaluation,batches/evaluation/episodes/capacity/larger/12000/a3/s1/frozen/delay/lambda0/events.jsonl.gz,0,delay,2,a2j0,a2j0,0.0,False
evaluation,batches/evaluation/episodes/capacity/larger/12000/a3/s1/frozen/delay/lambda0/events.jsonl.gz,1,delay,1,a0j0,a0j0,0.0,False
evaluation,batches/evaluation/episodes/capacity/larger/12000/a3/s1/frozen/delay/lambda0/events.jsonl.gz,2,delay,0,,,0.0,False
evaluation,batches/evaluation/episodes/capacity/larger/12000/a3/s1/frozen/delay/lambda0/events.jsonl.gz,3,delay,0,,,0.0,False
evaluation,batches/evaluation/episodes/capacity/larger/12000/a3/s1/frozen/delay/lambda0/events.jsonl.gz,4,delay,0,,,0.0,False
evaluation,batches/evaluation/episodes/capacity/larger/12000/a3/s1/frozen/delay/lambda0/events.jsonl.gz,5,delay,0,,,0.0,False
evaluation,batches/evaluation/episodes/capacity/larger/12000/a3/s1/frozen/delay/lambda0/events.jsonl.gz,6,delay,0,,,0.0,False
evaluation,batches/evaluation/episodes/capacity/larger/12000/a3/s1/frozen/delay/lambda0/events.jsonl.gz,7,delay,0,,,0.0,False
evaluation,batches/evaluation/episodes/capacity/larger/12000/a3/s1/frozen/delay/lambda0/events.jsonl.gz,8,delay,3,a0j1,a0j1,0.0,False
evaluation,batches/evaluation/episodes/capacity/larger/12000/a3/s1/frozen/delay/lambda0/events.jsonl.gz,9,delay,1,a2j1,a2j1,0.0,False
evaluation,batches/evaluation/episodes/capacity/larger/12000/a3/s1/frozen/delay/lambda0/events.jsonl.gz,10,delay,0,,,0.0,False
evaluation,batches/evaluation/episodes/capacity/larger/12000/a3/s1/frozen/delay/lambda0/events.jsonl.gz,11,delay,0,,,0.0,False
evaluation,batches/evaluation/episodes/capacity/larger/12000/a3/s1/frozen/delay/lambda0/events.jsonl.gz,12,delay,0,,,0.0,False
evaluation,batches/evaluation/episodes/capacity/larger/12000/a3/s1/frozen/delay/lambda0/events.jsonl.gz,13,delay,0,,,0.0,False
evaluation,batches/evaluation/episodes/capacity/larger/12000/a3/s1/frozen/delay/lambda0/events.jsonl.gz,14,delay,0,,,0.0,False
evaluation,batches/evaluation/episodes/capacity/larger/12000/a3/s1/frozen/delay/lambda0/events.jsonl.gz,15,delay,0,,,0.0,False
evaluation,batches/evaluation/episodes/capacity/larger/12000/a3/s1/frozen/delay/lambda0/events.jsonl.gz,16,delay,3,a2j2,a2j2,0.0,False
evaluation,batches/evaluation/episodes/capacity/larger/12000/a3/s1/frozen/delay/lambda0/events.jsonl.gz,17,delay,2,a1j2,a1j2,0.0,False
evaluation,batches/evaluation/episodes/capacity/larger/12000/a3/s1/frozen/delay/lambda0/events.jsonl.gz,18,delay,1,a0j2,a0j2,0.0,False
evaluation,batches/evaluation/episodes/capacity/larger/12000/a3/s1/frozen/delay/lambda0/events.jsonl.gz,19,delay,0,,,0.0,False
evaluation,batches/evaluation/episodes/capacity/larger/12000/a3/s1/frozen/delay/lambda0/events.jsonl.gz,20,delay,0,,,0.0,False
evaluation,batches/evaluation/episodes/capacity/larger/12000/a3/s1/frozen/delay/lambda0/events.jsonl.gz,21,delay,0,,,0.0,False
evaluation,batches/evaluation/episodes/capacity/larger/12000/a3/s1/frozen/delay/lambda0/events.jsonl.gz,22,delay,0,,,0.0,False
evaluation,batches/evaluation/episodes/capacity/larger/12000/a3/s1/frozen/delay/lambda0/events.jsonl.gz,23,delay,0,,,0.0,False
