agents,closure_penalty,execution_index,horizon,jobs,loss_upper_bound,phase,planned_calls,policy,review_ticks,risk,run_id,scenario_hash,seed,workload,tick,pending_count,eligible_count,selected,planning_seconds,ordered_subsets_evaluated,choice_frozen_greedy,choice_frozen_delay,choice_frozen_edf,choice_pooled_greedy,choice_pooled_delay,choice_pooled_edf,choice_analytical_greedy,choice_analytical_delay,choice_analytical_edf
3,0,0,12,6,48,objective_development,12,delay,1,frozen,objective_development/competition/412/a3/s1/frozen/delay/lambda0,c7ee5b55d3fd1ba5400052265dd28b8dfef2ac3819d5bcdd7ee0c700617d1797,412,competition,0,3,3,a0j0,9.786896407604218e-05,16,a0j0,a0j0,a1j0,a0j0,a0j0,a1j0,a0j0,a0j0,a1j0
3,0,0,12,6,48,objective_development,12,delay,1,frozen,objective_development/competition/412/a3/s1/frozen/delay/lambda0,c7ee5b55d3fd1ba5400052265dd28b8dfef2ac3819d5bcdd7ee0c700617d1797,412,competition,1,2,2,a1j0,3.285333514213562e-05,5,a2j0,a1j0,a1j0,a2j0,a1j0,a1j0,a2j0,a1j0,a1j0
3,0,0,12,6,48,objective_development,12,delay,1,frozen,objective_development/competition/412/a3/s1/frozen/delay/lambda0,c7ee5b55d3fd1ba5400052265dd28b8dfef2ac3819d5bcdd7ee0c700617d1797,412,competition,2,1,1,a2j0,1.782737672328949e-05,2,a2j0,a2j0,a2j0,a2j0,a2j0,a2j0,a2j0,a2j0,a2j0
3,0,0,12,6,48,objective_development,12,delay,1,frozen,objective_development/competition/412/a3/s1/frozen/delay/lambda0,c7ee5b55d3fd1ba5400052265dd28b8dfef2ac3819d5bcdd7ee0c700617d1797,412,competition,3,0,0,,9.339302778244019e-06,1,,,,,,,,,
3,0,0,12,6,48,objective_development,12,delay,1,frozen,objective_development/competition/412/a3/s1/frozen/delay/lambda0,c7ee5b55d3fd1ba5400052265dd28b8dfef2ac3819d5bcdd7ee0c700617d1797,412,competition,4,0,0,,5.790963768959045e-06,1,,,,,,,,,
3,0,0,12,6,48,objective_development,12,delay,1,frozen,objective_development/competition/412/a3/s1/frozen/delay/lambda0,c7ee5b55d3fd1ba5400052265dd28b8dfef2ac3819d5bcdd7ee0c700617d1797,412,competition,5,0,0,,5.299225449562073e-06,1,,,,,,,,,
3,0,0,12,6,48,objective_development,12,delay,1,frozen,objective_development/competition/412/a3/s1/frozen/delay/lambda0,c7ee5b55d3fd1ba5400052265dd28b8dfef2ac3819d5bcdd7ee0c700617d1797,412,competition,6,3,3,a0j1,7.078982889652252e-05,16,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
3,0,0,12,6,48,objective_development,12,delay,1,frozen,objective_development/competition/412/a3/s1/frozen/delay/lambda0,c7ee5b55d3fd1ba5400052265dd28b8dfef2ac3819d5bcdd7ee0c700617d1797,412,competition,7,2,2,a1j1,5.5870041251182556e-05,5,a2j1,a1j1,a2j1,a2j1,a1j1,a2j1,a2j1,a1j1,a2j1
3,0,0,12,6,48,objective_development,12,delay,1,frozen,objective_development/competition/412/a3/s1/frozen/delay/lambda0,c7ee5b55d3fd1ba5400052265dd28b8dfef2ac3819d5bcdd7ee0c700617d1797,412,competition,8,1,1,a2j1,1.7391517758369446e-05,2,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1
3,0,0,12,6,48,objective_development,12,delay,1,frozen,objective_development/competition/412/a3/s1/frozen/delay/lambda0,c7ee5b55d3fd1ba5400052265dd28b8dfef2ac3819d5bcdd7ee0c700617d1797,412,competition,9,0,0,,8.732080459594727e-06,1,,,,,,,,,
3,0,0,12,6,48,objective_development,12,delay,1,frozen,objective_development/competition/412/a3/s1/frozen/delay/lambda0,c7ee5b55d3fd1ba5400052265dd28b8dfef2ac3819d5bcdd7ee0c700617d1797,412,competition,10,0,0,,4.0978193283081055e-06,1,,,,,,,,,
3,0,0,12,6,48,objective_development,12,delay,1,frozen,objective_development/competition/412/a3/s1/frozen/delay/lambda0,c7ee5b55d3fd1ba5400052265dd28b8dfef2ac3819d5bcdd7ee0c700617d1797,412,competition,11,0,0,,3.339722752571106e-06,1,,,,,,,,,
3,4,1,12,6,48,objective_development,12,delay,1,frozen,objective_development/competition/412/a3/s1/frozen/delay/lambda4,c7ee5b55d3fd1ba5400052265dd28b8dfef2ac3819d5bcdd7ee0c700617d1797,412,competition,0,3,3,a0j0,6.798841059207916e-05,16,a0j0,a0j0,a1j0,a0j0,a0j0,a1j0,a0j0,a0j0,a1j0
3,4,1,12,6,48,objective_development,12,delay,1,frozen,objective_development/competition/412/a3/s1/frozen/delay/lambda4,c7ee5b55d3fd1ba5400052265dd28b8dfef2ac3819d5bcdd7ee0c700617d1797,412,competition,1,2,2,a1j0,2.1170824766159058e-05,5,a2j0,a1j0,a1j0,a2j0,a1j0,a1j0,a2j0,a1j0,a1j0
3,4,1,12,6,48,objective_development,12,delay,1,frozen,objective_development/competition/412/a3/s1/frozen/delay/lambda4,c7ee5b55d3fd1ba5400052265dd28b8dfef2ac3819d5bcdd7ee0c700617d1797,412,competition,2,1,1,a2j0,1.2550503015518188e-05,2,a2j0,a2j0,a2j0,a2j0,a2j0,a2j0,a2j0,a2j0,a2j0
3,4,1,12,6,48,objective_development,12,delay,1,frozen,objective_development/competition/412/a3/s1/frozen/delay/lambda4,c7ee5b55d3fd1ba5400052265dd28b8dfef2ac3819d5bcdd7ee0c700617d1797,412,competition,3,0,0,,4.040077328681946e-06,1,,,,,,,,,
3,4,1,12,6,48,objective_development,12,delay,1,frozen,objective_development/competition/412/a3/s1/frozen/delay/lambda4,c7ee5b55d3fd1ba5400052265dd28b8dfef2ac3819d5bcdd7ee0c700617d1797,412,competition,4,0,0,,8.469447493553162e-06,1,,,,,,,,,
3,4,1,12,6,48,objective_development,12,delay,1,frozen,objective_development/competition/412/a3/s1/frozen/delay/lambda4,c7ee5b55d3fd1ba5400052265dd28b8dfef2ac3819d5bcdd7ee0c700617d1797,412,competition,5,0,0,,7.269904017448425e-06,1,,,,,,,,,
3,4,1,12,6,48,objective_development,12,delay,1,frozen,objective_development/competition/412/a3/s1/frozen/delay/lambda4,c7ee5b55d3fd1ba5400052265dd28b8dfef2ac3819d5bcdd7ee0c700617d1797,412,competition,6,3,3,a0j1,5.7598575949668884e-05,16,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
3,4,1,12,6,48,objective_development,12,delay,1,frozen,objective_development/competition/412/a3/s1/frozen/delay/lambda4,c7ee5b55d3fd1ba5400052265dd28b8dfef2ac3819d5bcdd7ee0c700617d1797,412,competition,7,2,2,a1j1,3.900937736034393e-05,5,a2j1,a1j1,a2j1,a2j1,a1j1,a2j1,a2j1,a1j1,a2j1
3,4,1,12,6,48,objective_development,12,delay,1,frozen,objective_development/competition/412/a3/s1/frozen/delay/lambda4,c7ee5b55d3fd1ba5400052265dd28b8dfef2ac3819d5bcdd7ee0c700617d1797,412,competition,8,1,1,a2j1,1.698918640613556e-05,2,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1
3,4,1,12,6,48,objective_development,12,delay,1,frozen,objective_development/competition/412/a3/s1/frozen/delay/lambda4,c7ee5b55d3fd1ba5400052265dd28b8dfef2ac3819d5bcdd7ee0c700617d1797,412,competition,9,0,0,,5.11854887008667e-06,1,,,,,,,,,
3,4,1,12,6,48,objective_development,12,delay,1,frozen,objective_development/competition/412/a3/s1/frozen/delay/lambda4,c7ee5b55d3fd1ba5400052265dd28b8dfef2ac3819d5bcdd7ee0c700617d1797,412,competition,10,0,0,,6.759539246559143e-06,1,,,,,,,,,
3,4,1,12,6,48,objective_development,12,delay,1,frozen,objective_development/competition/412/a3/s1/frozen/delay/lambda4,c7ee5b55d3fd1ba5400052265dd28b8dfef2ac3819d5bcdd7ee0c700617d1797,412,competition,11,0,0,,3.850087523460388e-06,1,,,,,,,,,
3,8,2,12,6,48,objective_development,12,delay,1,frozen,objective_development/competition/412/a3/s1/frozen/delay/lambda8,c7ee5b55d3fd1ba5400052265dd28b8dfef2ac3819d5bcdd7ee0c700617d1797,412,competition,0,3,3,a0j0,5.377829074859619e-05,16,a0j0,a0j0,a1j0,a0j0,a0j0,a1j0,a0j0,a0j0,a1j0
