agents,closure_penalty,execution_index,horizon,jobs,loss_upper_bound,phase,planned_calls,policy,review_ticks,risk,run_id,scenario_hash,seed,workload,status,review_order,timed_order
3,0,0,12,6,48,objective_development,12,delay,1,frozen,objective_development/competition/412/a3/s1/frozen/delay/lambda0,c7ee5b55d3fd1ba5400052265dd28b8dfef2ac3819d5bcdd7ee0c700617d1797,412,competition,completed,"['a0j0', 'a1j0', 'a2j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a0j0'), (1, 'a1j0'), (2, 'a2j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
3,4,1,12,6,48,objective_development,12,delay,1,frozen,objective_development/competition/412/a3/s1/frozen/delay/lambda4,c7ee5b55d3fd1ba5400052265dd28b8dfef2ac3819d5bcdd7ee0c700617d1797,412,competition,completed,"['a0j0', 'a1j0', 'a2j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a0j0'), (1, 'a1j0'), (2, 'a2j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
3,8,2,12,6,48,objective_development,12,delay,1,frozen,objective_development/competition/412/a3/s1/frozen/delay/lambda8,c7ee5b55d3fd1ba5400052265dd28b8dfef2ac3819d5bcdd7ee0c700617d1797,412,competition,completed,"['a0j0', 'a1j0', 'a2j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a0j0'), (1, 'a1j0'), (2, 'a2j0'), (6, 'a0j1'), (7, 'a1j1'), (8, 'a2j1')]"
3,0,3,12,6,48,objective_development,12,delay,2,frozen,objective_development/competition/412/a3/s2/frozen/delay/lambda0,c7ee5b55d3fd1ba5400052265dd28b8dfef2ac3819d5bcdd7ee0c700617d1797,412,competition,completed,"['a0j0', 'a2j0', 'a0j1', 'a2j1']","[(0, 'a0j0'), (2, 'a2j0'), (6, 'a0j1'), (8, 'a2j1')]"
3,4,4,12,6,48,objective_development,12,delay,2,frozen,objective_development/competition/412/a3/s2/frozen/delay/lambda4,c7ee5b55d3fd1ba5400052265dd28b8dfef2ac3819d5bcdd7ee0c700617d1797,412,competition,completed,"['a0j0', 'a2j0', 'a0j1', 'a2j1']","[(0, 'a0j0'), (2, 'a2j0'), (6, 'a0j1'), (8, 'a2j1')]"
3,8,5,12,6,48,objective_development,12,delay,2,frozen,objective_development/competition/412/a3/s2/frozen/delay/lambda8,c7ee5b55d3fd1ba5400052265dd28b8dfef2ac3819d5bcdd7ee0c700617d1797,412,competition,completed,"['a0j0', 'a2j0', 'a0j1', 'a2j1']","[(0, 'a0j0'), (2, 'a2j0'), (6, 'a0j1'), (8, 'a2j1')]"
6,0,6,24,18,210,objective_development,36,delay,1,frozen,objective_development/larger/412/a6/s1/frozen/delay/lambda0,b1cc9d538ab4be3713eef556528d6ba1cc4b990867e701479041e8815f9e1c8f,412,larger,completed,"['a3j0', 'a0j0', 'a1j0', 'a5j0', 'a2j0', 'a2j1', 'a0j1', 'a5j1', 'a1j1', 'a0j2', 'a2j2', 'a1j2', 'a4j2', 'a5j2']","[(0, 'a3j0'), (1, 'a0j0'), (2, 'a1j0'), (3, 'a5j0'), (4, 'a2j0'), (8, 'a2j1'), (9, 'a0j1'), (10, 'a5j1'), (11, 'a1j1'), (16, 'a0j2'), (17, 'a2j2'), (18, 'a1j2'), (19, 'a4j2'), (20, 'a5j2')]"
6,4,7,24,18,210,objective_development,36,delay,1,frozen,objective_development/larger/412/a6/s1/frozen/delay/lambda4,b1cc9d538ab4be3713eef556528d6ba1cc4b990867e701479041e8815f9e1c8f,412,larger,completed,"['a0j0', 'a1j0', 'a5j0', 'a3j0', 'a2j0', 'a2j1', 'a3j1', 'a5j1', 'a0j1', 'a1j1', 'a0j2', 'a3j2', 'a1j2', 'a2j2', 'a4j2', 'a5j2']","[(0, 'a0j0'), (1, 'a1j0'), (2, 'a5j0'), (3, 'a3j0'), (4, 'a2j0'), (8, 'a2j1'), (9, 'a3j1'), (10, 'a5j1'), (11, 'a0j1'), (12, 'a1j1'), (16, 'a0j2'), (17, 'a3j2'), (18, 'a1j2'), (19, 'a2j2'), (20, 'a4j2'), (21, 'a5j2')]"
6,8,8,24,18,210,objective_development,36,delay,1,frozen,objective_development/larger/412/a6/s1/frozen/delay/lambda8,b1cc9d538ab4be3713eef556528d6ba1cc4b990867e701479041e8815f9e1c8f,412,larger,completed,"['a0j0', 'a1j0', 'a5j0', 'a3j0', 'a2j0', 'a2j1', 'a3j1', 'a5j1', 'a0j1', 'a1j1', 'a0j2', 'a3j2', 'a1j2', 'a2j2', 'a4j2', 'a5j2']","[(0, 'a0j0'), (1, 'a1j0'), (2, 'a5j0'), (3, 'a3j0'), (4, 'a2j0'), (8, 'a2j1'), (9, 'a3j1'), (10, 'a5j1'), (11, 'a0j1'), (12, 'a1j1'), (16, 'a0j2'), (17, 'a3j2'), (18, 'a1j2'), (19, 'a2j2'), (20, 'a4j2'), (21, 'a5j2')]"
6,0,9,24,18,210,objective_development,36,delay,2,frozen,objective_development/larger/412/a6/s2/frozen/delay/lambda0,b1cc9d538ab4be3713eef556528d6ba1cc4b990867e701479041e8815f9e1c8f,412,larger,completed,"['a0j0', 'a1j0', 'a2j0', 'a0j1', 'a1j1', 'a3j2', 'a0j2', 'a2j2']","[(0, 'a0j0'), (2, 'a1j0'), (4, 'a2j0'), (8, 'a0j1'), (10, 'a1j1'), (16, 'a3j2'), (18, 'a0j2'), (20, 'a2j2')]"
6,4,10,24,18,210,objective_development,36,delay,2,frozen,objective_development/larger/412/a6/s2/frozen/delay/lambda4,b1cc9d538ab4be3713eef556528d6ba1cc4b990867e701479041e8815f9e1c8f,412,larger,completed,"['a0j0', 'a1j0', 'a2j0', 'a2j1', 'a1j1', 'a3j2', 'a0j2', 'a2j2']","[(0, 'a0j0'), (2, 'a1j0'), (4, 'a2j0'), (8, 'a2j1'), (10, 'a1j1'), (16, 'a3j2'), (18, 'a0j2'), (20, 'a2j2')]"
