id,replicate,method,budget,error_weight,failed_calls,tasks,project_correct,correct,incorrect,unfinished,loss,questions,distinct_questions,repeated_questions,incorrect_scope_transfers,initial_predicted_loss,final_predicted_loss,predicted_benefit,realized_benefit,planning_nodes,planning_caps
MUL0051.json,0,semantic_memory,0,2.0,0,2,1,2,0,0,0,0,0,0,0,0.8635363902959212,0.8635363902959212,0.0,0,0,0
MUL0051.json,0,semantic_memory,1,2.0,0,2,1,2,0,0,0,0,0,0,0,0.8635363902959212,0.8635363902959212,0.0,0,0,0
MUL0051.json,0,semantic_memory,2,2.0,0,2,1,2,0,0,0,0,0,0,0,0.8635363902959212,0.8635363902959212,0.0,0,0,0
MUL0051.json,0,semantic_memory,4,2.0,0,2,1,2,0,0,0,0,0,0,0,0.8635363902959212,0.8635363902959212,0.0,0,0,0
MUL0051.json,0,semantic_memory,6,2.0,0,2,1,2,0,0,0,0,0,0,0,0.8635363902959212,0.8635363902959212,0.0,0,0,0
MUL0051.json,0,semantic_memory,unlimited,2.0,0,2,1,2,0,0,0,0,0,0,0,0.8635363902959212,0.8635363902959212,0.0,0,0,0
MUL0051.json,0,full_history,0,2.0,0,2,1,2,0,0,0,0,0,0,0,0.6700960219478738,0.6700960219478738,0.0,0,0,0
MUL0051.json,0,full_history,1,2.0,0,2,1,2,0,0,0,0,0,0,0,0.6700960219478738,0.6700960219478738,0.0,0,0,0
MUL0051.json,0,full_history,2,2.0,0,2,1,2,0,0,0,0,0,0,0,0.6700960219478738,0.6700960219478738,0.0,0,0,0
MUL0051.json,0,full_history,4,2.0,0,2,1,2,0,0,0,0,0,0,0,0.6700960219478738,0.6700960219478738,0.0,0,0,0
MUL0051.json,0,full_history,6,2.0,0,2,1,2,0,0,0,0,0,0,0,0.6700960219478738,0.6700960219478738,0.0,0,0,0
MUL0051.json,0,full_history,unlimited,2.0,0,2,1,2,0,0,0,0,0,0,0,0.6700960219478738,0.6700960219478738,0.0,0,0,0
MUL0051.json,0,one_step,0,2.0,0,2,1,2,0,0,0,0,0,0,0,0.8635363902959212,0.8635363902959212,0.0,0,0,0
MUL0051.json,0,one_step,1,2.0,0,2,1,2,0,0,0,1,1,0,0,0.8635363902959212,0.5381231671554254,0.3254132231404958,0,7,0
MUL0051.json,0,one_step,2,2.0,0,2,1,2,0,0,0,2,2,0,0,0.8635363902959212,0.12903225806451624,0.734504132231405,0,12,0
MUL0051.json,0,one_step,4,2.0,0,2,1,2,0,0,0,3,3,0,0,0.8635363902959212,0.0,0.8635363902959212,0,15,0
MUL0051.json,0,one_step,6,2.0,0,2,1,2,0,0,0,3,3,0,0,0.8635363902959212,0.0,0.8635363902959212,0,15,0
MUL0051.json,0,one_step,unlimited,2.0,0,2,1,2,0,0,0,3,3,0,0,0.8635363902959212,0.0,0.8635363902959212,0,15,0
MUL0051.json,0,completion,0,2.0,0,2,1,2,0,0,0,0,0,0,0,0.8635363902959212,0.8635363902959212,0.0,0,0,0
MUL0051.json,0,completion,1,2.0,0,2,1,2,0,0,0,1,1,0,0,0.8635363902959212,0.734504132231405,0.12903225806451624,0,0,0
MUL0051.json,0,completion,2,2.0,0,2,1,2,0,0,0,2,2,0,0,0.8635363902959212,0.40909090909090917,0.45444548120501205,0,0,0
MUL0051.json,0,completion,4,2.0,0,2,1,2,0,0,0,3,3,0,0,0.8635363902959212,0.0,0.8635363902959212,0,0,0
MUL0051.json,0,completion,6,2.0,0,2,1,2,0,0,0,3,3,0,0,0.8635363902959212,0.0,0.8635363902959212,0,0,0
MUL0051.json,0,completion,unlimited,2.0,0,2,1,2,0,0,0,3,3,0,0,0.8635363902959212,0.0,0.8635363902959212,0,0,0
