context,first,second,budget,difference
dc9d58a4e24a74d52f719372c1a16e7f,adaptive,fixed_audit,1,0.0
33295076b558d53b86fd6e5537022af6,adaptive,fixed_audit,1,0.0
b3d63fb06110ad7e91c9e765227c1d27,adaptive,fixed_audit,1,0.0
1424e718ab72e7d0bc792bbed0f42df6,adaptive,fixed_audit,1,0.0
9a43ac474979cb7ecf516b5a8e7849ee,adaptive,fixed_audit,1,0.0
5f0466453acb53d17eee77ec763d9a98,adaptive,fixed_audit,1,0.0
5e5f8b76df669b1a32df3074c2c551be,adaptive,fixed_audit,1,0.0
eb68753385d270d4b17f5b370691851a,adaptive,fixed_audit,1,0.0
dbab56c6c9ced463d8eb498d67c8bc9c,adaptive,fixed_audit,1,0.0
f4e5e687e6185cabde6d70a4d37f729f,adaptive,fixed_audit,1,0.0
db8d48c3fd57f4b9d317ed95b3a5b496,adaptive,fixed_audit,1,0.0
5ce1713d9128f3759369b6274e111c33,adaptive,fixed_audit,1,0.0
13d7e83488f2ab1456d31bb9ac247990,adaptive,fixed_audit,1,0.0
2da56df966a1c15057d2661ce589be1c,adaptive,fixed_audit,1,0.0
3bffffb2d174ab95cfdeb3eacc9c0afb,adaptive,fixed_audit,1,0.0
ea8b291b240fab467592f64e1d073957,adaptive,fixed_audit,1,0.0
4c831b52efd5a0200d3f85447d6437a3,adaptive,fixed_audit,1,0.0
bf3bb2fe848111c6f1370b66cdd8da3e,adaptive,fixed_audit,1,0.0
9246b58ea8656eecf7739094d072f0b8,adaptive,fixed_audit,1,0.0
4bf6297fe4aaf51d58b160a778fadc6f,adaptive,fixed_audit,1,0.0
7e10b02ae31ffbb6fed72213553ebe50,adaptive,fixed_audit,1,0.0
a06963067573666d15cc4484808dd226,adaptive,fixed_audit,1,0.0
36d1468e2be20ccc765f76c712ed5e1e,adaptive,fixed_audit,1,0.0
6c509acf4599f1a22272abbe9a37a1ec,adaptive,fixed_audit,1,0.0
dc9d58a4e24a74d52f719372c1a16e7f,adaptive,fixed_audit,2,0.0
33295076b558d53b86fd6e5537022af6,adaptive,fixed_audit,2,-0.16666666666666674
b3d63fb06110ad7e91c9e765227c1d27,adaptive,fixed_audit,2,0.0
1424e718ab72e7d0bc792bbed0f42df6,adaptive,fixed_audit,2,-0.08333333333333334
9a43ac474979cb7ecf516b5a8e7849ee,adaptive,fixed_audit,2,-0.08333333333333331
5f0466453acb53d17eee77ec763d9a98,adaptive,fixed_audit,2,0.0
5e5f8b76df669b1a32df3074c2c551be,adaptive,fixed_audit,2,0.0
eb68753385d270d4b17f5b370691851a,adaptive,fixed_audit,2,0.08333333333333331
dbab56c6c9ced463d8eb498d67c8bc9c,adaptive,fixed_audit,2,0.0
f4e5e687e6185cabde6d70a4d37f729f,adaptive,fixed_audit,2,-0.16666666666666663
db8d48c3fd57f4b9d317ed95b3a5b496,adaptive,fixed_audit,2,-0.08333333333333331
5ce1713d9128f3759369b6274e111c33,adaptive,fixed_audit,2,0.0
13d7e83488f2ab1456d31bb9ac247990,adaptive,fixed_audit,2,0.0
2da56df966a1c15057d2661ce589be1c,adaptive,fixed_audit,2,0.08333333333333331
3bffffb2d174ab95cfdeb3eacc9c0afb,adaptive,fixed_audit,2,0.0
ea8b291b240fab467592f64e1d073957,adaptive,fixed_audit,2,0.0
4c831b52efd5a0200d3f85447d6437a3,adaptive,fixed_audit,2,0.0
bf3bb2fe848111c6f1370b66cdd8da3e,adaptive,fixed_audit,2,-0.08333333333333331
9246b58ea8656eecf7739094d072f0b8,adaptive,fixed_audit,2,0.08333333333333334
4bf6297fe4aaf51d58b160a778fadc6f,adaptive,fixed_audit,2,0.0
7e10b02ae31ffbb6fed72213553ebe50,adaptive,fixed_audit,2,0.08333333333333334
a06963067573666d15cc4484808dd226,adaptive,fixed_audit,2,-0.08333333333333331
36d1468e2be20ccc765f76c712ed5e1e,adaptive,fixed_audit,2,0.0
6c509acf4599f1a22272abbe9a37a1ec,adaptive,fixed_audit,2,-0.08333333333333334
dc9d58a4e24a74d52f719372c1a16e7f,adaptive,fixed_audit,3,0.0
33295076b558d53b86fd6e5537022af6,adaptive,fixed_audit,3,-0.16666666666666663
b3d63fb06110ad7e91c9e765227c1d27,adaptive,fixed_audit,3,-0.16666666666666674
1424e718ab72e7d0bc792bbed0f42df6,adaptive,fixed_audit,3,-0.16666666666666663
9a43ac474979cb7ecf516b5a8e7849ee,adaptive,fixed_audit,3,-0.16666666666666674
5f0466453acb53d17eee77ec763d9a98,adaptive,fixed_audit,3,0.0
5e5f8b76df669b1a32df3074c2c551be,adaptive,fixed_audit,3,0.0
eb68753385d270d4b17f5b370691851a,adaptive,fixed_audit,3,0.0
dc9d58a4e24a74d52f719372c1a16e7f,adaptive,individual,1,0.0
33295076b558d53b86fd6e5537022af6,adaptive,individual,1,0.0
b3d63fb06110ad7e91c9e765227c1d27,adaptive,individual,1,0.0
1424e718ab72e7d0bc792bbed0f42df6,adaptive,individual,1,-0.08333333333333334
9a43ac474979cb7ecf516b5a8e7849ee,adaptive,individual,1,-0.08333333333333331
5f0466453acb53d17eee77ec763d9a98,adaptive,individual,1,0.08333333333333331
5e5f8b76df669b1a32df3074c2c551be,adaptive,individual,1,-0.08333333333333334
eb68753385d270d4b17f5b370691851a,adaptive,individual,1,-0.16666666666666663
dbab56c6c9ced463d8eb498d67c8bc9c,adaptive,individual,1,0.0
f4e5e687e6185cabde6d70a4d37f729f,adaptive,individual,1,0.0
db8d48c3fd57f4b9d317ed95b3a5b496,adaptive,individual,1,0.0
5ce1713d9128f3759369b6274e111c33,adaptive,individual,1,0.0
13d7e83488f2ab1456d31bb9ac247990,adaptive,individual,1,0.0
2da56df966a1c15057d2661ce589be1c,adaptive,individual,1,0.08333333333333331
3bffffb2d174ab95cfdeb3eacc9c0afb,adaptive,individual,1,0.16666666666666669
ea8b291b240fab467592f64e1d073957,adaptive,individual,1,-0.08333333333333334
4c831b52efd5a0200d3f85447d6437a3,adaptive,individual,1,0.0
bf3bb2fe848111c6f1370b66cdd8da3e,adaptive,individual,1,-0.33333333333333337
9246b58ea8656eecf7739094d072f0b8,adaptive,individual,1,-0.25
4bf6297fe4aaf51d58b160a778fadc6f,adaptive,individual,1,-0.16666666666666669
7e10b02ae31ffbb6fed72213553ebe50,adaptive,individual,1,0.08333333333333334
a06963067573666d15cc4484808dd226,adaptive,individual,1,-0.08333333333333337
36d1468e2be20ccc765f76c712ed5e1e,adaptive,individual,1,0.0
6c509acf4599f1a22272abbe9a37a1ec,adaptive,individual,1,0.0
dc9d58a4e24a74d52f719372c1a16e7f,adaptive,individual,2,0.0
33295076b558d53b86fd6e5537022af6,adaptive,individual,2,-0.16666666666666674
b3d63fb06110ad7e91c9e765227c1d27,adaptive,individual,2,0.0
1424e718ab72e7d0bc792bbed0f42df6,adaptive,individual,2,-0.08333333333333334
9a43ac474979cb7ecf516b5a8e7849ee,adaptive,individual,2,-0.16666666666666669
5f0466453acb53d17eee77ec763d9a98,adaptive,individual,2,0.0
5e5f8b76df669b1a32df3074c2c551be,adaptive,individual,2,0.0
eb68753385d270d4b17f5b370691851a,adaptive,individual,2,0.0
dbab56c6c9ced463d8eb498d67c8bc9c,adaptive,individual,2,0.0
f4e5e687e6185cabde6d70a4d37f729f,adaptive,individual,2,-0.16666666666666663
db8d48c3fd57f4b9d317ed95b3a5b496,adaptive,individual,2,-0.08333333333333331
5ce1713d9128f3759369b6274e111c33,adaptive,individual,2,0.0
13d7e83488f2ab1456d31bb9ac247990,adaptive,individual,2,0.0
2da56df966a1c15057d2661ce589be1c,adaptive,individual,2,0.08333333333333331
3bffffb2d174ab95cfdeb3eacc9c0afb,adaptive,individual,2,0.16666666666666666
ea8b291b240fab467592f64e1d073957,adaptive,individual,2,-0.16666666666666666
