first,second,budget,mean,low,high,wins,ties,losses,n
adaptive,fixed_audit,1,0.0,0.0,0.0,0,24,0,24
adaptive,fixed_audit,2,-0.020833333333333332,-0.048611111111111105,0.003472222222222226,4,12,8,24
adaptive,fixed_audit,3,-0.08333333333333334,-0.14583333333333334,-0.020833333333333343,0,4,4,8
adaptive,individual,1,-0.03819444444444445,-0.08333333333333333,0.0034722222222222203,4,11,9,24
adaptive,individual,2,-0.03819444444444444,-0.07994791666666667,0.006944444444444448,4,11,9,24
adaptive,individual_risk,1,-0.041666666666666664,-0.08680555555555557,0.0034722222222222147,3,13,8,24
adaptive,individual_risk,2,-0.048611111111111105,-0.09722222222222222,0.0,4,9,11,24
adaptive,memory,1,0.048611111111111105,0.006857638888888891,0.09722222222222222,11,8,5,24
adaptive,memory,2,-0.03125,-0.07291666666666667,0.006944444444444445,7,5,12,24
adaptive,source_rule,1,-0.0069444444444444475,-0.02777777777777778,0.013888888888888886,4,14,6,24
adaptive,source_rule,2,-0.006944444444444443,-0.038194444444444454,0.02777777777777778,5,12,7,24
source_rule,reattempt,1,-0.010416666666666666,-0.03819444444444445,0.010416666666666666,2,20,2,24
source_rule,reattempt,2,-0.02083333333333334,-0.05902777777777777,0.017361111111111105,2,16,6,24
memory,individual,1,-0.08680555555555557,-0.15972222222222224,-0.024305555555555556,5,6,13,24
memory,individual,2,-0.006944444444444445,-0.05208333333333332,0.03472222222222222,8,9,7,24
adaptive,frozen_model,1,0.0,0.0,0.0,0,12,0,12
adaptive,frozen_model,2,0.0,0.0,0.0,0,12,0,12
