context,rep,first,second,different,first_different,recipients_different
dc9d58a4e24a74d52f719372c1a16e7f,0,adaptive,fixed_audit,0,0,0
dc9d58a4e24a74d52f719372c1a16e7f,1,adaptive,fixed_audit,1,0,0
33295076b558d53b86fd6e5537022af6,0,adaptive,fixed_audit,1,0,1
33295076b558d53b86fd6e5537022af6,1,adaptive,fixed_audit,1,0,1
b3d63fb06110ad7e91c9e765227c1d27,0,adaptive,fixed_audit,1,0,1
b3d63fb06110ad7e91c9e765227c1d27,1,adaptive,fixed_audit,1,0,1
1424e718ab72e7d0bc792bbed0f42df6,0,adaptive,fixed_audit,1,0,1
1424e718ab72e7d0bc792bbed0f42df6,1,adaptive,fixed_audit,0,0,0
9a43ac474979cb7ecf516b5a8e7849ee,0,adaptive,fixed_audit,1,0,1
9a43ac474979cb7ecf516b5a8e7849ee,1,adaptive,fixed_audit,1,0,1
5f0466453acb53d17eee77ec763d9a98,0,adaptive,fixed_audit,1,0,1
5f0466453acb53d17eee77ec763d9a98,1,adaptive,fixed_audit,1,0,1
5e5f8b76df669b1a32df3074c2c551be,0,adaptive,fixed_audit,1,0,1
5e5f8b76df669b1a32df3074c2c551be,1,adaptive,fixed_audit,0,0,0
eb68753385d270d4b17f5b370691851a,0,adaptive,fixed_audit,1,0,1
eb68753385d270d4b17f5b370691851a,1,adaptive,fixed_audit,1,0,1
dbab56c6c9ced463d8eb498d67c8bc9c,0,adaptive,fixed_audit,1,0,1
dbab56c6c9ced463d8eb498d67c8bc9c,1,adaptive,fixed_audit,1,0,1
f4e5e687e6185cabde6d70a4d37f729f,0,adaptive,fixed_audit,1,0,1
f4e5e687e6185cabde6d70a4d37f729f,1,adaptive,fixed_audit,1,0,1
db8d48c3fd57f4b9d317ed95b3a5b496,0,adaptive,fixed_audit,1,0,1
db8d48c3fd57f4b9d317ed95b3a5b496,1,adaptive,fixed_audit,1,0,1
5ce1713d9128f3759369b6274e111c33,0,adaptive,fixed_audit,0,0,0
5ce1713d9128f3759369b6274e111c33,1,adaptive,fixed_audit,1,0,1
13d7e83488f2ab1456d31bb9ac247990,0,adaptive,fixed_audit,1,0,1
13d7e83488f2ab1456d31bb9ac247990,1,adaptive,fixed_audit,1,0,1
2da56df966a1c15057d2661ce589be1c,0,adaptive,fixed_audit,1,0,1
2da56df966a1c15057d2661ce589be1c,1,adaptive,fixed_audit,1,0,1
3bffffb2d174ab95cfdeb3eacc9c0afb,0,adaptive,fixed_audit,1,0,1
3bffffb2d174ab95cfdeb3eacc9c0afb,1,adaptive,fixed_audit,1,0,1
ea8b291b240fab467592f64e1d073957,0,adaptive,fixed_audit,1,0,1
ea8b291b240fab467592f64e1d073957,1,adaptive,fixed_audit,1,0,1
4c831b52efd5a0200d3f85447d6437a3,0,adaptive,fixed_audit,0,0,0
4c831b52efd5a0200d3f85447d6437a3,1,adaptive,fixed_audit,0,0,0
bf3bb2fe848111c6f1370b66cdd8da3e,0,adaptive,fixed_audit,1,0,1
bf3bb2fe848111c6f1370b66cdd8da3e,1,adaptive,fixed_audit,1,0,1
9246b58ea8656eecf7739094d072f0b8,0,adaptive,fixed_audit,1,0,1
9246b58ea8656eecf7739094d072f0b8,1,adaptive,fixed_audit,1,0,1
4bf6297fe4aaf51d58b160a778fadc6f,0,adaptive,fixed_audit,1,0,1
4bf6297fe4aaf51d58b160a778fadc6f,1,adaptive,fixed_audit,1,0,1
7e10b02ae31ffbb6fed72213553ebe50,0,adaptive,fixed_audit,0,0,0
7e10b02ae31ffbb6fed72213553ebe50,1,adaptive,fixed_audit,1,0,1
a06963067573666d15cc4484808dd226,0,adaptive,fixed_audit,1,0,1
a06963067573666d15cc4484808dd226,1,adaptive,fixed_audit,1,0,1
36d1468e2be20ccc765f76c712ed5e1e,0,adaptive,fixed_audit,0,0,0
36d1468e2be20ccc765f76c712ed5e1e,1,adaptive,fixed_audit,0,0,0
6c509acf4599f1a22272abbe9a37a1ec,0,adaptive,fixed_audit,1,0,1
6c509acf4599f1a22272abbe9a37a1ec,1,adaptive,fixed_audit,1,0,1
dc9d58a4e24a74d52f719372c1a16e7f,0,adaptive,frozen_model,0,0,0
33295076b558d53b86fd6e5537022af6,0,adaptive,frozen_model,0,0,0
b3d63fb06110ad7e91c9e765227c1d27,0,adaptive,frozen_model,0,0,0
1424e718ab72e7d0bc792bbed0f42df6,0,adaptive,frozen_model,0,0,0
9a43ac474979cb7ecf516b5a8e7849ee,0,adaptive,frozen_model,0,0,0
5f0466453acb53d17eee77ec763d9a98,0,adaptive,frozen_model,0,0,0
5e5f8b76df669b1a32df3074c2c551be,0,adaptive,frozen_model,0,0,0
eb68753385d270d4b17f5b370691851a,0,adaptive,frozen_model,0,0,0
dbab56c6c9ced463d8eb498d67c8bc9c,0,adaptive,frozen_model,0,0,0
f4e5e687e6185cabde6d70a4d37f729f,0,adaptive,frozen_model,0,0,0
db8d48c3fd57f4b9d317ed95b3a5b496,0,adaptive,frozen_model,0,0,1
5ce1713d9128f3759369b6274e111c33,0,adaptive,frozen_model,0,0,0
dc9d58a4e24a74d52f719372c1a16e7f,0,source_rule,reattempt,0,0,0
dc9d58a4e24a74d52f719372c1a16e7f,1,source_rule,reattempt,0,0,0
33295076b558d53b86fd6e5537022af6,0,source_rule,reattempt,0,0,0
33295076b558d53b86fd6e5537022af6,1,source_rule,reattempt,0,0,0
b3d63fb06110ad7e91c9e765227c1d27,0,source_rule,reattempt,0,0,0
b3d63fb06110ad7e91c9e765227c1d27,1,source_rule,reattempt,0,0,0
1424e718ab72e7d0bc792bbed0f42df6,0,source_rule,reattempt,0,0,0
1424e718ab72e7d0bc792bbed0f42df6,1,source_rule,reattempt,0,0,0
9a43ac474979cb7ecf516b5a8e7849ee,0,source_rule,reattempt,0,0,0
9a43ac474979cb7ecf516b5a8e7849ee,1,source_rule,reattempt,0,0,0
5f0466453acb53d17eee77ec763d9a98,0,source_rule,reattempt,0,0,0
5f0466453acb53d17eee77ec763d9a98,1,source_rule,reattempt,0,0,0
5e5f8b76df669b1a32df3074c2c551be,0,source_rule,reattempt,0,0,0
5e5f8b76df669b1a32df3074c2c551be,1,source_rule,reattempt,0,0,0
eb68753385d270d4b17f5b370691851a,0,source_rule,reattempt,0,0,0
eb68753385d270d4b17f5b370691851a,1,source_rule,reattempt,0,0,0
dbab56c6c9ced463d8eb498d67c8bc9c,0,source_rule,reattempt,0,0,0
dbab56c6c9ced463d8eb498d67c8bc9c,1,source_rule,reattempt,0,0,0
f4e5e687e6185cabde6d70a4d37f729f,0,source_rule,reattempt,0,0,0
f4e5e687e6185cabde6d70a4d37f729f,1,source_rule,reattempt,0,0,0
db8d48c3fd57f4b9d317ed95b3a5b496,0,source_rule,reattempt,0,0,0
db8d48c3fd57f4b9d317ed95b3a5b496,1,source_rule,reattempt,0,0,0
5ce1713d9128f3759369b6274e111c33,0,source_rule,reattempt,0,0,0
5ce1713d9128f3759369b6274e111c33,1,source_rule,reattempt,0,0,0
13d7e83488f2ab1456d31bb9ac247990,0,source_rule,reattempt,0,0,0
13d7e83488f2ab1456d31bb9ac247990,1,source_rule,reattempt,0,0,0
2da56df966a1c15057d2661ce589be1c,0,source_rule,reattempt,0,0,0
2da56df966a1c15057d2661ce589be1c,1,source_rule,reattempt,0,0,0
3bffffb2d174ab95cfdeb3eacc9c0afb,0,source_rule,reattempt,0,0,0
3bffffb2d174ab95cfdeb3eacc9c0afb,1,source_rule,reattempt,0,0,0
ea8b291b240fab467592f64e1d073957,0,source_rule,reattempt,0,0,0
ea8b291b240fab467592f64e1d073957,1,source_rule,reattempt,0,0,0
4c831b52efd5a0200d3f85447d6437a3,0,source_rule,reattempt,0,0,0
4c831b52efd5a0200d3f85447d6437a3,1,source_rule,reattempt,0,0,0
bf3bb2fe848111c6f1370b66cdd8da3e,0,source_rule,reattempt,0,0,0
bf3bb2fe848111c6f1370b66cdd8da3e,1,source_rule,reattempt,0,0,0
9246b58ea8656eecf7739094d072f0b8,0,source_rule,reattempt,0,0,0
9246b58ea8656eecf7739094d072f0b8,1,source_rule,reattempt,0,0,0
4bf6297fe4aaf51d58b160a778fadc6f,0,source_rule,reattempt,0,0,0
4bf6297fe4aaf51d58b160a778fadc6f,1,source_rule,reattempt,0,0,0
7e10b02ae31ffbb6fed72213553ebe50,0,source_rule,reattempt,0,0,0
7e10b02ae31ffbb6fed72213553ebe50,1,source_rule,reattempt,0,0,0
a06963067573666d15cc4484808dd226,0,source_rule,reattempt,0,0,0
a06963067573666d15cc4484808dd226,1,source_rule,reattempt,0,0,0
36d1468e2be20ccc765f76c712ed5e1e,0,source_rule,reattempt,0,0,0
36d1468e2be20ccc765f76c712ed5e1e,1,source_rule,reattempt,0,0,0
6c509acf4599f1a22272abbe9a37a1ec,0,source_rule,reattempt,0,0,0
6c509acf4599f1a22272abbe9a37a1ec,1,source_rule,reattempt,0,0,0
dc9d58a4e24a74d52f719372c1a16e7f,0,individual,memory,0,0,1
dc9d58a4e24a74d52f719372c1a16e7f,1,individual,memory,0,0,1
33295076b558d53b86fd6e5537022af6,0,individual,memory,0,0,1
33295076b558d53b86fd6e5537022af6,1,individual,memory,0,0,1
b3d63fb06110ad7e91c9e765227c1d27,0,individual,memory,0,0,1
b3d63fb06110ad7e91c9e765227c1d27,1,individual,memory,0,0,1
1424e718ab72e7d0bc792bbed0f42df6,0,individual,memory,0,0,1
1424e718ab72e7d0bc792bbed0f42df6,1,individual,memory,0,0,1
9a43ac474979cb7ecf516b5a8e7849ee,0,individual,memory,0,0,1
9a43ac474979cb7ecf516b5a8e7849ee,1,individual,memory,0,0,1
5f0466453acb53d17eee77ec763d9a98,0,individual,memory,0,0,1
5f0466453acb53d17eee77ec763d9a98,1,individual,memory,0,0,1
5e5f8b76df669b1a32df3074c2c551be,0,individual,memory,0,0,1
5e5f8b76df669b1a32df3074c2c551be,1,individual,memory,0,0,1
eb68753385d270d4b17f5b370691851a,0,individual,memory,0,0,1
eb68753385d270d4b17f5b370691851a,1,individual,memory,0,0,1
dbab56c6c9ced463d8eb498d67c8bc9c,0,individual,memory,0,0,1
dbab56c6c9ced463d8eb498d67c8bc9c,1,individual,memory,0,0,1
f4e5e687e6185cabde6d70a4d37f729f,0,individual,memory,0,0,1
f4e5e687e6185cabde6d70a4d37f729f,1,individual,memory,0,0,1
db8d48c3fd57f4b9d317ed95b3a5b496,0,individual,memory,0,0,1
db8d48c3fd57f4b9d317ed95b3a5b496,1,individual,memory,0,0,1
5ce1713d9128f3759369b6274e111c33,0,individual,memory,0,0,1
5ce1713d9128f3759369b6274e111c33,1,individual,memory,0,0,1
13d7e83488f2ab1456d31bb9ac247990,0,individual,memory,0,0,1
13d7e83488f2ab1456d31bb9ac247990,1,individual,memory,0,0,1
2da56df966a1c15057d2661ce589be1c,0,individual,memory,0,0,1
2da56df966a1c15057d2661ce589be1c,1,individual,memory,0,0,1
3bffffb2d174ab95cfdeb3eacc9c0afb,0,individual,memory,0,0,1
3bffffb2d174ab95cfdeb3eacc9c0afb,1,individual,memory,0,0,1
ea8b291b240fab467592f64e1d073957,0,individual,memory,0,0,1
ea8b291b240fab467592f64e1d073957,1,individual,memory,0,0,1
4c831b52efd5a0200d3f85447d6437a3,0,individual,memory,0,0,1
4c831b52efd5a0200d3f85447d6437a3,1,individual,memory,0,0,1
bf3bb2fe848111c6f1370b66cdd8da3e,0,individual,memory,0,0,1
bf3bb2fe848111c6f1370b66cdd8da3e,1,individual,memory,0,0,1
9246b58ea8656eecf7739094d072f0b8,0,individual,memory,0,0,1
9246b58ea8656eecf7739094d072f0b8,1,individual,memory,0,0,1
4bf6297fe4aaf51d58b160a778fadc6f,0,individual,memory,0,0,1
4bf6297fe4aaf51d58b160a778fadc6f,1,individual,memory,0,0,1
7e10b02ae31ffbb6fed72213553ebe50,0,individual,memory,0,0,1
7e10b02ae31ffbb6fed72213553ebe50,1,individual,memory,0,0,1
a06963067573666d15cc4484808dd226,0,individual,memory,0,0,1
a06963067573666d15cc4484808dd226,1,individual,memory,0,0,1
36d1468e2be20ccc765f76c712ed5e1e,0,individual,memory,0,0,1
36d1468e2be20ccc765f76c712ed5e1e,1,individual,memory,0,0,1
6c509acf4599f1a22272abbe9a37a1ec,0,individual,memory,0,0,1
6c509acf4599f1a22272abbe9a37a1ec,1,individual,memory,0,0,1
