condition_id,comparison,loss,loss_low,loss_high,wins,ties,losses,active_time,active_time_low,active_time_high,session_offers,session_offers_low,session_offers_high,correct,correct_low,correct_high,missed_useful,missed_useful_low,missed_useful_high,harms,harms_low,harms_high
core_low_0_6_ideal,guarded-sticky_edf,0.0,0.0,0.0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core_low_0_6_ideal,guarded-greedy,0.0,0.0,0.0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core_low_0_6_ideal,guarded-edf,0.0,0.0,0.0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core_low_0_6_ideal,guarded-density,0.0,0.0,0.0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core_low_0_6_ideal,guarded-unguarded,0.0,0.0,0.0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core_low_0_6_ideal,guarded-no_review,-34.666666666666664,-50.0,-18.0,5,1,0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,2.0,5.666666666666667,-4.0,-5.666666666666667,-2.0,0.0,0.0,0.0
core_low_0_6_model,guarded-sticky_edf,0.0,0.0,0.0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core_low_0_6_model,guarded-greedy,0.0,0.0,0.0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core_low_0_6_model,guarded-edf,0.0,0.0,0.0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core_low_0_6_model,guarded-density,0.0,0.0,0.0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core_low_0_6_model,guarded-unguarded,0.0,0.0,0.0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core_low_0_6_model,guarded-no_review,0.0,0.0,0.0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
