id,replicate,method,budget,error_weight,failed_calls,tasks,project_correct,correct,incorrect,unfinished,loss,questions,distinct_questions,repeated_questions,incorrect_scope_transfers,unresolved_responses,scope_questions,initial_predicted_loss,final_predicted_loss,predicted_benefit,realized_benefit,planning_nodes,planning_caps
MUL0099.json,0,semantic_memory,0,2.0,0,2,0,1,0,1,1.0,0,0,0,0,0,0,1.4090909090909092,1.4090909090909092,0.0,0.0,0,0
MUL0099.json,0,semantic_memory,1,2.0,0,2,1,2,0,0,0,1,1,0,0,0,0,1.4090909090909092,0.5381231671554254,0.8709677419354838,1.0,0,0
MUL0099.json,0,semantic_memory,2,2.0,0,2,1,2,0,0,0,1,1,0,0,0,0,1.4090909090909092,0.5381231671554254,0.8709677419354838,1.0,0,0
MUL0099.json,0,semantic_memory,4,2.0,0,2,1,2,0,0,0,1,1,0,0,0,0,1.4090909090909092,0.5381231671554254,0.8709677419354838,1.0,0,0
MUL0099.json,0,semantic_memory,6,2.0,0,2,1,2,0,0,0,1,1,0,0,0,0,1.4090909090909092,0.5381231671554254,0.8709677419354838,1.0,0,0
MUL0099.json,0,semantic_memory,unlimited,2.0,0,2,1,2,0,0,0,1,1,0,0,0,0,1.4090909090909092,0.5381231671554254,0.8709677419354838,1.0,0,0
MUL0099.json,0,full_history,0,2.0,0,2,1,2,0,0,0,0,0,0,0,0,0,0.612482853223594,0.612482853223594,0.0,0,0,0
MUL0099.json,0,full_history,1,2.0,0,2,1,2,0,0,0,0,0,0,0,0,0,0.612482853223594,0.612482853223594,0.0,0,0,0
MUL0099.json,0,full_history,2,2.0,0,2,1,2,0,0,0,0,0,0,0,0,0,0.612482853223594,0.612482853223594,0.0,0,0,0
MUL0099.json,0,full_history,4,2.0,0,2,1,2,0,0,0,0,0,0,0,0,0,0.612482853223594,0.612482853223594,0.0,0,0,0
MUL0099.json,0,full_history,6,2.0,0,2,1,2,0,0,0,0,0,0,0,0,0,0.612482853223594,0.612482853223594,0.0,0,0,0
MUL0099.json,0,full_history,unlimited,2.0,0,2,1,2,0,0,0,0,0,0,0,0,0,0.612482853223594,0.612482853223594,0.0,0,0,0
MUL0099.json,0,one_step,0,2.0,0,2,0,1,0,1,1.0,0,0,0,0,0,0,1.4090909090909092,1.4090909090909092,0.0,0.0,1,0
MUL0099.json,0,one_step,1,2.0,0,2,1,2,0,0,0,1,1,0,0,0,0,1.4090909090909092,0.5381231671554254,0.8709677419354838,1.0,7,0
MUL0099.json,0,one_step,2,2.0,0,2,1,2,0,0,0,2,2,0,0,0,0,1.4090909090909092,0.12903225806451624,1.280058651026393,1.0,12,0
MUL0099.json,0,one_step,4,2.0,0,2,1,2,0,0,0,3,3,0,0,0,0,1.4090909090909092,0.0,1.4090909090909092,1.0,15,0
MUL0099.json,0,one_step,6,2.0,0,2,1,2,0,0,0,3,3,0,0,0,0,1.4090909090909092,0.0,1.4090909090909092,1.0,15,0
MUL0099.json,0,one_step,unlimited,2.0,0,2,1,2,0,0,0,3,3,0,0,0,0,1.4090909090909092,0.0,1.4090909090909092,1.0,15,0
MUL0099.json,0,completion,0,2.0,0,2,0,1,0,1,1.0,0,0,0,0,0,0,1.4090909090909092,1.4090909090909092,0.0,0.0,0,0
MUL0099.json,0,completion,1,2.0,0,2,0,1,0,1,1.0,1,1,0,0,0,0,1.4090909090909092,1.0,0.40909090909090917,0.0,0,0
MUL0099.json,0,completion,2,2.0,0,2,0,1,0,1,1.0,2,2,0,0,0,0,1.4090909090909092,1.0,0.40909090909090917,0.0,0,0
MUL0099.json,0,completion,4,2.0,0,2,1,2,0,0,0,3,3,0,0,0,0,1.4090909090909092,0.0,1.4090909090909092,1.0,0,0
MUL0099.json,0,completion,6,2.0,0,2,1,2,0,0,0,3,3,0,0,0,0,1.4090909090909092,0.0,1.4090909090909092,1.0,0,0
MUL0099.json,0,completion,unlimited,2.0,0,2,1,2,0,0,0,3,3,0,0,0,0,1.4090909090909092,0.0,1.4090909090909092,1.0,0,0
MUL0099.json,0,depth2,0,2.0,0,2,0,1,0,1,1.0,0,0,0,0,0,0,1.4090909090909092,1.4090909090909092,0.0,0.0,1,0
MUL0099.json,0,depth2,1,2.0,0,2,1,2,0,0,0,1,1,0,0,0,0,1.4090909090909092,0.5381231671554254,0.8709677419354838,1.0,7,0
MUL0099.json,0,depth2,2,2.0,0,2,1,2,0,0,0,2,2,0,0,0,0,1.4090909090909092,0.12903225806451624,1.280058651026393,1.0,19,0
MUL0099.json,0,depth2,4,2.0,0,2,1,2,0,0,0,3,3,0,0,0,0,1.4090909090909092,0.0,1.4090909090909092,1.0,23,0
MUL0099.json,0,depth2,6,2.0,0,2,1,2,0,0,0,3,3,0,0,0,0,1.4090909090909092,0.0,1.4090909090909092,1.0,23,0
MUL0099.json,0,depth2,unlimited,2.0,0,2,1,2,0,0,0,3,3,0,0,0,0,1.4090909090909092,0.0,1.4090909090909092,1.0,23,0
MUL0099.json,0,depth3,0,2.0,0,2,0,1,0,1,1.0,0,0,0,0,0,0,1.4090909090909092,1.4090909090909092,0.0,0.0,1,0
MUL0099.json,0,depth3,1,2.0,0,2,1,2,0,0,0,1,1,0,0,0,0,1.4090909090909092,0.5381231671554254,0.8709677419354838,1.0,7,0
MUL0099.json,0,depth3,2,2.0,0,2,1,2,0,0,0,2,2,0,0,0,0,1.4090909090909092,0.12903225806451624,1.280058651026393,1.0,19,0
MUL0099.json,0,depth3,4,2.0,0,2,1,2,0,0,0,3,3,0,0,0,0,1.4090909090909092,0.0,1.4090909090909092,1.0,27,0
MUL0099.json,0,depth3,6,2.0,0,2,1,2,0,0,0,3,3,0,0,0,0,1.4090909090909092,0.0,1.4090909090909092,1.0,27,0
MUL0099.json,0,depth3,unlimited,2.0,0,2,1,2,0,0,0,3,3,0,0,0,0,1.4090909090909092,0.0,1.4090909090909092,1.0,27,0
MUL0099.json,0,generic2,0,2.0,0,2,0,1,0,1,1.0,0,0,0,0,0,0,1.4090909090909092,1.4090909090909092,0.0,0.0,1,0
MUL0099.json,0,generic2,1,2.0,0,2,1,2,0,0,0,1,1,0,0,0,0,1.4090909090909092,0.5381231671554254,0.8709677419354838,1.0,7,0
MUL0099.json,0,generic2,2,2.0,0,2,1,2,0,0,0,2,2,0,0,0,0,1.4090909090909092,0.12903225806451624,1.280058651026393,1.0,19,0
MUL0099.json,0,generic2,4,2.0,0,2,1,2,0,0,0,3,3,0,0,0,0,1.4090909090909092,0.0,1.4090909090909092,1.0,23,0
MUL0099.json,0,generic2,6,2.0,0,2,1,2,0,0,0,3,3,0,0,0,0,1.4090909090909092,0.0,1.4090909090909092,1.0,23,0
MUL0099.json,0,generic2,unlimited,2.0,0,2,1,2,0,0,0,3,3,0,0,0,0,1.4090909090909092,0.0,1.4090909090909092,1.0,23,0
MUL0099.json,0,no_scope,0,2.0,0,2,0,1,0,1,1.0,0,0,0,0,0,0,1.4090909090909092,1.4090909090909092,0.0,0.0,1,0
MUL0099.json,0,no_scope,1,2.0,0,2,1,2,0,0,0,1,1,0,0,0,0,1.4090909090909092,0.5381231671554254,0.8709677419354838,1.0,7,0
MUL0099.json,0,no_scope,2,2.0,0,2,1,2,0,0,0,2,2,0,0,0,0,1.4090909090909092,0.12903225806451624,1.280058651026393,1.0,19,0
MUL0099.json,0,no_scope,4,2.0,0,2,1,2,0,0,0,3,3,0,0,0,0,1.4090909090909092,0.0,1.4090909090909092,1.0,23,0
MUL0099.json,0,no_scope,6,2.0,0,2,1,2,0,0,0,3,3,0,0,0,0,1.4090909090909092,0.0,1.4090909090909092,1.0,23,0
MUL0099.json,0,no_scope,unlimited,2.0,0,2,1,2,0,0,0,3,3,0,0,0,0,1.4090909090909092,0.0,1.4090909090909092,1.0,23,0
MUL0099.json,0,request_specific,0,2.0,0,2,0,1,0,1,1.0,0,0,0,0,0,0,1.4090909090909092,1.4090909090909092,0.0,0.0,1,0
MUL0099.json,0,request_specific,1,2.0,0,2,1,2,0,0,0,1,1,0,0,0,0,1.4090909090909092,0.5381231671554254,0.8709677419354838,1.0,7,0
MUL0099.json,0,request_specific,2,2.0,0,2,1,2,0,0,0,2,2,0,0,0,0,1.4090909090909092,0.12903225806451624,1.280058651026393,1.0,19,0
MUL0099.json,0,request_specific,4,2.0,0,2,1,2,0,0,0,3,3,0,0,0,0,1.4090909090909092,0.0,1.4090909090909092,1.0,23,0
MUL0099.json,0,request_specific,6,2.0,0,2,1,2,0,0,0,3,3,0,0,0,0,1.4090909090909092,0.0,1.4090909090909092,1.0,23,0
MUL0099.json,0,request_specific,unlimited,2.0,0,2,1,2,0,0,0,3,3,0,0,0,0,1.4090909090909092,0.0,1.4090909090909092,1.0,23,0
MUL0099.json,0,ideal_depth2,0,2.0,0,2,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0
MUL0099.json,0,ideal_depth2,1,2.0,0,2,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0
MUL0099.json,0,ideal_depth2,2,2.0,0,2,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0
MUL0099.json,0,ideal_depth2,4,2.0,0,2,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0
