variant,review_duration,policy,sequences_differ_from_reference,paired_replicates
approve_block,1,no_review,0,96
approve_block,1,fcfs,0,96
approve_block,1,edf,0,96
approve_block,1,uncertainty,0,96
approve_block,1,greedy,0,96
approve_block,1,search,0,96
approve_block,2,no_review,0,96
approve_block,2,fcfs,0,96
approve_block,2,edf,0,96
approve_block,2,uncertainty,0,96
approve_block,2,greedy,0,96
approve_block,2,search,2,96
complexity_time,1,no_review,0,96
complexity_time,1,fcfs,14,96
complexity_time,1,edf,0,96
complexity_time,1,uncertainty,8,96
complexity_time,1,greedy,8,96
complexity_time,1,search,14,96
complexity_time,2,no_review,0,96
complexity_time,2,fcfs,7,96
complexity_time,2,edf,5,96
complexity_time,2,uncertainty,8,96
complexity_time,2,greedy,8,96
complexity_time,2,search,11,96
