blocked_unresolved,bundle_id,completed_reviews,corrections,expired_useful_opportunities,greedy_search_different_heads,multi_eligible_dispatches,operational_loss,policy,replicate,review_busy_ticks,review_duration,review_utilization,service_failure_loss,status,task_completed,total_waiting_ticks,unstaged_failures,variant,wrong_transaction_loss,wrong_transactions,planning_seconds,max_planning_seconds
0,evaluation_00,0,0,2,1,3,24,no_review,1,0,2,0.0,8,completed,1,0,0,reference,16,2,0.00015551492106169462,3.2970914617180824e-05
0,evaluation_00,2,1,1,1,1,16,fcfs,1,4,2,0.8,4,completed,2,2,0,reference,12,1,7.184396963566542e-05,3.7591904401779175e-05
0,evaluation_00,2,1,1,1,1,16,edf,1,4,2,0.8,4,completed,2,2,0,reference,12,1,7.886101957410574e-05,4.0553975850343704e-05
0,evaluation_00,2,1,1,1,1,16,uncertainty,1,4,2,0.8,4,completed,2,2,0,reference,12,1,8.388911373913288e-05,4.276004619896412e-05
0,evaluation_00,2,1,1,1,1,16,greedy,1,4,2,0.8,4,completed,2,2,0,reference,12,1,7.239996921271086e-05,3.530306275933981e-05
0,evaluation_00,2,1,1,1,1,16,search,1,4,2,0.8,4,completed,2,2,0,reference,12,1,9.91190318018198e-05,4.83229523524642e-05
0,evaluation_00,0,0,2,2,4,24,no_review,1,0,1,0.0,8,completed,1,0,0,reference,16,2,0.00016773806419223547,3.551202826201916e-05
0,evaluation_00,3,2,0,2,2,0,fcfs,1,3,1,0.6,0,completed,3,2,0,reference,0,0,0.00010309589561074972,3.478198777884245e-05
0,evaluation_00,3,2,0,2,2,0,edf,1,3,1,0.6,0,completed,3,2,0,reference,0,0,0.00010206212755292654,3.3081043511629105e-05
0,evaluation_00,3,2,0,2,2,0,uncertainty,1,3,1,0.6,0,completed,3,2,0,reference,0,0,0.00010325713083148003,3.458303399384022e-05
0,evaluation_00,3,2,0,2,2,0,greedy,1,3,1,0.6,0,completed,3,2,0,reference,0,0,0.00010524899698793888,3.5627977922558784e-05
0,evaluation_00,3,2,0,2,2,0,search,1,3,1,0.6,0,completed,3,2,0,reference,0,0,0.0001277918927371502,4.498299676924944e-05
0,evaluation_00,0,0,2,1,3,24,no_review,1,0,2,0.0,8,completed,1,0,0,approve_block,16,2,0.00018596218433231115,4.948501009494066e-05
1,evaluation_00,2,0,1,1,1,20,fcfs,1,4,2,0.8,8,completed,1,2,0,approve_block,12,1,9.182910434901714e-05,4.8445072025060654e-05
1,evaluation_00,2,0,1,1,1,20,edf,1,4,2,0.8,8,completed,1,2,0,approve_block,12,1,7.545005064457655e-05,3.820203710347414e-05
1,evaluation_00,2,0,1,1,1,20,uncertainty,1,4,2,0.8,8,completed,1,2,0,approve_block,12,1,9.212607983499765e-05,5.397002678364515e-05
1,evaluation_00,2,0,1,1,1,20,greedy,1,4,2,0.8,8,completed,1,2,0,approve_block,12,1,9.622809011489153e-05,5.5012060329318047e-05
1,evaluation_00,2,0,1,1,1,20,search,1,4,2,0.8,8,completed,1,2,0,approve_block,12,1,9.464682079851627e-05,4.554097540676594e-05
0,evaluation_00,0,0,2,2,4,24,no_review,1,0,1,0.0,8,completed,1,0,0,approve_block,16,2,0.00016179110389202833,3.961799666285515e-05
2,evaluation_00,3,0,0,2,2,8,fcfs,1,3,1,0.6,8,completed,1,2,0,approve_block,0,0,0.00010952982120215893,4.472292494028807e-05
2,evaluation_00,3,0,0,2,2,8,edf,1,3,1,0.6,8,completed,1,2,0,approve_block,0,0,0.00010609009768813848,3.8622994907200336e-05
2,evaluation_00,3,0,0,2,2,8,uncertainty,1,3,1,0.6,8,completed,1,2,0,approve_block,0,0,0.00012125726789236069,4.9884081818163395e-05
2,evaluation_00,3,0,0,2,2,8,greedy,1,3,1,0.6,8,completed,1,2,0,approve_block,0,0,0.00010684796143323183,3.726291470229626e-05
2,evaluation_00,3,0,0,2,2,8,search,1,3,1,0.6,8,completed,1,2,0,approve_block,0,0,0.00011843210086226463,4.18670242652297e-05
0,evaluation_00,0,0,2,0,2,24,no_review,1,0,2,0.0,8,completed,1,0,0,complexity_time,16,2,0.0001568949082866311,3.960798494517803e-05
0,evaluation_00,1,0,2,0,1,24,fcfs,1,2,2,0.4,8,completed,1,0,0,complexity_time,16,2,0.00010929093696177006,4.2786006815731525e-05
0,evaluation_00,2,1,1,0,1,16,edf,1,5,2,1.0,4,completed,2,3,0,complexity_time,12,1,7.03190453350544e-05,3.4335069358348846e-05
0,evaluation_00,2,1,1,0,1,16,uncertainty,1,5,2,1.0,4,completed,2,3,0,complexity_time,12,1,9.298196528106928e-05,5.457701627165079e-05
0,evaluation_00,2,1,1,0,1,16,greedy,1,5,2,1.0,4,completed,2,3,0,complexity_time,12,1,6.197101902216673e-05,3.29500762745738e-05
0,evaluation_00,2,1,1,0,1,16,search,1,5,2,1.0,4,completed,2,3,0,complexity_time,12,1,9.905803017318249e-05,5.2338000386953354e-05
0,evaluation_00,0,0,2,1,3,24,no_review,1,0,1,0.0,8,completed,1,0,0,complexity_time,16,2,0.0001829391112551093,4.460208583623171e-05
0,evaluation_00,2,1,1,1,2,16,fcfs,1,3,1,0.6,4,completed,2,1,0,complexity_time,12,1,6.53240131214261e-05,2.9688002541661263e-05
0,evaluation_00,3,2,0,1,2,0,edf,1,4,1,0.8,0,completed,3,4,0,complexity_time,0,0,0.0001217051176354289,4.3102074414491653e-05
0,evaluation_00,3,2,0,1,2,0,uncertainty,1,4,1,0.8,0,completed,3,4,0,complexity_time,0,0,0.00011747528333216906,4.849408287554979e-05
0,evaluation_00,3,2,0,1,2,0,greedy,1,4,1,0.8,0,completed,3,4,0,complexity_time,0,0,0.00014888192526996136,7.420196197926998e-05
0,evaluation_00,3,2,0,1,2,0,search,1,4,1,0.8,0,completed,3,2,0,complexity_time,0,0,0.00012113794218748808,4.304700996726751e-05
0,evaluation_00,0,0,1,0,1,20,no_review,2,0,2,0.0,8,completed,1,0,1,reference,12,1,0.00011752697173506021,3.554602153599262e-05
0,evaluation_00,1,0,1,0,0,20,fcfs,2,2,2,0.4,8,completed,1,0,1,reference,12,1,5.7913013733923435e-05,3.415101673454046e-05
0,evaluation_00,1,0,1,0,0,20,edf,2,2,2,0.4,8,completed,1,0,1,reference,12,1,6.282294634729624e-05,3.189104609191418e-05
0,evaluation_00,1,0,1,0,0,20,uncertainty,2,2,2,0.4,8,completed,1,0,1,reference,12,1,5.4646050557494164e-05,2.6490073651075363e-05
0,evaluation_00,1,0,1,0,0,20,greedy,2,2,2,0.4,8,completed,1,0,1,reference,12,1,5.400204099714756e-05,2.7981004677712917e-05
0,evaluation_00,1,0,1,0,0,20,search,2,2,2,0.4,8,completed,1,0,1,reference,12,1,5.0223199650645256e-05,2.6913010515272617e-05
0,evaluation_00,0,0,1,1,2,20,no_review,2,0,1,0.0,8,completed,1,0,1,reference,12,1,0.00010738009586930275,2.7382979169487953e-05
0,evaluation_00,2,1,0,0,0,4,fcfs,2,2,1,0.4,4,completed,2,0,1,reference,0,0,4.4307089410722256e-05,1.984601840376854e-05
0,evaluation_00,2,1,0,0,0,4,edf,2,2,1,0.4,4,completed,2,0,1,reference,0,0,4.363211337476969e-05,2.0464998669922352e-05
0,evaluation_00,2,1,0,0,0,4,uncertainty,2,2,1,0.4,4,completed,2,0,1,reference,0,0,5.534500814974308e-05,2.47639836743474e-05
0,evaluation_00,2,1,0,0,0,4,greedy,2,2,1,0.4,4,completed,2,0,1,reference,0,0,5.328410770744085e-05,2.3558037355542183e-05
0,evaluation_00,2,1,0,0,0,4,search,2,2,1,0.4,4,completed,2,0,1,reference,0,0,7.744098547846079e-05,4.367902874946594e-05
0,evaluation_00,0,0,1,0,1,20,no_review,2,0,2,0.0,8,completed,1,0,1,approve_block,12,1,0.00012014294043183327,3.748002927750349e-05
0,evaluation_00,1,0,1,0,0,20,fcfs,2,2,2,0.4,8,completed,1,0,1,approve_block,12,1,6.294902414083481e-05,3.0054012313485146e-05
0,evaluation_00,1,0,1,0,0,20,edf,2,2,2,0.4,8,completed,1,0,1,approve_block,12,1,6.038486026227474e-05,3.104691859334707e-05
0,evaluation_00,1,0,1,0,0,20,uncertainty,2,2,2,0.4,8,completed,1,0,1,approve_block,12,1,5.878484807908535e-05,2.9816990718245506e-05
0,evaluation_00,1,0,1,0,0,20,greedy,2,2,2,0.4,8,completed,1,0,1,approve_block,12,1,5.5021955631673336e-05,2.65809940174222e-05
0,evaluation_00,1,0,1,0,0,20,search,2,2,2,0.4,8,completed,1,0,1,approve_block,12,1,6.661796942353249e-05,3.3506075851619244e-05
0,evaluation_00,0,0,1,1,2,20,no_review,2,0,1,0.0,8,completed,1,0,1,approve_block,12,1,9.749096352607012e-05,2.236897125840187e-05
1,evaluation_00,2,0,0,0,0,8,fcfs,2,2,1,0.4,8,completed,1,0,1,approve_block,0,0,4.013709258288145e-05,1.9675004296004772e-05
1,evaluation_00,2,0,0,0,0,8,edf,2,2,1,0.4,8,completed,1,0,1,approve_block,0,0,4.769698716700077e-05,2.3354077711701393e-05
1,evaluation_00,2,0,0,0,0,8,uncertainty,2,2,1,0.4,8,completed,1,0,1,approve_block,0,0,4.863808862864971e-05,2.268003299832344e-05
1,evaluation_00,2,0,0,0,0,8,greedy,2,2,1,0.4,8,completed,1,0,1,approve_block,0,0,4.9732974730432034e-05,2.2536027245223522e-05
