bundle_id,replicate,variant,review_duration,comparator,sequences_differ,search_sequence,other_sequence
evaluation_00,0,reference,2,greedy,True,train:089;train:062,train:062;train:089
evaluation_00,0,reference,2,edf,True,train:089;train:062,train:062;train:089
evaluation_00,0,reference,1,greedy,True,train:089;train:062;train:018,train:062;train:018;train:089
evaluation_00,0,reference,1,edf,True,train:089;train:062;train:018,train:062;train:018;train:089
evaluation_00,0,approve_block,2,greedy,True,train:089;train:062,train:062;train:089
evaluation_00,0,approve_block,2,edf,True,train:089;train:062,train:062;train:089
evaluation_00,0,approve_block,1,greedy,True,train:089;train:062;train:018,train:062;train:018;train:089
evaluation_00,0,approve_block,1,edf,True,train:089;train:062;train:018,train:062;train:018;train:089
evaluation_00,0,complexity_time,2,greedy,False,train:062;train:089,train:062;train:089
evaluation_00,0,complexity_time,2,edf,False,train:062;train:089,train:062;train:089
evaluation_00,0,complexity_time,1,greedy,True,train:089;train:018;train:062,train:062;train:018;train:089
evaluation_00,0,complexity_time,1,edf,True,train:089;train:018;train:062,train:062;train:018;train:089
evaluation_00,1,reference,2,greedy,True,train:089;train:062,train:062;train:089
evaluation_00,1,reference,2,edf,True,train:089;train:062,train:062;train:089
evaluation_00,1,reference,1,greedy,True,train:089;train:062;train:018,train:062;train:018;train:089
evaluation_00,1,reference,1,edf,True,train:089;train:062;train:018,train:062;train:018;train:089
evaluation_00,1,approve_block,2,greedy,True,train:089;train:062,train:062;train:089
evaluation_00,1,approve_block,2,edf,True,train:089;train:062,train:062;train:089
evaluation_00,1,approve_block,1,greedy,True,train:089;train:062;train:018,train:062;train:018;train:089
evaluation_00,1,approve_block,1,edf,True,train:089;train:062;train:018,train:062;train:018;train:089
evaluation_00,1,complexity_time,2,greedy,False,train:062;train:089,train:062;train:089
evaluation_00,1,complexity_time,2,edf,False,train:062;train:089,train:062;train:089
evaluation_00,1,complexity_time,1,greedy,True,train:089;train:018;train:062,train:062;train:018;train:089
evaluation_00,1,complexity_time,1,edf,True,train:089;train:018;train:062,train:062;train:018;train:089
evaluation_00,2,reference,2,greedy,False,train:089,train:089
evaluation_00,2,reference,2,edf,False,train:089,train:089
evaluation_00,2,reference,1,greedy,False,train:089;train:018,train:089;train:018
evaluation_00,2,reference,1,edf,False,train:089;train:018,train:089;train:018
evaluation_00,2,approve_block,2,greedy,False,train:089,train:089
evaluation_00,2,approve_block,2,edf,False,train:089,train:089
evaluation_00,2,approve_block,1,greedy,False,train:089;train:018,train:089;train:018
evaluation_00,2,approve_block,1,edf,False,train:089;train:018,train:089;train:018
evaluation_00,2,complexity_time,2,greedy,False,train:089,train:089
evaluation_00,2,complexity_time,2,edf,False,train:089,train:089
evaluation_00,2,complexity_time,1,greedy,False,train:089;train:018,train:089;train:018
evaluation_00,2,complexity_time,1,edf,False,train:089;train:018,train:089;train:018
evaluation_01,0,reference,1,greedy,False,train:090,train:090
evaluation_01,0,reference,1,edf,False,train:090,train:090
evaluation_01,0,reference,2,greedy,False,train:090,train:090
evaluation_01,0,reference,2,edf,False,train:090,train:090
evaluation_01,0,approve_block,1,greedy,False,train:090,train:090
evaluation_01,0,approve_block,1,edf,False,train:090,train:090
evaluation_01,0,approve_block,2,greedy,False,train:090,train:090
evaluation_01,0,approve_block,2,edf,False,train:090,train:090
evaluation_01,0,complexity_time,1,greedy,False,train:090,train:090
evaluation_01,0,complexity_time,1,edf,False,train:090,train:090
evaluation_01,0,complexity_time,2,greedy,False,train:090,train:090
evaluation_01,0,complexity_time,2,edf,False,train:090,train:090
evaluation_01,1,reference,1,greedy,False,train:063;train:025,train:063;train:025
evaluation_01,1,reference,1,edf,False,train:063;train:025,train:063;train:025
evaluation_01,1,reference,2,greedy,False,train:063,train:063
evaluation_01,1,reference,2,edf,False,train:063,train:063
evaluation_01,1,approve_block,1,greedy,False,train:063;train:025,train:063;train:025
evaluation_01,1,approve_block,1,edf,False,train:063;train:025,train:063;train:025
evaluation_01,1,approve_block,2,greedy,False,train:063,train:063
