variant,review_duration,policy,episodes,operational_loss,task_completed,wrong_transactions,blocked_unresolved,unstaged_failures,service_failure_loss,wrong_transaction_loss,completed_reviews,corrections,expired_useful_opportunities,review_busy_ticks,total_waiting_ticks,multi_eligible_dispatches,greedy_search_different_heads,mean_loss,mean_utilization
reference,1,no_review,96,800,182,51,0,55,424,376,0,0,51,0,0,301,146,8.333333333333334,0.0
reference,1,fcfs,96,220,233,0,0,55,220,0,233,51,0,233,115,115,58,2.2916666666666665,0.45937500000000026
reference,1,edf,96,220,233,0,0,55,220,0,233,51,0,233,115,115,57,2.2916666666666665,0.45937500000000026
reference,1,uncertainty,96,220,233,0,0,55,220,0,224,51,0,224,97,115,65,2.2916666666666665,0.4416666666666667
reference,1,greedy,96,220,233,0,0,55,220,0,224,51,0,224,97,115,65,2.2916666666666665,0.4416666666666667
reference,1,search,96,220,233,0,0,55,220,0,233,51,0,233,115,115,58,2.2916666666666665,0.45937500000000026
reference,2,no_review,96,800,182,51,0,55,424,376,0,0,51,0,0,212,75,8.333333333333334,0.0
reference,2,fcfs,96,480,210,23,0,55,312,168,182,28,23,364,152,87,45,5.0,0.7118055555555548
reference,2,edf,96,440,215,18,0,55,292,148,190,33,18,380,191,103,47,4.583333333333333,0.7395833333333329
reference,2,uncertainty,96,332,223,10,0,55,260,72,169,41,10,338,104,83,47,3.4583333333333335,0.663888888888888
reference,2,greedy,96,332,223,10,0,55,260,72,169,41,10,338,104,83,47,3.4583333333333335,0.663888888888888
reference,2,search,96,356,222,11,0,55,264,92,190,40,11,380,184,103,47,3.7083333333333335,0.7395833333333329
approve_block,1,no_review,96,800,182,51,0,55,424,376,0,0,51,0,0,301,155,8.333333333333334,0.0
approve_block,1,fcfs,96,424,182,0,51,55,424,0,233,0,0,233,115,115,59,4.416666666666667,0.45937500000000026
approve_block,1,edf,96,424,182,0,51,55,424,0,233,0,0,233,115,115,59,4.416666666666667,0.45937500000000026
approve_block,1,uncertainty,96,424,182,0,51,55,424,0,224,0,0,224,97,115,65,4.416666666666667,0.4416666666666667
approve_block,1,greedy,96,424,182,0,51,55,424,0,224,0,0,224,97,115,65,4.416666666666667,0.4416666666666667
approve_block,1,search,96,424,182,0,51,55,424,0,233,0,0,233,115,115,59,4.416666666666667,0.45937500000000026
approve_block,2,no_review,96,800,182,51,0,55,424,376,0,0,51,0,0,212,77,8.333333333333334,0.0
approve_block,2,fcfs,96,592,182,23,28,55,424,168,182,0,23,364,152,87,45,6.166666666666667,0.7118055555555548
approve_block,2,edf,96,572,182,18,33,55,424,148,190,0,18,380,191,103,47,5.958333333333333,0.7395833333333329
approve_block,2,uncertainty,96,496,182,10,41,55,424,72,169,0,10,338,104,83,47,5.166666666666667,0.663888888888888
approve_block,2,greedy,96,496,182,10,41,55,424,72,169,0,10,338,104,83,47,5.166666666666667,0.663888888888888
approve_block,2,search,96,508,182,11,40,55,424,84,190,0,11,380,182,103,47,5.291666666666667,0.7395833333333329
complexity_time,1,no_review,96,800,182,51,0,55,424,376,0,0,51,0,0,290,144,8.333333333333334,0.0
complexity_time,1,fcfs,96,284,228,5,0,55,240,44,219,46,5,239,107,106,60,2.9583333333333335,0.471527777777778
complexity_time,1,edf,96,220,233,0,0,55,220,0,233,51,0,256,133,115,57,2.2916666666666665,0.5059027777777777
complexity_time,1,uncertainty,96,244,231,2,0,55,228,16,216,49,2,237,104,109,65,2.5416666666666665,0.4673611111111111
complexity_time,1,greedy,96,244,231,2,0,55,228,16,216,49,2,237,104,109,65,2.5416666666666665,0.4673611111111111
complexity_time,1,search,96,236,232,1,0,55,224,12,232,50,1,254,132,114,60,2.4583333333333335,0.501736111111111
complexity_time,2,no_review,96,800,182,51,0,55,424,376,0,0,51,0,0,200,69,8.333333333333334,0.0
complexity_time,2,fcfs,96,512,207,26,0,55,324,188,175,25,26,365,144,86,46,5.333333333333333,0.7135416666666664
complexity_time,2,edf,96,464,213,20,0,55,300,164,186,31,20,386,177,98,48,4.833333333333333,0.7548611111111106
complexity_time,2,uncertainty,96,332,223,10,0,55,260,72,161,41,10,337,88,79,48,3.4583333333333335,0.6635416666666659
complexity_time,2,greedy,96,332,223,10,0,55,260,72,161,41,10,337,88,79,48,3.4583333333333335,0.6635416666666659
complexity_time,2,search,96,380,220,13,0,55,272,108,186,38,13,386,170,98,48,3.9583333333333335,0.7548611111111106
