variant,review_duration,comparison,metric,bundles,mean_difference,ci_low,ci_high,wins,ties,losses
reference,1,search-greedy,operational_loss,32,0.0,0.0,0.0,0,32,0
reference,1,search-greedy,task_completed,32,0.0,0.0,0.0,0,32,0
reference,1,search-greedy,wrong_transactions,32,0.0,0.0,0.0,0,32,0
reference,1,search-greedy,review_busy_ticks,32,0.09375,0.02083333333333333,0.1875,0,27,5
reference,1,search-edf,operational_loss,32,0.0,0.0,0.0,0,32,0
reference,1,search-edf,task_completed,32,0.0,0.0,0.0,0,32,0
reference,1,search-edf,wrong_transactions,32,0.0,0.0,0.0,0,32,0
reference,1,search-edf,review_busy_ticks,32,0.0,0.0,0.0,0,32,0
reference,1,search-fcfs,operational_loss,32,0.0,0.0,0.0,0,32,0
reference,1,search-fcfs,task_completed,32,0.0,0.0,0.0,0,32,0
reference,1,search-fcfs,wrong_transactions,32,0.0,0.0,0.0,0,32,0
reference,1,search-fcfs,review_busy_ticks,32,0.0,0.0,0.0,0,32,0
reference,1,search-uncertainty,operational_loss,32,0.0,0.0,0.0,0,32,0
reference,1,search-uncertainty,task_completed,32,0.0,0.0,0.0,0,32,0
reference,1,search-uncertainty,wrong_transactions,32,0.0,0.0,0.0,0,32,0
reference,1,search-uncertainty,review_busy_ticks,32,0.09375,0.02083333333333333,0.1875,0,27,5
reference,1,search-no_review,operational_loss,32,-6.041666666666667,-8.666666666666666,-3.6666666666666665,19,13,0
reference,1,search-no_review,task_completed,32,0.5312500000000001,0.3333333333333333,0.7395833333333333,19,13,0
reference,1,search-no_review,wrong_transactions,32,-0.53125,-0.7395833333333334,-0.3333333333333333,19,13,0
reference,1,search-no_review,review_busy_ticks,32,2.427083333333333,2.2708333333333326,2.5729166666666665,0,0,32
reference,2,search-greedy,operational_loss,32,0.25,-0.33333333333333337,0.9166666666666667,1,29,2
reference,2,search-greedy,task_completed,32,-0.010416666666666664,-0.07291666666666666,0.052083333333333336,1,29,2
reference,2,search-greedy,wrong_transactions,32,0.010416666666666668,-0.05208333333333333,0.07291666666666666,1,29,2
reference,2,search-greedy,review_busy_ticks,32,0.43749999999999994,0.20833333333333331,0.7083333333333331,0,22,10
reference,2,search-edf,operational_loss,32,-0.875,-2.0,0.0,3,29,0
reference,2,search-edf,task_completed,32,0.07291666666666667,0.0,0.16666666666666669,3,29,0
reference,2,search-edf,wrong_transactions,32,-0.07291666666666666,-0.16666666666666669,0.0,3,29,0
reference,2,search-edf,review_busy_ticks,32,0.0,0.0,0.0,0,32,0
reference,2,search-fcfs,operational_loss,32,-1.2916666666666667,-2.5,-0.25,5,27,0
reference,2,search-fcfs,task_completed,32,0.125,0.031249999999999993,0.23958333333333334,5,27,0
reference,2,search-fcfs,wrong_transactions,32,-0.12499999999999999,-0.23958333333333331,-0.03125,5,27,0
reference,2,search-fcfs,review_busy_ticks,32,0.16666666666666663,0.0,0.35416666666666663,0,29,3
reference,2,search-uncertainty,operational_loss,32,0.25,-0.33333333333333337,0.9166666666666667,1,29,2
reference,2,search-uncertainty,task_completed,32,-0.010416666666666664,-0.07291666666666666,0.052083333333333336,1,29,2
reference,2,search-uncertainty,wrong_transactions,32,0.010416666666666668,-0.05208333333333333,0.07291666666666666,1,29,2
reference,2,search-uncertainty,review_busy_ticks,32,0.43749999999999994,0.20833333333333331,0.7083333333333331,0,22,10
reference,2,search-no_review,operational_loss,32,-4.625000000000001,-7.000000000000001,-2.6249999999999996,15,17,0
reference,2,search-no_review,task_completed,32,0.41666666666666674,0.23958333333333334,0.6041666666666666,15,17,0
reference,2,search-no_review,wrong_transactions,32,-0.41666666666666674,-0.6041666666666666,-0.23958333333333334,15,17,0
reference,2,search-no_review,review_busy_ticks,32,3.958333333333333,3.604166666666667,4.291666666666665,0,0,32
approve_block,1,search-greedy,operational_loss,32,0.0,0.0,0.0,0,32,0
approve_block,1,search-greedy,task_completed,32,0.0,0.0,0.0,0,32,0
approve_block,1,search-greedy,wrong_transactions,32,0.0,0.0,0.0,0,32,0
approve_block,1,search-greedy,review_busy_ticks,32,0.09375,0.02083333333333333,0.1875,0,27,5
approve_block,1,search-edf,operational_loss,32,0.0,0.0,0.0,0,32,0
approve_block,1,search-edf,task_completed,32,0.0,0.0,0.0,0,32,0
approve_block,1,search-edf,wrong_transactions,32,0.0,0.0,0.0,0,32,0
approve_block,1,search-edf,review_busy_ticks,32,0.0,0.0,0.0,0,32,0
approve_block,1,search-fcfs,operational_loss,32,0.0,0.0,0.0,0,32,0
approve_block,1,search-fcfs,task_completed,32,0.0,0.0,0.0,0,32,0
approve_block,1,search-fcfs,wrong_transactions,32,0.0,0.0,0.0,0,32,0
approve_block,1,search-fcfs,review_busy_ticks,32,0.0,0.0,0.0,0,32,0
approve_block,1,search-uncertainty,operational_loss,32,0.0,0.0,0.0,0,32,0
approve_block,1,search-uncertainty,task_completed,32,0.0,0.0,0.0,0,32,0
approve_block,1,search-uncertainty,wrong_transactions,32,0.0,0.0,0.0,0,32,0
approve_block,1,search-uncertainty,review_busy_ticks,32,0.09375,0.02083333333333333,0.1875,0,27,5
approve_block,1,search-no_review,operational_loss,32,-3.9166666666666674,-5.708333333333333,-2.3333333333333335,19,13,0
approve_block,1,search-no_review,task_completed,32,0.0,0.0,0.0,0,32,0
approve_block,1,search-no_review,wrong_transactions,32,-0.53125,-0.7395833333333334,-0.3333333333333333,19,13,0
approve_block,1,search-no_review,review_busy_ticks,32,2.427083333333333,2.2708333333333326,2.5729166666666665,0,0,32
approve_block,2,search-greedy,operational_loss,32,0.125,-0.16666666666666663,0.49999999999999994,1,29,2
approve_block,2,search-greedy,task_completed,32,0.0,0.0,0.0,0,32,0
approve_block,2,search-greedy,wrong_transactions,32,0.010416666666666668,-0.05208333333333333,0.07291666666666666,1,29,2
approve_block,2,search-greedy,review_busy_ticks,32,0.43749999999999994,0.20833333333333331,0.7083333333333331,0,22,10
approve_block,2,search-edf,operational_loss,32,-0.6666666666666667,-1.416666666666667,-0.08333333333333337,4,28,0
approve_block,2,search-edf,task_completed,32,0.0,0.0,0.0,0,32,0
approve_block,2,search-edf,wrong_transactions,32,-0.07291666666666666,-0.16666666666666669,0.0,3,29,0
