policy,eligible,dispatches,mean_ms,p95_ms,max_ms,max_ordered_subsets
no_review,0,1074,0.00784003624113301,0.029029033612459888,0.05298294126987457,0
no_review,1,1046,0.023329473455858563,0.04111177986487746,0.07920898497104645,0
no_review,2,1305,0.030955522574512895,0.04848160315304994,0.08431309834122658,0
no_review,3,211,0.033342822949221064,0.03436702536419034,0.062027014791965485,0
fcfs,0,1838,0.0029925602919931836,0.0065397412981837676,0.054239993914961815,0
fcfs,1,628,0.028962538960229628,0.04404435167089104,0.07786497008055449,0
fcfs,2,596,0.033383130528745336,0.04935104516334832,0.08753698784857988,0
edf,0,1768,0.003332766805400406,0.011183012975379622,0.05435897037386894,0
edf,1,616,0.030573047002075943,0.04755775444209576,0.07348204962909222,0
edf,2,649,0.03653298381813594,0.05225478671491147,0.0818789703771472,0
uncertainty,0,1938,0.0023652970746651644,0.005435204366222024,0.04559406079351902,0
uncertainty,1,579,0.031204270287408832,0.04939212230965496,0.07740105502307415,0
uncertainty,2,584,0.035993841776547776,0.052140845218673376,0.07935101166367531,0
greedy,0,1938,0.0024214156271872506,0.005488545866683125,0.05272694397717714,0
greedy,1,579,0.031653850175285894,0.048067653551697745,0.07468101102858782,0
greedy,2,584,0.03713864812385036,0.0555998005438596,0.08974503725767136,0
search,0,1770,0.0031909427873916545,0.011084956349804935,0.06629095878452063,0
search,1,616,0.035833444729048224,0.05392846651375294,0.2105348976328969,2
search,2,648,0.04658631349476859,0.06337209488265216,0.10383897460997105,5
