variant,review_duration,comparator,actual_sequences_differ,paired_replicates,search_path_multi_eligible,search_path_greedy_search_different_heads
reference,1,greedy,50,96,115,58
reference,1,edf,34,96,115,58
reference,2,greedy,47,96,103,47
reference,2,edf,23,96,103,47
approve_block,1,greedy,50,96,115,59
approve_block,1,edf,34,96,115,59
approve_block,2,greedy,47,96,103,47
approve_block,2,edf,25,96,103,47
complexity_time,1,greedy,52,96,114,60
complexity_time,1,edf,25,96,114,60
complexity_time,2,greedy,48,96,98,48
complexity_time,2,edf,17,96,98,48
