bundle_id,replicate,case_id,preparation_status
evaluation_00,0,train:089,retained
evaluation_00,0,train:062,retained
evaluation_00,0,train:018,retained
evaluation_00,1,train:089,retained
evaluation_00,1,train:062,retained
evaluation_00,1,train:018,retained
evaluation_00,2,train:089,retained
evaluation_00,2,train:062,retained
evaluation_00,2,train:018,retained
evaluation_01,0,train:063,retained
evaluation_01,0,train:025,retained
evaluation_01,0,train:090,retained
evaluation_01,1,train:063,retained
evaluation_01,1,train:025,retained
evaluation_01,1,train:090,retained
evaluation_01,2,train:063,retained
evaluation_01,2,train:025,retained
evaluation_01,2,train:090,retained
evaluation_02,0,train:105,retained
evaluation_02,0,train:073,retained
evaluation_02,0,train:032,retained
evaluation_02,1,train:105,retained
evaluation_02,1,train:073,retained
evaluation_02,1,train:032,retained
evaluation_02,2,train:105,retained
evaluation_02,2,train:073,retained
evaluation_02,2,train:032,retained
evaluation_03,0,train:082,retained
evaluation_03,0,train:037,retained
evaluation_03,0,train:113,retained
evaluation_03,1,train:082,retained
evaluation_03,1,train:037,retained
evaluation_03,1,train:113,retained
evaluation_03,2,train:082,retained
evaluation_03,2,train:037,retained
evaluation_03,2,train:113,retained
evaluation_04,0,train:097,retained
evaluation_04,0,train:039,retained
evaluation_04,0,train:123,retained
evaluation_04,1,train:097,retained
evaluation_04,1,train:039,retained
evaluation_04,1,train:123,retained
evaluation_04,2,train:097,retained
evaluation_04,2,train:039,retained
evaluation_04,2,train:123,retained
evaluation_05,0,train:041,retained
evaluation_05,0,train:098,retained
evaluation_05,0,train:125,retained
evaluation_05,1,train:041,retained
evaluation_05,1,train:098,retained
evaluation_05,1,train:125,retained
evaluation_05,2,train:041,retained
evaluation_05,2,train:098,retained
evaluation_05,2,train:125,retained
evaluation_06,0,train:129,retained
evaluation_06,0,train:045,retained
evaluation_06,0,train:101,retained
evaluation_06,1,train:129,retained
evaluation_06,1,train:045,retained
evaluation_06,1,train:101,retained
evaluation_06,2,train:129,retained
evaluation_06,2,train:045,retained
evaluation_06,2,train:101,retained
evaluation_07,0,train:051,retained
evaluation_07,0,train:132,retained
evaluation_07,0,train:115,retained
evaluation_07,1,train:051,retained
evaluation_07,1,train:132,retained
evaluation_07,1,train:115,retained
evaluation_07,2,train:051,retained
evaluation_07,2,train:132,retained
evaluation_07,2,train:115,retained
evaluation_08,0,train:137,retained
evaluation_08,0,train:052,retained
evaluation_08,0,train:118,retained
evaluation_08,1,train:137,retained
evaluation_08,1,train:052,retained
evaluation_08,1,train:118,retained
evaluation_08,2,train:137,retained
evaluation_08,2,train:052,retained
evaluation_08,2,train:118,retained
evaluation_09,0,train:120,retained
evaluation_09,0,train:159,retained
evaluation_09,0,train:054,retained
evaluation_09,1,train:120,retained
evaluation_09,1,train:159,retained
evaluation_09,1,train:054,retained
evaluation_09,2,train:120,retained
evaluation_09,2,train:159,retained
evaluation_09,2,train:054,retained
evaluation_10,0,train:058,retained
evaluation_10,0,train:160,retained
evaluation_10,0,train:126,retained
evaluation_10,1,train:058,retained
evaluation_10,1,train:160,retained
evaluation_10,1,train:126,retained
evaluation_10,2,train:058,retained
evaluation_10,2,train:160,retained
evaluation_10,2,train:126,retained
evaluation_11,0,train:165,retained
evaluation_11,0,train:133,retained
evaluation_11,0,train:061,retained
evaluation_11,1,train:165,retained
evaluation_11,1,train:133,retained
evaluation_11,1,train:061,retained
evaluation_11,2,train:165,retained
evaluation_11,2,train:133,retained
evaluation_11,2,train:061,retained
evaluation_12,0,train:170,retained
evaluation_12,0,train:152,retained
evaluation_12,0,train:066,retained
evaluation_12,1,train:170,retained
evaluation_12,1,train:152,retained
evaluation_12,1,train:066,retained
evaluation_12,2,train:170,retained
evaluation_12,2,train:152,retained
evaluation_12,2,train:066,retained
evaluation_13,0,train:067,retained
evaluation_13,0,train:171,retained
evaluation_13,0,train:163,retained
evaluation_13,1,train:067,retained
evaluation_13,1,train:171,retained
evaluation_13,1,train:163,retained
evaluation_13,2,train:067,retained
evaluation_13,2,train:171,retained
evaluation_13,2,train:163,retained
evaluation_14,0,train:072,retained
evaluation_14,0,train:188,retained
evaluation_14,0,train:175,retained
evaluation_14,1,train:072,retained
evaluation_14,1,train:188,retained
evaluation_14,1,train:175,retained
evaluation_14,2,train:072,retained
evaluation_14,2,train:188,retained
evaluation_14,2,train:175,retained
evaluation_15,0,train:075,retained
evaluation_15,0,train:181,retained
evaluation_15,0,train:230,retained
evaluation_15,1,train:075,retained
evaluation_15,1,train:181,retained
evaluation_15,1,train:230,retained
evaluation_15,2,train:075,retained
evaluation_15,2,train:181,retained
evaluation_15,2,train:230,retained
evaluation_16,0,train:256,retained
evaluation_16,0,train:079,retained
evaluation_16,0,train:182,retained
evaluation_16,1,train:256,retained
evaluation_16,1,train:079,retained
evaluation_16,1,train:182,retained
evaluation_16,2,train:256,retained
evaluation_16,2,train:079,retained
evaluation_16,2,train:182,retained
evaluation_17,0,train:085,retained
evaluation_17,0,train:207,retained
evaluation_17,0,train:257,retained
evaluation_17,1,train:085,retained
evaluation_17,1,train:207,retained
evaluation_17,1,train:257,retained
evaluation_17,2,train:085,retained
evaluation_17,2,train:207,retained
evaluation_17,2,train:257,retained
evaluation_18,0,train:091,retained
evaluation_18,0,train:263,retained
evaluation_18,0,train:210,retained
evaluation_18,1,train:091,retained
evaluation_18,1,train:263,retained
evaluation_18,1,train:210,retained
evaluation_18,2,train:091,retained
evaluation_18,2,train:263,retained
evaluation_18,2,train:210,retained
evaluation_19,0,train:093,retained
evaluation_19,0,train:213,retained
evaluation_19,0,train:282,retained
evaluation_19,1,train:093,retained
evaluation_19,1,train:213,retained
evaluation_19,1,train:282,retained
evaluation_19,2,train:093,retained
evaluation_19,2,train:213,retained
evaluation_19,2,train:282,retained
evaluation_20,0,train:227,retained
evaluation_20,0,train:094,retained
evaluation_20,0,train:294,retained
evaluation_20,1,train:227,retained
evaluation_20,1,train:094,retained
evaluation_20,1,train:294,retained
evaluation_20,2,train:227,retained
evaluation_20,2,train:094,retained
evaluation_20,2,train:294,retained
evaluation_21,0,train:228,retained
evaluation_21,0,train:295,retained
evaluation_21,0,train:103,retained
evaluation_21,1,train:228,retained
evaluation_21,1,train:295,retained
evaluation_21,1,train:103,retained
evaluation_21,2,train:228,retained
evaluation_21,2,train:295,retained
evaluation_21,2,train:103,retained
evaluation_22,0,train:308,retained
evaluation_22,0,train:104,retained
evaluation_22,0,train:247,retained
evaluation_22,1,train:308,retained
evaluation_22,1,train:104,retained
evaluation_22,1,train:247,retained
evaluation_22,2,train:308,retained
evaluation_22,2,train:104,retained
