bundle_id,replicate,variant,review_duration,policy,agent_id,automatic_rejections,blocked_unresolved,case_id,family,initial_error,operational_loss,reviewed,service_failure_loss,staged,task_completed,wrong_transaction_committed,wrong_transaction_loss
evaluation_00,0,reference,2,no_review,0,2,False,train:089,cancel,False,0,False,0,True,True,False,0
evaluation_00,0,reference,2,no_review,1,2,False,train:062,modify,True,8,False,4,True,False,True,4
evaluation_00,0,reference,2,no_review,2,2,False,train:018,return_exchange,True,16,False,4,True,False,True,12
evaluation_00,0,reference,2,fcfs,0,2,False,train:089,cancel,False,0,True,0,True,True,False,0
evaluation_00,0,reference,2,fcfs,1,2,False,train:062,modify,True,0,True,0,True,True,False,0
evaluation_00,0,reference,2,fcfs,2,2,False,train:018,return_exchange,True,16,False,4,True,False,True,12
evaluation_00,0,reference,2,edf,0,2,False,train:089,cancel,False,0,True,0,True,True,False,0
evaluation_00,0,reference,2,edf,1,2,False,train:062,modify,True,0,True,0,True,True,False,0
evaluation_00,0,reference,2,edf,2,2,False,train:018,return_exchange,True,16,False,4,True,False,True,12
evaluation_00,0,reference,2,uncertainty,0,2,False,train:089,cancel,False,0,True,0,True,True,False,0
evaluation_00,0,reference,2,uncertainty,1,2,False,train:062,modify,True,0,True,0,True,True,False,0
evaluation_00,0,reference,2,uncertainty,2,2,False,train:018,return_exchange,True,16,False,4,True,False,True,12
evaluation_00,0,reference,2,greedy,0,2,False,train:089,cancel,False,0,True,0,True,True,False,0
evaluation_00,0,reference,2,greedy,1,2,False,train:062,modify,True,0,True,0,True,True,False,0
evaluation_00,0,reference,2,greedy,2,2,False,train:018,return_exchange,True,16,False,4,True,False,True,12
evaluation_00,0,reference,2,search,0,2,False,train:089,cancel,False,0,True,0,True,True,False,0
evaluation_00,0,reference,2,search,1,2,False,train:062,modify,True,0,True,0,True,True,False,0
evaluation_00,0,reference,2,search,2,2,False,train:018,return_exchange,True,16,False,4,True,False,True,12
evaluation_00,0,reference,1,no_review,0,2,False,train:089,cancel,False,0,False,0,True,True,False,0
evaluation_00,0,reference,1,no_review,1,2,False,train:062,modify,True,8,False,4,True,False,True,4
evaluation_00,0,reference,1,no_review,2,2,False,train:018,return_exchange,True,16,False,4,True,False,True,12
evaluation_00,0,reference,1,fcfs,0,2,False,train:089,cancel,False,0,True,0,True,True,False,0
evaluation_00,0,reference,1,fcfs,1,2,False,train:062,modify,True,0,True,0,True,True,False,0
evaluation_00,0,reference,1,fcfs,2,2,False,train:018,return_exchange,True,0,True,0,True,True,False,0
evaluation_00,0,reference,1,edf,0,2,False,train:089,cancel,False,0,True,0,True,True,False,0
evaluation_00,0,reference,1,edf,1,2,False,train:062,modify,True,0,True,0,True,True,False,0
evaluation_00,0,reference,1,edf,2,2,False,train:018,return_exchange,True,0,True,0,True,True,False,0
evaluation_00,0,reference,1,uncertainty,0,2,False,train:089,cancel,False,0,True,0,True,True,False,0
evaluation_00,0,reference,1,uncertainty,1,2,False,train:062,modify,True,0,True,0,True,True,False,0
evaluation_00,0,reference,1,uncertainty,2,2,False,train:018,return_exchange,True,0,True,0,True,True,False,0
