policy,seed,scenario_hash,evidence,status,error,planned_calls,total_loss,accrued_loss,loss_upper_bound,correct_jobs,jobs_closed,reviews_started,reviews_completed,corrections,late_returns,expired_requests,review_busy_ticks,simulated_ticks_completed,incomplete_service,episode_wall_seconds,scheduled_calls,attempts,prompt_tokens,completion_tokens,unknown_token_attempts,request_wall_seconds
fcfs,100,46a0826cab9be11d19cdac899a1febe746c52296070d8ab010bea452c3545e55,live_l40s,completed,,12,0,0,24,5,6,1,1,0,0,5,2,12,,2.239027,12,12,2508,84,0,1.9261423768475652
uncertainty,100,46a0826cab9be11d19cdac899a1febe746c52296070d8ab010bea452c3545e55,live_l40s,completed,,12,0,0,24,5,6,1,1,0,0,5,2,12,,2.203307,12,12,2508,84,0,1.8945381678640842
myopic,100,46a0826cab9be11d19cdac899a1febe746c52296070d8ab010bea452c3545e55,live_l40s,completed,,12,0,0,24,5,6,1,1,0,0,5,2,12,,2.234623,12,12,2508,84,0,1.9046419686637819
delay,100,46a0826cab9be11d19cdac899a1febe746c52296070d8ab010bea452c3545e55,live_l40s,completed,,12,0,0,24,5,6,1,1,0,0,5,2,12,,2.249808,12,12,2508,84,0,1.900883613154292
