workload,policy,risk,review_ticks,scenarios,mean_loss,ci_low,ci_high,mean_brier,brier_ci_low,brier_ci_high
original,greedy,frozen,1,32,4.0625,2.28125,5.969531249999996,0.221096454231773,0.17408331939282828,0.27134168706103623
original,greedy,frozen,2,32,7.5625,4.9375,10.59375,0.2213590146509253,0.17414951866238176,0.2722618724027566
original,greedy,pooled,1,32,4.0625,2.3125,5.90625,0.2149646848535333,0.1721288004997918,0.2610956372344857
original,greedy,pooled,2,32,7.8125,5.15546875,10.78125,0.2149646848535333,0.1721288004997918,0.2610956372344857
original,greedy,analytical,1,32,3.84375,2.1875,5.6875,0.15033100016866252,0.11712875361921629,0.18601333224405464
original,greedy,analytical,2,32,7.8125,5.09375,10.78125,0.15033100016866252,0.11712875361921629,0.18601333224405464
original,delay,frozen,1,32,3.4375,2.09296875,4.9375,0.22142359930414818,0.17433842877305875,0.2719976973672737
original,delay,frozen,2,32,7.625,4.75,10.65625,0.2247186673313591,0.17763672603293074,0.27568288050375217
original,delay,pooled,1,32,3.4375,2.09296875,4.9375,0.2149646848535333,0.1721288004997918,0.2610956372344857
original,delay,pooled,2,32,7.875,4.96875,10.907031249999996,0.21825975288074417,0.17542386852700267,0.26439070526169656
original,delay,analytical,1,32,3.1875,1.90625,4.563281249999996,0.15033100016866252,0.11712875361921629,0.18601333224405464
original,delay,analytical,2,32,7.5,4.78046875,10.344531249999996,0.15033100016866252,0.11712875361921629,0.18601333224405464
competition,greedy,frozen,1,32,0.375,0.0,0.75,0.19587435364737685,0.1603795410620107,0.23124150599747126
competition,greedy,frozen,2,32,3.25,1.875,4.625,0.19238553166049727,0.159196173258407,0.22643592503266316
competition,greedy,pooled,1,32,0.375,0.0,0.75,0.19519427669026798,0.16224359641815914,0.22814495696237683
competition,greedy,pooled,2,32,3.25,1.875,4.625,0.1886041406358462,0.15894852839094825,0.218342129581424
competition,greedy,analytical,1,32,0.375,0.0,0.75,0.14249961348175635,0.11736275088547816,0.170800215747456
competition,greedy,analytical,2,32,2.875,1.375,4.375,0.14249961348175635,0.11736275088547816,0.170800215747456
competition,delay,frozen,1,32,0.0,0.0,0.0,0.19580976899415392,0.1603133417924572,0.2312399969262972
competition,delay,frozen,2,32,1.625,1.0,2.25,0.19613691406652917,0.16253382331333083,0.2291864228905906
competition,delay,pooled,1,32,0.0,0.0,0.0,0.1918992086630571,0.15894852839094825,0.22484988893516594
competition,delay,pooled,2,32,1.625,1.0,2.25,0.1886041406358462,0.15894852839094825,0.218342129581424
competition,delay,analytical,1,32,0.0,0.0,0.0,0.14249961348175635,0.11736275088547816,0.170800215747456
competition,delay,analytical,2,32,1.5,0.75,2.25,0.14249961348175635,0.11736275088547816,0.170800215747456
