workload,agents,review_ticks,risk,policy,closure_penalty,study,planned_episodes,completed_episodes,total_loss,mean_loss,mean_loss_ci_low,mean_loss_ci_high,mean_loss_per_job,correct_jobs,incorrect_jobs,jobs,mean_incorrect_jobs,corrections,reviews_completed,review_utilization,initially_infeasible_expiries,zero_value_expiries,missed_opportunities,wrong_missed_opportunities,objective_missed_opportunities,mean_augmented_loss,dispatch_opportunities,competitive_dispatches,same_state_search_greedy_differences,same_state_search_edf_differences,analytical_search_choice_changes,pooled_search_choice_changes,max_agent_loss,max_agent_incorrect,mean_common_objective_0,mean_common_objective_4,mean_common_objective_8
competition,3,1,analytical,delay,0,core,32,32,0.0,0.0,0.0,0.0,0.0,192,0,192,0.0,48,192,0.5,0,0,0,0,0,0.0,192,128,73,54,0,0,0.0,0,0.0,0.0,0.0
competition,3,1,analytical,greedy,0,core,32,32,12.0,0.375,0.0,0.75,0.0625,189,3,192,0.09375,46,174,0.45312499999999994,0,0,18,3,18,0.375,174,128,69,51,0,0,4.0,1,0.375,0.75,1.125
competition,3,1,frozen,delay,0,core,64,64,0.0,0.0,0.0,0.0,0.0,384,0,384,0.0,96,384,0.5,0,0,0,0,0,0.0,384,256,141,107,0,0,0.0,0,0.0,0.0,0.0
competition,3,1,frozen,delay,0,objective,16,16,0.0,0.0,0.0,0.0,0.0,96,0,96,0.0,27,96,0.5,0,0,0,0,0,0.0,96,64,32,26,0,0,0.0,0,0.0,0.0,0.0
competition,3,1,frozen,delay,4,objective,16,16,0.0,0.0,0.0,0.0,0.0,96,0,96,0.0,27,96,0.5,0,0,0,0,0,0.0,96,64,32,26,0,0,0.0,0,0.0,0.0,0.0
competition,3,1,frozen,delay,8,objective,16,16,0.0,0.0,0.0,0.0,0.0,96,0,96,0.0,27,96,0.5,0,0,0,0,0,0.0,96,64,33,26,0,0,0.0,0,0.0,0.0,0.0
competition,3,1,frozen,edf,0,core,64,64,0.0,0.0,0.0,0.0,0.0,384,0,384,0.0,97,384,0.5,0,0,0,0,0,0.0,384,256,146,148,0,0,0.0,0,0.0,0.0,0.0
competition,3,1,frozen,fcfs,0,core,64,64,80.0,1.25,0.5,2.1875,0.20833333333333334,375,9,384,0.140625,84,342,0.4453125000000001,0,0,42,9,42,1.25,342,256,141,107,0,0,12.0,1,1.25,1.8125,2.375
competition,3,1,frozen,greedy,0,core,64,64,24.0,0.375,0.125,0.6875,0.0625,378,6,384,0.09375,90,352,0.4583333333333335,0,0,32,6,32,0.375,352,256,135,102,0,0,4.0,1,0.375,0.75,1.125
competition,3,1,frozen,myopic,0,core,64,64,24.0,0.375,0.125,0.6875,0.0625,378,6,384,0.09375,92,352,0.4583333333333335,0,0,32,6,32,0.375,352,256,135,102,0,0,4.0,1,0.375,0.75,1.125
