workload,agents,review_ticks,risk,policy,closure_penalty,study,agent_id,episodes,total_loss,mean_loss,p90_loss,max_loss,incorrect_jobs,mean_incorrect_jobs,max_incorrect_jobs
competition,3,1,analytical,delay,0,core,0,32,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,analytical,delay,0,core,1,32,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,analytical,delay,0,core,2,32,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,analytical,greedy,0,core,0,32,4.0,0.125,0.0,4.0,1,0.03125,1
competition,3,1,analytical,greedy,0,core,1,32,4.0,0.125,0.0,4.0,1,0.03125,1
competition,3,1,analytical,greedy,0,core,2,32,4.0,0.125,0.0,4.0,1,0.03125,1
competition,3,1,frozen,delay,0,core,0,64,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,frozen,delay,0,core,1,64,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,frozen,delay,0,core,2,64,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,frozen,delay,0,objective,0,16,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,frozen,delay,0,objective,1,16,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,frozen,delay,0,objective,2,16,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,frozen,delay,4,objective,0,16,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,frozen,delay,4,objective,1,16,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,frozen,delay,4,objective,2,16,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,frozen,delay,8,objective,0,16,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,frozen,delay,8,objective,1,16,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,frozen,delay,8,objective,2,16,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,frozen,edf,0,core,0,64,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,frozen,edf,0,core,1,64,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,frozen,edf,0,core,2,64,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,frozen,fcfs,0,core,0,64,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,frozen,fcfs,0,core,1,64,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,frozen,fcfs,0,core,2,64,80.0,1.25,6.800000000000011,12.0,9,0.140625,1
competition,3,1,frozen,greedy,0,core,0,64,8.0,0.125,0.0,4.0,2,0.03125,1
competition,3,1,frozen,greedy,0,core,1,64,8.0,0.125,0.0,4.0,2,0.03125,1
competition,3,1,frozen,greedy,0,core,2,64,8.0,0.125,0.0,4.0,2,0.03125,1
competition,3,1,frozen,myopic,0,core,0,64,8.0,0.125,0.0,4.0,2,0.03125,1
competition,3,1,frozen,myopic,0,core,1,64,8.0,0.125,0.0,4.0,2,0.03125,1
competition,3,1,frozen,myopic,0,core,2,64,8.0,0.125,0.0,4.0,2,0.03125,1
competition,3,1,frozen,uncertainty,0,core,0,64,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,frozen,uncertainty,0,core,1,64,28.0,0.4375,0.0,12.0,3,0.046875,1
competition,3,1,frozen,uncertainty,0,core,2,64,80.0,1.25,6.800000000000011,12.0,9,0.140625,1
competition,3,1,pooled,delay,0,core,0,32,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,pooled,delay,0,core,1,32,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,pooled,delay,0,core,2,32,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,pooled,greedy,0,core,0,32,4.0,0.125,0.0,4.0,1,0.03125,1
competition,3,1,pooled,greedy,0,core,1,32,4.0,0.125,0.0,4.0,1,0.03125,1
competition,3,1,pooled,greedy,0,core,2,32,4.0,0.125,0.0,4.0,1,0.03125,1
competition,3,2,analytical,delay,0,core,0,32,8.0,0.25,0.0,4.0,2,0.0625,1
competition,3,2,analytical,delay,0,core,1,32,24.0,0.75,4.0,8.0,5,0.15625,1
competition,3,2,analytical,delay,0,core,2,32,16.0,0.5,3.6000000000000085,4.0,4,0.125,1
competition,3,2,analytical,greedy,0,core,0,32,24.0,0.75,3.6000000000000085,8.0,4,0.125,1
competition,3,2,analytical,greedy,0,core,1,32,32.0,1.0,4.0,8.0,5,0.15625,1
competition,3,2,analytical,greedy,0,core,2,32,36.0,1.125,4.0,12.0,5,0.15625,1
competition,3,2,frozen,delay,0,core,0,64,32.0,0.5,4.0,4.0,8,0.125,1
competition,3,2,frozen,delay,0,core,1,64,36.0,0.5625,4.0,4.0,9,0.140625,1
competition,3,2,frozen,delay,0,core,2,64,40.0,0.625,4.0,4.0,10,0.15625,1
competition,3,2,frozen,delay,0,objective,0,16,8.0,0.5,2.0,4.0,2,0.125,1
competition,3,2,frozen,delay,0,objective,1,16,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,2,frozen,delay,0,objective,2,16,20.0,1.25,4.0,4.0,5,0.3125,1
competition,3,2,frozen,delay,4,objective,0,16,8.0,0.5,2.0,4.0,2,0.125,1
competition,3,2,frozen,delay,4,objective,1,16,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,2,frozen,delay,4,objective,2,16,20.0,1.25,4.0,4.0,5,0.3125,1
competition,3,2,frozen,delay,8,objective,0,16,8.0,0.5,2.0,4.0,2,0.125,1
competition,3,2,frozen,delay,8,objective,1,16,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,2,frozen,delay,8,objective,2,16,20.0,1.25,4.0,4.0,5,0.3125,1
competition,3,2,frozen,edf,0,core,0,64,120.0,1.875,12.0,12.0,12,0.1875,1
competition,3,2,frozen,edf,0,core,1,64,88.0,1.375,4.0,12.0,13,0.203125,1
competition,3,2,frozen,edf,0,core,2,64,64.0,1.0,4.0,12.0,8,0.125,1
competition,3,2,frozen,fcfs,0,core,0,64,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,2,frozen,fcfs,0,core,1,64,140.0,2.1875,8.0,20.0,16,0.25,2
competition,3,2,frozen,fcfs,0,core,2,64,144.0,2.25,10.800000000000011,12.0,18,0.28125,1
competition,3,2,frozen,greedy,0,core,0,64,64.0,1.0,4.0,8.0,11,0.171875,1
competition,3,2,frozen,greedy,0,core,1,64,88.0,1.375,8.0,8.0,14,0.21875,1
