kind,study,workload,agents,review_ticks,risk,left,right,primary,planned_pairs,completed_pairs,mean_loss_difference,ci_low,ci_high,left_wins,ties,left_losses,actual_order_differences,mean_incorrect_difference,incorrect_ci_low,incorrect_ci_high,mean_loss_per_job_difference,per_job_ci_low,per_job_ci_high,lower_loss_more_incorrect,lower_incorrect_higher_loss,common_objective_0_difference,common_objective_0_ci_low,common_objective_0_ci_high,common_objective_4_difference,common_objective_4_ci_low,common_objective_4_ci_high,common_objective_8_difference,common_objective_8_ci_low,common_objective_8_ci_high
policy,core,larger,3,2,frozen,larger|a3|s2|frozen|delay|lambda0,larger|a3|s2|frozen|fcfs|lambda0,False,32,32,-1.28125,-2.78125,0.125,8,21,3,23,-0.125,-0.28125,0.0007812499999957367,-0.1423611111111111,-0.3090277777777778,0.013888888888888888,0,0,-1.28125,-2.78125,0.125,-1.78125,-3.59375,-0.0625,-2.28125,-4.59375,-0.125
policy,core,larger,3,2,frozen,larger|a3|s2|frozen|delay|lambda0,larger|a3|s2|frozen|greedy|lambda0,False,32,32,0.28125,-1.4375,1.875,6,17,9,24,-0.15625,-0.3125,0.0,0.03125,-0.15972222222222224,0.2083333333333333,0,0,0.28125,-1.4375,1.875,-0.34375,-2.59453125,1.6875,-0.96875,-3.78125,1.5640624999999915
policy,core,larger,6,1,frozen,larger|a6|s1|frozen|delay|lambda0,larger|a6|s1|frozen|edf|lambda0,False,32,32,-7.5,-12.12578125,-3.4375,21,1,10,32,0.375,0.09375,0.65625,-0.41666666666666674,-0.673654513888889,-0.19097222222222224,6,0,-7.5,-12.12578125,-3.4375,-6.0,-11.46875,-1.1867187500000043,-4.5,-10.87578125,1.2195312499999957
policy,core,larger,6,1,frozen,larger|a6|s1|frozen|delay|lambda0,larger|a6|s1|frozen|fcfs|lambda0,False,32,32,-7.8125,-10.5625,-5.186718750000004,26,2,4,32,-0.5625,-0.875,-0.28125,-0.43402777777777773,-0.5868055555555556,-0.2881510416666669,1,0,-7.8125,-10.5625,-5.186718750000004,-10.0625,-13.6265625,-6.374218750000004,-12.3125,-17.0,-7.5625
policy,core,larger,6,1,frozen,larger|a6|s1|frozen|delay|lambda0,larger|a6|s1|frozen|greedy|lambda0,False,32,32,-6.1875,-9.37578125,-3.28125,23,5,4,32,-1.03125,-1.34375,-0.71875,-0.34375,-0.5208767361111112,-0.18229166666666669,0,1,-6.1875,-9.37578125,-3.28125,-10.3125,-14.5,-6.5625,-14.4375,-19.78203125,-9.590625000000017
policy,core,larger,6,2,frozen,larger|a6|s2|frozen|delay|lambda0,larger|a6|s2|frozen|edf|lambda0,False,32,32,-9.4375,-14.7515625,-5.0625,22,3,7,32,0.0,-0.3125,0.25,-0.5243055555555556,-0.8195312499999999,-0.28125,2,0,-9.4375,-14.7515625,-5.0625,-9.4375,-15.59453125,-4.249218750000004,-9.4375,-16.5,-3.4367187500000043
policy,core,larger,6,2,frozen,larger|a6|s2|frozen|delay|lambda0,larger|a6|s2|frozen|fcfs|lambda0,False,32,32,-4.84375,-8.96875,-1.0,17,5,10,32,-0.09375,-0.3125,0.125,-0.26909722222222227,-0.49826388888888884,-0.055555555555555566,0,0,-4.84375,-8.96875,-1.0,-5.21875,-10.125,-0.8117187500000043,-5.59375,-11.375,-0.5617187500000043
policy,core,larger,6,2,frozen,larger|a6|s2|frozen|delay|lambda0,larger|a6|s2|frozen|greedy|lambda0,False,32,32,-0.21875,-2.31328125,1.9695312499999957,11,12,9,29,-0.25,-0.4375,-0.09375,-0.012152777777777735,-0.12851562499999997,0.10941840277777759,0,1,-0.21875,-2.31328125,1.9695312499999957,-1.21875,-3.9375,1.46875,-2.21875,-5.59375,1.0007812499999957
policy,core,original,3,1,analytical,original|a3|s1|analytical|delay|lambda0,original|a3|s1|analytical|greedy|lambda0,False,32,32,-0.65625,-1.71875,0.03125,3,28,1,12,-0.09375,-0.25,0.0,-0.109375,-0.28645833333333337,0.005208333333333333,0,0,-0.65625,-1.71875,0.03125,-1.03125,-2.71875,0.03125,-1.40625,-3.71875,0.03125
policy,core,original,3,1,frozen,original|a3|s1|frozen|delay|lambda0,original|a3|s1|frozen|edf|lambda0,False,64,64,-0.0625,-0.203125,0.046875,3,59,2,17,0.03125,0.0,0.078125,-0.010416666666666666,-0.033854166666666664,0.0078125,1,0,-0.0625,-0.203125,0.046875,0.0625,-0.109375,0.28125,0.1875,-0.09375,0.59375
policy,core,original,3,1,frozen,original|a3|s1|frozen|delay|lambda0,original|a3|s1|frozen|fcfs|lambda0,False,64,64,-0.40625,-0.984375,0.109375,7,51,6,30,-0.03125,-0.09375,0.03125,-0.06770833333333333,-0.1640625,0.018229166666666668,1,0,-0.40625,-0.984375,0.109375,-0.53125,-1.297265625,0.12539062499999787,-0.65625,-1.641015625,0.17226562499999787
policy,core,original,3,1,frozen,original|a3|s1|frozen|delay|lambda0,original|a3|s1|frozen|greedy|lambda0,False,64,64,-0.765625,-1.516015625,-0.12460937500000213,10,46,8,37,-0.125,-0.234375,-0.03125,-0.12760416666666669,-0.2526692708333333,-0.020768229166667016,0,0,-0.765625,-1.516015625,-0.12460937500000213,-1.265625,-2.421875,-0.265625,-1.765625,-3.359375,-0.40585937500000213
policy,core,original,3,1,frozen,original|a3|s1|frozen|delay|lambda0,original|a3|s1|frozen|myopic|lambda0,False,64,64,-0.46875,-1.15625,0.125,8,49,7,32,-0.09375,-0.203125,0.0,-0.078125,-0.19270833333333331,0.02083333333333333,0,0,-0.46875,-1.15625,0.125,-0.84375,-1.859765625,0.03125,-1.21875,-2.65625,0.0
policy,core,original,3,1,frozen,original|a3|s1|frozen|delay|lambda0,original|a3|s1|frozen|uncertainty|lambda0,False,64,64,-0.375,-0.953125,0.140625,7,49,8,34,0.0,-0.078125,0.078125,-0.0625,-0.15885416666666666,0.0234375,1,0,-0.375,-0.953125,0.140625,-0.375,-1.171875,0.34375,-0.375,-1.453125,0.5941406249999979
policy,core,original,3,1,pooled,original|a3|s1|pooled|delay|lambda0,original|a3|s1|pooled|greedy|lambda0,False,32,32,-0.625,-1.5625,0.15625,4,24,4,16,-0.125,-0.28125,0.0,-0.10416666666666669,-0.26041666666666663,0.026041666666666675,0,0,-0.625,-1.5625,0.15625,-1.125,-2.71875,0.15625,-1.625,-3.875,0.15625
policy,core,original,3,2,analytical,original|a3|s2|analytical|delay|lambda0,original|a3|s2|analytical|greedy|lambda0,False,32,32,-0.3125,-0.875,0.0,2,30,0,5,-0.03125,-0.09375,0.0,-0.05208333333333333,-0.14583333333333331,0.0,0,0,-0.3125,-0.875,0.0,-0.4375,-1.25,0.0,-0.5625,-1.625,0.0
policy,core,original,3,2,frozen,original|a3|s2|frozen|delay|lambda0,original|a3|s2|frozen|edf|lambda0,False,64,64,-0.328125,-0.796875,0.0,3,61,0,5,-0.03125,-0.078125,0.0,-0.0546875,-0.1328125,0.0,0,0,-0.328125,-0.796875,0.0,-0.453125,-1.109375,0.0,-0.578125,-1.421875,0.0
policy,core,original,3,2,frozen,original|a3|s2|frozen|delay|lambda0,original|a3|s2|frozen|fcfs|lambda0,False,64,64,-0.546875,-1.09375,-0.125,5,59,0,9,-0.046875,-0.109375,0.0,-0.09114583333333334,-0.18229166666666669,-0.020833333333333336,0,0,-0.546875,-1.09375,-0.125,-0.734375,-1.500390625,-0.15625,-0.921875,-1.922265625,-0.15625
policy,core,original,3,2,frozen,original|a3|s2|frozen|delay|lambda0,original|a3|s2|frozen|greedy|lambda0,True,64,64,-0.09375,-0.5625,0.34375,3,59,2,9,-0.03125,-0.078125,0.0,-0.015625000000000003,-0.09375,0.05729166666666666,0,0,-0.09375,-0.5625,0.34375,-0.21875,-0.84375,0.3125,-0.34375,-1.15625,0.3125
policy,core,original,3,2,frozen,original|a3|s2|frozen|delay|lambda0,original|a3|s2|frozen|myopic|lambda0,False,64,64,-0.078125,-0.546875,0.359375,4,57,3,9,-0.03125,-0.09375,0.03125,-0.013020833333333336,-0.09114583333333334,0.05989583333333333,0,0,-0.078125,-0.546875,0.359375,-0.203125,-0.875,0.390625,-0.328125,-1.25,0.46875
policy,core,original,3,2,frozen,original|a3|s2|frozen|delay|lambda0,original|a3|s2|frozen|uncertainty|lambda0,False,64,64,-0.203125,-0.578125,0.0,2,62,0,7,-0.015625,-0.046875,0.0,-0.03385416666666667,-0.09635416666666667,0.0,0,0,-0.203125,-0.578125,0.0,-0.265625,-0.765625,0.0,-0.328125,-0.953125,0.0
policy,core,original,3,2,pooled,original|a3|s2|pooled|delay|lambda0,original|a3|s2|pooled|greedy|lambda0,False,32,32,0.0625,-0.6875,0.75,2,28,2,6,-0.03125,-0.09375,0.0,0.010416666666666664,-0.11458333333333333,0.12499999999999997,0,0,0.0625,-0.6875,0.75,-0.0625,-1.0625,0.75,-0.1875,-1.5,0.75
risk,core,competition,3,1,analytical,competition|a3|s1|analytical|delay|lambda0,competition|a3|s1|frozen|delay|lambda0,False,32,32,0.0,0.0,0.0,0,32,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
risk,core,competition,3,1,analytical,competition|a3|s1|analytical|greedy|lambda0,competition|a3|s1|frozen|greedy|lambda0,False,32,32,0.0,0.0,0.0,0,32,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
risk,core,competition,3,1,pooled,competition|a3|s1|pooled|delay|lambda0,competition|a3|s1|frozen|delay|lambda0,False,32,32,0.0,0.0,0.0,0,32,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
risk,core,competition,3,1,pooled,competition|a3|s1|pooled|greedy|lambda0,competition|a3|s1|frozen|greedy|lambda0,False,32,32,0.0,0.0,0.0,0,32,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
risk,core,competition,3,2,analytical,competition|a3|s2|analytical|delay|lambda0,competition|a3|s2|frozen|delay|lambda0,False,32,32,-0.125,-0.75,0.625,3,28,1,4,-0.0625,-0.1875,0.0625,-0.020833333333333332,-0.125,0.10416666666666666,0,0,-0.125,-0.75,0.625,-0.375,-1.5,0.75,-0.625,-2.25,1.0
risk,core,competition,3,2,analytical,competition|a3|s2|analytical|greedy|lambda0,competition|a3|s2|frozen|greedy|lambda0,False,32,32,-0.375,-1.375,0.625,5,26,1,15,-0.125,-0.28125,0.0,-0.06249999999999999,-0.22916666666666663,0.10416666666666669,0,0,-0.375,-1.375,0.625,-0.875,-2.375,0.75,-1.375,-3.5,0.75
risk,core,competition,3,2,pooled,competition|a3|s2|pooled|delay|lambda0,competition|a3|s2|frozen|delay|lambda0,False,32,32,0.0,0.0,0.0,0,32,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
risk,core,competition,3,2,pooled,competition|a3|s2|pooled|greedy|lambda0,competition|a3|s2|frozen|greedy|lambda0,False,32,32,0.0,0.0,0.0,0,32,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
risk,core,original,3,1,analytical,original|a3|s1|analytical|delay|lambda0,original|a3|s1|frozen|delay|lambda0,False,32,32,-0.25,-0.53203125,-0.03125,4,28,0,7,0.0,0.0,0.0,-0.04166666666666667,-0.08867187500000004,-0.005208333333333333,0,0,-0.25,-0.53203125,-0.03125,-0.25,-0.53203125,-0.03125,-0.25,-0.53203125,-0.03125
risk,core,original,3,1,analytical,original|a3|s1|analytical|greedy|lambda0,original|a3|s1|frozen|greedy|lambda0,False,32,32,-0.21875,-0.75,0.09375,1,30,1,7,-0.03125,-0.09375,0.0,-0.03645833333333333,-0.125,0.015625,0,0,-0.21875,-0.75,0.09375,-0.34375,-1.125,0.09375,-0.46875,-1.5,0.09375
risk,core,original,3,1,pooled,original|a3|s1|pooled|delay|lambda0,original|a3|s1|frozen|delay|lambda0,False,32,32,0.0,0.0,0.0,0,32,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
risk,core,original,3,1,pooled,original|a3|s1|pooled|greedy|lambda0,original|a3|s1|frozen|greedy|lambda0,False,32,32,0.0,-0.09375,0.09375,1,30,1,2,0.0,0.0,0.0,4.336808689942018e-18,-0.015624999999999986,0.015625,0,0,0.0,-0.09375,0.09375,0.0,-0.09375,0.09375,0.0,-0.09375,0.09375
risk,core,original,3,2,analytical,original|a3|s2|analytical|delay|lambda0,original|a3|s2|frozen|delay|lambda0,False,32,32,-0.125,-0.5625,0.125,1,30,1,2,0.0,0.0,0.0,-0.020833333333333336,-0.09375,0.020833333333333332,0,0,-0.125,-0.5625,0.125,-0.125,-0.5625,0.125,-0.125,-0.5625,0.125
risk,core,original,3,2,analytical,original|a3|s2|analytical|greedy|lambda0,original|a3|s2|frozen|greedy|lambda0,False,32,32,0.25,0.0,0.625,0,30,2,2,0.0,0.0,0.0,0.04166666666666666,0.0,0.10416666666666666,0,0,0.25,0.0,0.625,0.25,0.0,0.625,0.25,0.0,0.625
risk,core,original,3,2,pooled,original|a3|s2|pooled|delay|lambda0,original|a3|s2|frozen|delay|lambda0,False,32,32,0.25,0.0,0.75,0,31,1,1,0.03125,0.0,0.09375,0.04166666666666667,0.0,0.125,0,0,0.25,0.0,0.75,0.375,0.0,1.125,0.5,0.0,1.5
risk,core,original,3,2,pooled,original|a3|s2|pooled|greedy|lambda0,original|a3|s2|frozen|greedy|lambda0,False,32,32,0.25,0.0,0.75,0,31,1,2,0.03125,0.0,0.09375,0.04166666666666667,0.0,0.125,0,0,0.25,0.0,0.75,0.375,0.0,1.125,0.5,0.0,1.5
