kind,study,workload,agents,review_ticks,risk,left,right,primary,planned_pairs,completed_pairs,mean_loss_difference,ci_low,ci_high,left_wins,ties,left_losses,actual_order_differences,mean_incorrect_difference,incorrect_ci_low,incorrect_ci_high,mean_loss_per_job_difference,per_job_ci_low,per_job_ci_high,lower_loss_more_incorrect,lower_incorrect_higher_loss,common_objective_0_difference,common_objective_0_ci_low,common_objective_0_ci_high,common_objective_4_difference,common_objective_4_ci_low,common_objective_4_ci_high,common_objective_8_difference,common_objective_8_ci_low,common_objective_8_ci_high
duration,core,competition,3,2,frozen,competition|a3|s2|frozen|greedy|lambda0,competition|a3|s1|frozen|greedy|lambda0,False,64,64,2.625,1.6875,3.625,0,41,23,60,0.40625,0.265625,0.546875,0.4374999999999999,0.28125,0.6041666666666666,0,0,2.625,1.6875,3.625,4.25,2.75,5.8125,5.875,3.8734375,8.001562499999991
duration,core,competition,3,2,frozen,competition|a3|s2|frozen|myopic|lambda0,competition|a3|s1|frozen|myopic|lambda0,False,64,64,2.625,1.6875,3.625,0,41,23,60,0.40625,0.265625,0.546875,0.4374999999999999,0.28125,0.6041666666666666,0,0,2.625,1.6875,3.625,4.25,2.75,5.8125,5.875,3.8734375,8.001562499999991
duration,core,competition,3,2,frozen,competition|a3|s2|frozen|uncertainty|lambda0,competition|a3|s1|frozen|uncertainty|lambda0,False,64,64,2.4375,1.25,3.625,1,43,20,60,0.3125,0.1875,0.4375,0.40625,0.20833333333333331,0.6041666666666666,0,0,2.4375,1.25,3.625,3.6875,2.0,5.3125,4.9375,2.75,7.0625
duration,core,competition,3,2,pooled,competition|a3|s2|pooled|delay|lambda0,competition|a3|s1|pooled|delay|lambda0,False,32,32,1.625,1.0,2.25,0,19,13,32,0.40625,0.25,0.5625,0.2708333333333333,0.16666666666666666,0.375,0,0,1.625,1.0,2.25,3.25,2.0,4.5,4.875,3.0,6.75
duration,core,competition,3,2,pooled,competition|a3|s2|pooled|greedy|lambda0,competition|a3|s1|pooled|greedy|lambda0,False,32,32,2.875,1.75,4.0,0,17,15,30,0.46875,0.3125,0.625,0.47916666666666663,0.29166666666666663,0.6666666666666667,0,0,2.875,1.75,4.0,4.75,2.875,6.5,6.625,4.125,9.0
duration,core,larger,3,2,frozen,larger|a3|s2|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,False,32,32,9.25,6.84375,11.782031249999996,0,4,28,32,0.65625,0.4375,0.8757812499999957,1.0277777777777777,0.7604166666666667,1.3091145833333329,0,0,9.25,6.84375,11.782031249999996,11.875,8.81171875,15.032031249999996,14.5,10.62421875,18.4375
duration,core,larger,3,2,frozen,larger|a3|s2|frozen|edf|lambda0,larger|a3|s1|frozen|edf|lambda0,False,32,32,8.90625,6.53125,11.4375,1,3,28,28,0.625,0.40625,0.84375,0.9895833333333337,0.7256944444444445,1.2708333333333335,0,0,8.90625,6.53125,11.4375,11.40625,8.46796875,14.46875,13.90625,10.24921875,17.75
duration,core,larger,3,2,frozen,larger|a3|s2|frozen|fcfs|lambda0,larger|a3|s1|frozen|fcfs|lambda0,False,32,32,9.375,6.625,12.313281249999996,2,4,26,31,0.75,0.53125,0.96875,1.041666666666667,0.7361111111111112,1.368142361111111,1,0,9.375,6.625,12.313281249999996,12.375,8.99921875,15.938281249999996,15.375,11.24921875,19.6875
duration,core,larger,3,2,frozen,larger|a3|s2|frozen|greedy|lambda0,larger|a3|s1|frozen|greedy|lambda0,False,32,32,8.40625,5.75,11.344531249999996,0,5,27,31,0.6875,0.40625,0.96875,0.9340277777777775,0.638888888888889,1.260503472222222,0,0,8.40625,5.75,11.344531249999996,11.15625,7.65625,15.03125,13.90625,9.4375,18.8125
duration,core,larger,6,2,frozen,larger|a6|s2|frozen|delay|lambda0,larger|a6|s1|frozen|delay|lambda0,False,32,32,20.375,16.71796875,24.125,1,1,30,32,1.8125,1.46875,2.15625,1.1319444444444444,0.9287760416666666,1.3402777777777777,0,0,20.375,16.71796875,24.125,27.625,22.875,32.46875,34.875,28.87421875,41.0
