eligible_requests,decisions,mean_ms,p95_ms,max_ms,ordered_subsets
0,5848,0.005822106698978942,0.00966694205999374,0.05974806845188141,1
1,1707,0.019687195714971233,0.02767611294984815,0.920349732041359,2
2,1465,0.02843163424384472,0.03949366509914398,0.16458891332149506,5
3,1180,0.05430917776489662,0.07715821266174316,0.22946670651435852,16
4,325,0.15600299605956444,0.21721236407756805,0.5183946341276169,65
5,246,0.7564153113379711,1.0639578104019165,1.221485435962677,326
6,22,4.530749876390804,6.860623974353075,6.881436333060265,1957
