kind,study,workload,seed,left,right,review_ticks,risk,agents,loss_difference,incorrect_difference,loss_per_job_difference,lower_bound,upper_bound,paired_jobs,primary_action_differences,secondary_action_differences,different_observations,identical_request_primary_differences
capacity,core,larger,12000,larger|a6|s1|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,1,frozen,6,9.0,0,0.38888888888888895,9.0,9.0,9,0,0,3,0
capacity,core,larger,12001,larger|a6|s1|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,1,frozen,6,7.0,2,0.3333333333333333,7.0,7.0,9,1,1,5,0
capacity,core,larger,12002,larger|a6|s1|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,1,frozen,6,12.0,0,-0.16666666666666674,12.0,12.0,9,0,0,2,0
capacity,core,larger,12003,larger|a6|s1|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,1,frozen,6,9.0,0,0.5,9.0,9.0,9,0,1,2,0
capacity,core,larger,12004,larger|a6|s1|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,1,frozen,6,6.0,0,-0.33333333333333326,6.0,6.0,9,0,0,1,0
capacity,core,larger,12005,larger|a6|s1|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,1,frozen,6,19.0,1,0.5555555555555556,19.0,19.0,9,0,0,4,0
capacity,core,larger,12006,larger|a6|s1|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,1,frozen,6,13.0,1,0.5555555555555556,13.0,13.0,9,0,0,4,0
capacity,core,larger,12007,larger|a6|s1|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,1,frozen,6,9.0,1,0.0,9.0,9.0,9,0,0,5,0
capacity,core,larger,12008,larger|a6|s1|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,1,frozen,6,9.0,0,0.11111111111111105,9.0,9.0,9,0,0,3,0
capacity,core,larger,12009,larger|a6|s1|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,1,frozen,6,10.0,1,0.11111111111111116,10.0,10.0,9,1,0,3,1
capacity,core,larger,12010,larger|a6|s1|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,1,frozen,6,11.0,0,0.38888888888888895,11.0,11.0,9,0,0,5,0
capacity,core,larger,12011,larger|a6|s1|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,1,frozen,6,4.0,1,-0.11111111111111105,4.0,4.0,9,0,0,4,0
capacity,core,larger,12012,larger|a6|s1|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,1,frozen,6,18.0,0,0.6666666666666666,18.0,18.0,9,0,0,2,0
capacity,core,larger,12013,larger|a6|s1|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,1,frozen,6,7.0,0,0.11111111111111105,7.0,7.0,9,0,0,5,0
capacity,core,larger,12014,larger|a6|s1|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,1,frozen,6,13.0,2,0.5,13.0,13.0,9,0,0,2,0
capacity,core,larger,12015,larger|a6|s1|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,1,frozen,6,8.0,1,0.3888888888888889,8.0,8.0,9,1,0,4,0
capacity,core,larger,12016,larger|a6|s1|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,1,frozen,6,21.0,1,0.8888888888888888,21.0,21.0,9,0,0,4,0
capacity,core,larger,12017,larger|a6|s1|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,1,frozen,6,17.0,2,0.7222222222222223,17.0,17.0,9,0,0,6,0
capacity,core,larger,12018,larger|a6|s1|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,1,frozen,6,14.0,0,0.16666666666666652,14.0,14.0,9,0,0,4,0
capacity,core,larger,12019,larger|a6|s1|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,1,frozen,6,6.0,0,0.3333333333333333,6.0,6.0,9,0,0,2,0
