method,original_correct,recomputed_correct,recomputed_project_correct,alias_fixed,remaining_incorrect,unresolved,questions
independent,282,282,48,0,0,0,1138
full_history,253,253,38,0,29,0,39
semantic_memory,267,274,46,7,8,0,58
records_read,215,218,24,3,64,0,86
global_barrier,268,274,46,6,8,0,148
dependency_barrier,268,274,46,6,8,0,148
no_source_guard,267,274,46,7,8,0,105
no_scope,264,271,45,7,11,0,127
confirm_records,282,282,48,0,0,0,410
