id,replicate,method,original_correct,recomputed_correct,recomputed_project_correct,alias_fixed,remaining_incorrect,unresolved,questions
MUL0003.json,0,independent,6,6,1,0,0,0,22
MUL0003.json,0,full_history,6,6,1,0,0,0,2
MUL0003.json,0,semantic_memory,6,6,1,0,0,0,1
MUL0003.json,0,records_read,6,6,1,0,0,0,4
MUL0003.json,0,global_barrier,6,6,1,0,0,0,7
MUL0003.json,0,dependency_barrier,6,6,1,0,0,0,7
MUL0003.json,0,no_source_guard,6,6,1,0,0,0,5
MUL0003.json,0,no_scope,6,6,1,0,0,0,7
MUL0003.json,0,confirm_records,6,6,1,0,0,0,9
MUL0003.json,1,independent,6,6,1,0,0,0,22
MUL0003.json,1,full_history,6,6,1,0,0,0,2
MUL0003.json,1,semantic_memory,6,6,1,0,0,0,0
MUL0003.json,1,records_read,6,6,1,0,0,0,2
MUL0003.json,1,global_barrier,6,6,1,0,0,0,5
MUL0003.json,1,dependency_barrier,6,6,1,0,0,0,5
MUL0003.json,1,no_source_guard,6,6,1,0,0,0,4
MUL0003.json,1,no_scope,6,6,1,0,0,0,4
MUL0003.json,1,confirm_records,6,6,1,0,0,0,9
MUL0011.json,0,independent,5,5,1,0,0,0,22
MUL0011.json,0,full_history,5,5,1,0,0,0,0
MUL0011.json,0,semantic_memory,5,5,1,0,0,0,0
MUL0011.json,0,records_read,5,5,1,0,0,0,0
MUL0011.json,0,global_barrier,5,5,1,0,0,0,0
MUL0011.json,0,dependency_barrier,5,5,1,0,0,0,0
MUL0011.json,0,no_source_guard,5,5,1,0,0,0,0
MUL0011.json,0,no_scope,5,5,1,0,0,0,0
MUL0011.json,0,confirm_records,5,5,1,0,0,0,8
MUL0011.json,1,independent,5,5,1,0,0,0,22
MUL0011.json,1,full_history,5,5,1,0,0,0,0
MUL0011.json,1,semantic_memory,5,5,1,0,0,0,0
MUL0011.json,1,records_read,5,5,1,0,0,0,0
MUL0011.json,1,global_barrier,5,5,1,0,0,0,2
MUL0011.json,1,dependency_barrier,5,5,1,0,0,0,2
MUL0011.json,1,no_source_guard,5,5,1,0,0,0,0
MUL0011.json,1,no_scope,5,5,1,0,0,0,2
