method,assumed_cost_per_candidate,mean,lo,hi
semantic_memory,0,1.2083333333333333,0.7916666666666666,1.6255208333333304
global_barrier,0,3.0833333333333335,2.2291666666666665,4.020833333333333
dependency_barrier,0,3.0833333333333335,2.2291666666666665,4.020833333333333
full_history,0,0.8125,0.4166666666666667,1.2083333333333333
semantic_memory,0.25,3.328125,2.8541666666666665,3.8126302083333328
global_barrier,0.25,5.083333333333333,4.1875,6.114843749999999
dependency_barrier,0.25,4.729166666666667,3.7864583333333335,5.817838541666665
full_history,0.25,2.9270833333333335,2.4997395833333336,3.3645833333333335
semantic_memory,1,9.6875,8.853645833333333,10.583333333333334
global_barrier,1,11.083333333333334,9.957812500000001,12.4375
dependency_barrier,1,9.666666666666666,8.375,11.146354166666665
full_history,1,9.270833333333334,8.5,10.104166666666666
